PWA-ACO Hybrid  —  run summary
========================================
Dataset   : fl417
Cities    : 417
Elapsed   : 79.8s

PWA best  : 14091.566989
Hybrid    : 12293.813154
Improvement: +12.758%

ACO convergence history (best per iteration):
  iter    1: 12835.160275
  iter    2: 12667.594740
  iter    3: 12667.594740
  iter    4: 12667.594740
  iter    5: 12667.594740
  iter    6: 12667.594740
  iter    7: 12470.306124
  iter    8: 12470.306124
  iter    9: 12470.306124
  iter   10: 12470.306124
  iter   11: 12470.306124
  iter   12: 12470.306124
  iter   13: 12470.306124
  iter   14: 12470.306124
  iter   15: 12470.306124
  iter   16: 12470.306124
  iter   17: 12470.306124
  iter   18: 12470.306124
  iter   19: 12470.306124
  iter   20: 12470.306124
  iter   21: 12377.401892
  iter   22: 12377.401892
  iter   23: 12359.993888
  iter   24: 12359.993888
  iter   25: 12359.993888
  iter   26: 12359.993888
  iter   27: 12359.993888
  iter   28: 12359.993888
  iter   29: 12359.993888
  iter   30: 12359.993888
  iter   31: 12359.993888
  iter   32: 12359.993888
  iter   33: 12359.993888
  iter   34: 12359.993888
  iter   35: 12359.993888
  iter   36: 12359.993888
  iter   37: 12359.993888
  iter   38: 12359.993888
  iter   39: 12359.993888
  iter   40: 12359.993888
  iter   41: 12359.993888
  iter   42: 12359.993888
  iter   43: 12359.993888
  iter   44: 12359.993888
  iter   45: 12359.993888
  iter   46: 12359.993888
  iter   47: 12359.993888
  iter   48: 12359.993888
  iter   49: 12359.993888
  iter   50: 12359.993888
  iter   51: 12359.993888
  iter   52: 12359.993888
  iter   53: 12359.993888
  iter   54: 12359.993888
  iter   55: 12359.993888
  iter   56: 12359.993888
  iter   57: 12359.993888
  iter   58: 12359.993888
  iter   59: 12356.568580
  iter   60: 12356.568580
  iter   61: 12356.568580
  iter   62: 12356.568580
  iter   63: 12356.568580
  iter   64: 12356.568580
  iter   65: 12356.568580
  iter   66: 12356.568580
  iter   67: 12356.568580
  iter   68: 12356.568580
  iter   69: 12356.568580
  iter   70: 12356.568580
  iter   71: 12356.568580
  iter   72: 12356.568580
  iter   73: 12356.568580
  iter   74: 12356.568580
  iter   75: 12356.568580
  iter   76: 12356.568580
  iter   77: 12356.568580
  iter   78: 12356.568580
  iter   79: 12356.568580
  iter   80: 12356.568580

Best tour:
