PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroA200
Cities    : 200
Elapsed   : 8.8s

PWA best  : 34634.268566
Hybrid    : 30622.617690
Improvement: +11.583%

ACO convergence history (best per iteration):
  iter    1: 31755.972815
  iter    2: 31755.972815
  iter    3: 31755.972815
  iter    4: 31755.972815
  iter    5: 31755.972815
  iter    6: 31755.972815
  iter    7: 31755.972815
  iter    8: 31755.972815
  iter    9: 31755.972815
  iter   10: 31755.972815
  iter   11: 31755.972815
  iter   12: 31755.972815
  iter   13: 31755.972815
  iter   14: 31755.972815
  iter   15: 31755.972815
  iter   16: 31755.972815
  iter   17: 31755.972815
  iter   18: 31755.972815
  iter   19: 31755.972815
  iter   20: 31755.972815
  iter   21: 31755.972815
  iter   22: 31755.972815
  iter   23: 31755.972815
  iter   24: 31755.972815
  iter   25: 31755.972815
  iter   26: 31755.972815
  iter   27: 31755.972815
  iter   28: 31755.972815
  iter   29: 31755.972815
  iter   30: 31755.972815
  iter   31: 31755.972815
  iter   32: 31755.972815
  iter   33: 31755.972815
  iter   34: 31755.972815
  iter   35: 31755.972815
  iter   36: 31755.972815
  iter   37: 31755.972815
  iter   38: 31755.972815
  iter   39: 31755.972815
  iter   40: 31755.972815
  iter   41: 31755.972815
  iter   42: 31755.972815
  iter   43: 31755.972815
  iter   44: 31755.972815
  iter   45: 31755.972815
  iter   46: 31755.972815
  iter   47: 31755.972815
  iter   48: 31755.972815
  iter   49: 31755.972815
  iter   50: 31755.972815
  iter   51: 31755.972815
  iter   52: 31755.972815
  iter   53: 31755.972815
  iter   54: 31755.972815
  iter   55: 31755.972815
  iter   56: 31755.972815
  iter   57: 31755.972815
  iter   58: 31755.972815
  iter   59: 31755.972815
  iter   60: 31755.972815
  iter   61: 31755.972815
  iter   62: 31574.941980
  iter   63: 31574.941980
  iter   64: 31574.941980
  iter   65: 31574.941980
  iter   66: 31574.941980
  iter   67: 31574.941980
  iter   68: 31574.941980
  iter   69: 31574.941980
  iter   70: 31574.941980
  iter   71: 31574.941980
  iter   72: 31574.941980
  iter   73: 31574.941980
  iter   74: 31574.941980
  iter   75: 31574.941980
  iter   76: 31574.941980
  iter   77: 31574.941980
  iter   78: 31574.941980
  iter   79: 31574.941980
  iter   80: 31574.941980

Best tour:
26 -> 197 -> 122 -> 14 -> 144 -> 84 -> 131 -> 0 -> 52 -> 114 -> 116 -> 110 -> 120 -> 173 -> 158 -> 23 -> 31 -> 135 -> 60 -> 25 -> 198 -> 6 -> 81 -> 77 -> 8 -> 137 -> 123 -> 117 -> 15 -> 178 -> 36 -> 183 -> 28 -> 17 -> 189 -> 18 -> 98 -> 174 -> 9 -> 91 -> 118 -> 47 -> 65 -> 152 -> 43 -> 62 -> 50 -> 193 -> 187 -> 115 -> 121 -> 169 -> 83 -> 10 -> 51 -> 86 -> 125 -> 95 -> 165 -> 164 -> 103 -> 96 -> 80 -> 196 -> 44 -> 32 -> 155 -> 99 -> 73 -> 56 -> 35 -> 13 -> 191 -> 107 -> 68 -> 141 -> 179 -> 130 -> 188 -> 72 -> 2 -> 58 -> 40 -> 88 -> 29 -> 67 -> 168 -> 34 -> 1 -> 167 -> 184 -> 49 -> 138 -> 85 -> 94 -> 93 -> 90 -> 149 -> 172 -> 22 -> 163 -> 139 -> 20 -> 153 -> 101 -> 143 -> 69 -> 75 -> 181 -> 194 -> 112 -> 175 -> 132 -> 136 -> 42 -> 104 -> 4 -> 177 -> 151 -> 55 -> 195 -> 70 -> 37 -> 147 -> 87 -> 27 -> 38 -> 129 -> 71 -> 61 -> 82 -> 128 -> 145 -> 102 -> 113 -> 97 -> 199 -> 170 -> 140 -> 57 -> 33 -> 89 -> 142 -> 24 -> 16 -> 7 -> 21 -> 133 -> 74 -> 182 -> 154 -> 111 -> 126 -> 185 -> 134 -> 41 -> 54 -> 19 -> 63 -> 161 -> 159 -> 78 -> 12 -> 176 -> 64 -> 66 -> 30 -> 46 -> 119 -> 156 -> 106 -> 108 -> 5 -> 53 -> 186 -> 150 -> 124 -> 180 -> 160 -> 79 -> 76 -> 157 -> 166 -> 127 -> 192 -> 59 -> 100 -> 3 -> 162 -> 92 -> 105 -> 148 -> 48 -> 109 -> 171 -> 45 -> 11 -> 146 -> 39 -> 190
