PWA-ACO Hybrid  —  run summary
========================================
Dataset   : gil262
Cities    : 262
Elapsed   : 20.1s

PWA best  : 2863.512512
Hybrid    : 2542.600874
Improvement: +11.207%

ACO convergence history (best per iteration):
  iter    1: 2638.589740
  iter    2: 2634.460938
  iter    3: 2589.353361
  iter    4: 2589.353361
  iter    5: 2576.154672
  iter    6: 2576.154672
  iter    7: 2576.154672
  iter    8: 2576.154672
  iter    9: 2576.154672
  iter   10: 2576.154672
  iter   11: 2576.154672
  iter   12: 2576.154672
  iter   13: 2576.154672
  iter   14: 2576.154672
  iter   15: 2576.154672
  iter   16: 2553.985639
  iter   17: 2553.985639
  iter   18: 2553.985639
  iter   19: 2553.985639
  iter   20: 2553.985639
  iter   21: 2553.985639
  iter   22: 2553.985639
  iter   23: 2553.985639
  iter   24: 2553.985639
  iter   25: 2553.985639
  iter   26: 2553.985639
  iter   27: 2553.985639
  iter   28: 2553.985639
  iter   29: 2553.985639
  iter   30: 2553.985639
  iter   31: 2553.985639
  iter   32: 2553.985639
  iter   33: 2553.985639
  iter   34: 2553.985639
  iter   35: 2553.985639
  iter   36: 2553.985639
  iter   37: 2553.985639
  iter   38: 2553.985639
  iter   39: 2553.985639
  iter   40: 2553.985639
  iter   41: 2553.985639
  iter   42: 2553.985639
  iter   43: 2553.985639
  iter   44: 2553.985639
  iter   45: 2553.985639
  iter   46: 2553.985639
  iter   47: 2553.985639
  iter   48: 2553.985639
  iter   49: 2553.985639
  iter   50: 2553.985639
  iter   51: 2553.985639
  iter   52: 2553.985639
  iter   53: 2553.985639
  iter   54: 2553.985639
  iter   55: 2553.985639
  iter   56: 2553.985639
  iter   57: 2553.985639
  iter   58: 2553.985639
  iter   59: 2553.985639
  iter   60: 2553.985639
  iter   61: 2553.985639
  iter   62: 2553.985639
  iter   63: 2553.985639
  iter   64: 2553.985639
  iter   65: 2553.985639
  iter   66: 2553.985639
  iter   67: 2553.985639
  iter   68: 2553.985639
  iter   69: 2553.985639
  iter   70: 2553.985639
  iter   71: 2553.985639
  iter   72: 2553.985639
  iter   73: 2553.985639
  iter   74: 2553.985639
  iter   75: 2553.985639
  iter   76: 2553.985639
  iter   77: 2553.985639
  iter   78: 2553.985639
  iter   79: 2553.985639
  iter   80: 2553.985639

Best tour:
171 -> 71 -> 184 -> 18 -> 165 -> 206 -> 95 -> 72 -> 197 -> 203 -> 249 -> 162 -> 223 -> 68 -> 176 -> 236 -> 81 -> 156 -> 248 -> 61 -> 145 -> 134 -> 83 -> 121 -> 42 -> 222 -> 224 -> 240 -> 234 -> 10 -> 255 -> 55 -> 241 -> 37 -> 38 -> 101 -> 14 -> 232 -> 175 -> 135 -> 225 -> 31 -> 77 -> 200 -> 66 -> 50 -> 133 -> 158 -> 146 -> 244 -> 126 -> 39 -> 23 -> 16 -> 258 -> 174 -> 54 -> 46 -> 167 -> 65 -> 102 -> 112 -> 79 -> 193 -> 196 -> 41 -> 9 -> 237 -> 130 -> 213 -> 56 -> 202 -> 192 -> 100 -> 252 -> 113 -> 147 -> 12 -> 166 -> 88 -> 120 -> 105 -> 219 -> 35 -> 149 -> 182 -> 57 -> 188 -> 247 -> 152 -> 8 -> 25 -> 229 -> 169 -> 1 -> 124 -> 63 -> 194 -> 260 -> 172 -> 26 -> 216 -> 82 -> 205 -> 64 -> 227 -> 52 -> 123 -> 256 -> 136 -> 53 -> 17 -> 29 -> 190 -> 261 -> 78 -> 4 -> 132 -> 11 -> 48 -> 129 -> 128 -> 220 -> 60 -> 89 -> 210 -> 204 -> 30 -> 70 -> 228 -> 0 -> 138 -> 201 -> 230 -> 231 -> 141 -> 67 -> 233 -> 253 -> 32 -> 137 -> 20 -> 185 -> 80 -> 3 -> 114 -> 144 -> 99 -> 208 -> 98 -> 69 -> 243 -> 107 -> 154 -> 75 -> 153 -> 86 -> 187 -> 257 -> 94 -> 33 -> 181 -> 27 -> 155 -> 143 -> 191 -> 183 -> 217 -> 238 -> 259 -> 34 -> 118 -> 93 -> 150 -> 85 -> 148 -> 246 -> 87 -> 49 -> 90 -> 76 -> 211 -> 44 -> 186 -> 92 -> 45 -> 215 -> 62 -> 179 -> 151 -> 199 -> 178 -> 160 -> 127 -> 13 -> 106 -> 97 -> 239 -> 116 -> 91 -> 177 -> 209 -> 40 -> 109 -> 59 -> 157 -> 108 -> 19 -> 226 -> 28 -> 96 -> 131 -> 168 -> 180 -> 170 -> 58 -> 161 -> 74 -> 218 -> 51 -> 242 -> 15 -> 2 -> 117 -> 122 -> 7 -> 189 -> 111 -> 212 -> 214 -> 125 -> 115 -> 36 -> 5 -> 164 -> 221 -> 84 -> 104 -> 254 -> 251 -> 110 -> 235 -> 195 -> 173 -> 142 -> 47 -> 22 -> 119 -> 21 -> 43 -> 198 -> 250 -> 207 -> 245 -> 159 -> 6 -> 163 -> 139 -> 24 -> 140 -> 103 -> 73
