PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr439
Cities    : 439
Elapsed   : 102.8s

PWA best  : 124737.931611
Hybrid    : 115059.674918
Improvement: +7.759%

ACO convergence history (best per iteration):
  iter    1: 122416.471858
  iter    2: 122416.471858
  iter    3: 122416.471858
  iter    4: 121389.009181
  iter    5: 119359.598207
  iter    6: 119359.598207
  iter    7: 119359.598207
  iter    8: 119359.598207
  iter    9: 119269.085675
  iter   10: 119269.085675
  iter   11: 119269.085675
  iter   12: 119269.085675
  iter   13: 119269.085675
  iter   14: 119269.085675
  iter   15: 119269.085675
  iter   16: 119269.085675
  iter   17: 119269.085675
  iter   18: 119269.085675
  iter   19: 119269.085675
  iter   20: 119269.085675
  iter   21: 119269.085675
  iter   22: 119269.085675
  iter   23: 119269.085675
  iter   24: 119269.085675
  iter   25: 119269.085675
  iter   26: 119269.085675
  iter   27: 119269.085675
  iter   28: 119269.085675
  iter   29: 119269.085675
  iter   30: 119269.085675
  iter   31: 119269.085675
  iter   32: 119269.085675
  iter   33: 119269.085675
  iter   34: 119269.085675
  iter   35: 119269.085675
  iter   36: 119269.085675
  iter   37: 119269.085675
  iter   38: 119269.085675
  iter   39: 119269.085675
  iter   40: 119269.085675
  iter   41: 119269.085675
  iter   42: 119269.085675
  iter   43: 119269.085675
  iter   44: 119269.085675
  iter   45: 119269.085675
  iter   46: 119269.085675
  iter   47: 119269.085675
  iter   48: 119269.085675
  iter   49: 119269.085675
  iter   50: 119269.085675
  iter   51: 119269.085675
  iter   52: 119269.085675
  iter   53: 119269.085675
  iter   54: 119269.085675
  iter   55: 119088.420384
  iter   56: 119088.420384
  iter   57: 119088.420384
  iter   58: 118644.159240
  iter   59: 118644.159240
  iter   60: 118644.159240
  iter   61: 118644.159240
  iter   62: 118644.159240
  iter   63: 118644.159240
  iter   64: 118644.159240
  iter   65: 118644.159240
  iter   66: 118644.159240
  iter   67: 118644.159240
  iter   68: 118644.159240
  iter   69: 118644.159240
  iter   70: 118644.159240
  iter   71: 118644.159240
  iter   72: 118644.159240
  iter   73: 118644.159240
  iter   74: 118644.159240
  iter   75: 118644.159240
  iter   76: 118644.159240
  iter   77: 118644.159240
  iter   78: 118644.159240
  iter   79: 118644.159240
  iter   80: 118644.159240

Best tour:
107 -> 108 -> 73 -> 72 -> 62 -> 30 -> 29 -> 31 -> 16 -> 15 -> 14 -> 13 -> 12 -> 9 -> 8 -> 7 -> 6 -> 5 -> 4 -> 3 -> 0 -> 2 -> 1 -> 51 -> 50 -> 49 -> 47 -> 48 -> 45 -> 44 -> 42 -> 40 -> 39 -> 10 -> 11 -> 35 -> 34 -> 33 -> 32 -> 57 -> 58 -> 59 -> 60 -> 61 -> 74 -> 75 -> 76 -> 86 -> 85 -> 77 -> 78 -> 56 -> 36 -> 37 -> 38 -> 41 -> 43 -> 46 -> 79 -> 80 -> 81 -> 55 -> 54 -> 53 -> 52 -> 82 -> 83 -> 84 -> 148 -> 185 -> 225 -> 226 -> 228 -> 281 -> 280 -> 229 -> 186 -> 187 -> 188 -> 224 -> 230 -> 231 -> 279 -> 284 -> 285 -> 286 -> 339 -> 287 -> 288 -> 289 -> 290 -> 291 -> 292 -> 358 -> 356 -> 357 -> 355 -> 354 -> 353 -> 352 -> 350 -> 351 -> 349 -> 348 -> 346 -> 344 -> 345 -> 347 -> 376 -> 375 -> 379 -> 378 -> 388 -> 389 -> 390 -> 391 -> 398 -> 395 -> 396 -> 397 -> 392 -> 394 -> 393 -> 383 -> 381 -> 382 -> 371 -> 370 -> 372 -> 380 -> 374 -> 373 -> 340 -> 341 -> 342 -> 343 -> 283 -> 227 -> 282 -> 438 -> 434 -> 435 -> 436 -> 437 -> 433 -> 402 -> 407 -> 408 -> 410 -> 409 -> 424 -> 425 -> 423 -> 426 -> 429 -> 432 -> 431 -> 421 -> 422 -> 411 -> 412 -> 406 -> 405 -> 413 -> 420 -> 419 -> 418 -> 414 -> 415 -> 430 -> 428 -> 427 -> 417 -> 416 -> 404 -> 403 -> 401 -> 399 -> 400 -> 387 -> 386 -> 385 -> 384 -> 377 -> 366 -> 367 -> 368 -> 362 -> 361 -> 360 -> 369 -> 359 -> 338 -> 337 -> 336 -> 335 -> 334 -> 363 -> 364 -> 365 -> 331 -> 330 -> 328 -> 327 -> 326 -> 325 -> 324 -> 323 -> 322 -> 321 -> 320 -> 319 -> 318 -> 317 -> 316 -> 315 -> 314 -> 313 -> 258 -> 257 -> 256 -> 255 -> 253 -> 254 -> 251 -> 252 -> 208 -> 250 -> 249 -> 209 -> 248 -> 247 -> 246 -> 245 -> 210 -> 211 -> 212 -> 213 -> 214 -> 240 -> 241 -> 242 -> 243 -> 244 -> 259 -> 260 -> 261 -> 262 -> 309 -> 311 -> 312 -> 310 -> 308 -> 307 -> 263 -> 239 -> 238 -> 237 -> 236 -> 235 -> 234 -> 269 -> 268 -> 267 -> 266 -> 265 -> 264 -> 306 -> 305 -> 304 -> 303 -> 329 -> 302 -> 301 -> 300 -> 299 -> 332 -> 333 -> 298 -> 297 -> 296 -> 295 -> 294 -> 293 -> 278 -> 277 -> 276 -> 275 -> 274 -> 273 -> 272 -> 271 -> 270 -> 232 -> 233 -> 221 -> 220 -> 219 -> 218 -> 217 -> 216 -> 215 -> 197 -> 196 -> 195 -> 194 -> 179 -> 180 -> 181 -> 182 -> 193 -> 192 -> 191 -> 183 -> 190 -> 189 -> 222 -> 223 -> 184 -> 147 -> 146 -> 109 -> 110 -> 111 -> 145 -> 143 -> 144 -> 149 -> 142 -> 151 -> 150 -> 152 -> 153 -> 154 -> 155 -> 156 -> 178 -> 177 -> 198 -> 199 -> 200 -> 176 -> 175 -> 203 -> 201 -> 202 -> 204 -> 205 -> 206 -> 207 -> 170 -> 171 -> 173 -> 172 -> 169 -> 167 -> 168 -> 165 -> 166 -> 164 -> 163 -> 162 -> 161 -> 160 -> 174 -> 159 -> 133 -> 134 -> 135 -> 136 -> 158 -> 157 -> 137 -> 138 -> 139 -> 140 -> 141 -> 115 -> 117 -> 118 -> 120 -> 121 -> 122 -> 123 -> 125 -> 126 -> 128 -> 129 -> 130 -> 131 -> 132 -> 127 -> 124 -> 98 -> 97 -> 96 -> 95 -> 94 -> 99 -> 100 -> 119 -> 116 -> 114 -> 113 -> 112 -> 102 -> 101 -> 91 -> 92 -> 93 -> 68 -> 67 -> 17 -> 18 -> 19 -> 66 -> 65 -> 64 -> 21 -> 20 -> 23 -> 22 -> 24 -> 27 -> 28 -> 26 -> 25 -> 63 -> 71 -> 87 -> 88 -> 70 -> 69 -> 90 -> 89 -> 103 -> 104 -> 105 -> 106
