PWA-ACO Hybrid  —  run summary
========================================
Dataset   : lin318
Cities    : 318
Elapsed   : 36.4s

PWA best  : 49909.471424
Hybrid    : 44351.965099
Improvement: +11.135%

ACO convergence history (best per iteration):
  iter    1: 47462.504559
  iter    2: 46368.368781
  iter    3: 46368.368781
  iter    4: 46169.370585
  iter    5: 46169.370585
  iter    6: 46169.370585
  iter    7: 46169.370585
  iter    8: 46169.370585
  iter    9: 46169.370585
  iter   10: 46169.370585
  iter   11: 46169.370585
  iter   12: 46169.370585
  iter   13: 46169.370585
  iter   14: 46169.370585
  iter   15: 46169.370585
  iter   16: 46169.370585
  iter   17: 46169.370585
  iter   18: 46169.370585
  iter   19: 46169.370585
  iter   20: 46169.370585
  iter   21: 46169.370585
  iter   22: 46169.370585
  iter   23: 46169.370585
  iter   24: 46169.370585
  iter   25: 46169.370585
  iter   26: 46169.370585
  iter   27: 46169.370585
  iter   28: 46169.370585
  iter   29: 46169.370585
  iter   30: 46169.370585
  iter   31: 46150.715572
  iter   32: 46150.715572
  iter   33: 46150.715572
  iter   34: 46150.715572
  iter   35: 46150.715572
  iter   36: 45213.005413
  iter   37: 45213.005413
  iter   38: 45213.005413
  iter   39: 45213.005413
  iter   40: 45213.005413
  iter   41: 45213.005413
  iter   42: 45213.005413
  iter   43: 45213.005413
  iter   44: 45213.005413
  iter   45: 45213.005413
  iter   46: 45213.005413
  iter   47: 45213.005413
  iter   48: 45213.005413
  iter   49: 45213.005413
  iter   50: 45213.005413
  iter   51: 45213.005413
  iter   52: 45213.005413
  iter   53: 45213.005413
  iter   54: 45213.005413
  iter   55: 45213.005413
  iter   56: 45213.005413
  iter   57: 45213.005413
  iter   58: 45213.005413
  iter   59: 45213.005413
  iter   60: 45213.005413
  iter   61: 45213.005413
  iter   62: 45213.005413
  iter   63: 45213.005413
  iter   64: 45213.005413
  iter   65: 45213.005413
  iter   66: 45213.005413
  iter   67: 45213.005413
  iter   68: 45213.005413
  iter   69: 45213.005413
  iter   70: 45213.005413
  iter   71: 45213.005413
  iter   72: 45213.005413
  iter   73: 45213.005413
  iter   74: 45213.005413
  iter   75: 45213.005413
  iter   76: 45213.005413
  iter   77: 45213.005413
  iter   78: 45213.005413
  iter   79: 45213.005413
  iter   80: 45213.005413

Best tour:
308 -> 309 -> 304 -> 303 -> 297 -> 296 -> 275 -> 274 -> 270 -> 269 -> 317 -> 248 -> 247 -> 244 -> 243 -> 223 -> 222 -> 213 -> 214 -> 218 -> 217 -> 226 -> 225 -> 227 -> 234 -> 235 -> 228 -> 233 -> 236 -> 242 -> 237 -> 232 -> 229 -> 221 -> 212 -> 210 -> 211 -> 215 -> 216 -> 108 -> 109 -> 118 -> 117 -> 219 -> 220 -> 224 -> 312 -> 230 -> 231 -> 238 -> 239 -> 240 -> 241 -> 138 -> 139 -> 141 -> 140 -> 130 -> 129 -> 122 -> 120 -> 121 -> 113 -> 112 -> 107 -> 116 -> 123 -> 128 -> 131 -> 124 -> 127 -> 132 -> 134 -> 133 -> 126 -> 125 -> 207 -> 119 -> 115 -> 114 -> 111 -> 110 -> 106 -> 105 -> 3 -> 4 -> 12 -> 13 -> 8 -> 7 -> 16 -> 15 -> 17 -> 24 -> 25 -> 18 -> 11 -> 2 -> 0 -> 1 -> 5 -> 6 -> 9 -> 10 -> 14 -> 102 -> 20 -> 21 -> 28 -> 29 -> 30 -> 31 -> 32 -> 27 -> 22 -> 19 -> 23 -> 26 -> 36 -> 35 -> 103 -> 39 -> 48 -> 315 -> 316 -> 58 -> 66 -> 67 -> 70 -> 77 -> 81 -> 71 -> 76 -> 78 -> 85 -> 83 -> 82 -> 84 -> 90 -> 91 -> 95 -> 96 -> 100 -> 101 -> 92 -> 97 -> 98 -> 89 -> 88 -> 80 -> 74 -> 73 -> 69 -> 68 -> 79 -> 75 -> 72 -> 63 -> 61 -> 62 -> 56 -> 104 -> 55 -> 54 -> 49 -> 47 -> 44 -> 43 -> 46 -> 50 -> 53 -> 57 -> 52 -> 51 -> 45 -> 42 -> 40 -> 41 -> 38 -> 37 -> 34 -> 33 -> 136 -> 135 -> 137 -> 208 -> 144 -> 153 -> 149 -> 152 -> 154 -> 159 -> 160 -> 209 -> 163 -> 59 -> 60 -> 65 -> 64 -> 175 -> 172 -> 171 -> 168 -> 176 -> 181 -> 183 -> 188 -> 182 -> 186 -> 187 -> 189 -> 86 -> 87 -> 93 -> 94 -> 99 -> 206 -> 205 -> 201 -> 200 -> 196 -> 195 -> 197 -> 202 -> 203 -> 194 -> 193 -> 190 -> 184 -> 180 -> 177 -> 185 -> 179 -> 178 -> 173 -> 174 -> 167 -> 166 -> 162 -> 157 -> 156 -> 150 -> 161 -> 158 -> 155 -> 151 -> 148 -> 145 -> 147 -> 146 -> 143 -> 142 -> 249 -> 313 -> 245 -> 246 -> 251 -> 250 -> 252 -> 255 -> 261 -> 262 -> 267 -> 253 -> 256 -> 260 -> 263 -> 266 -> 271 -> 272 -> 279 -> 290 -> 284 -> 283 -> 278 -> 273 -> 314 -> 265 -> 264 -> 259 -> 257 -> 254 -> 258 -> 268 -> 164 -> 165 -> 170 -> 169 -> 276 -> 277 -> 280 -> 287 -> 291 -> 292 -> 293 -> 288 -> 286 -> 281 -> 282 -> 285 -> 289 -> 295 -> 294 -> 191 -> 192 -> 300 -> 301 -> 198 -> 199 -> 204 -> 311 -> 310 -> 306 -> 305 -> 302 -> 298 -> 299 -> 307
