PWA-ACO Hybrid  —  run summary
========================================
Dataset   : p654
Cities    : 654
Elapsed   : 355.8s

PWA best  : 42531.475723
Hybrid    : 35446.161346
Improvement: +16.659%

ACO convergence history (best per iteration):
  iter    1: 37801.717730
  iter    2: 37801.717730
  iter    3: 36806.313602
  iter    4: 36806.313602
  iter    5: 36806.313602
  iter    6: 36806.313602
  iter    7: 36806.313602
  iter    8: 36806.313602
  iter    9: 36806.313602
  iter   10: 36625.173415
  iter   11: 36625.173415
  iter   12: 36625.173415
  iter   13: 36625.173415
  iter   14: 36625.173415
  iter   15: 36625.173415
  iter   16: 36625.173415
  iter   17: 36625.173415
  iter   18: 36625.173415
  iter   19: 36625.173415
  iter   20: 36625.173415
  iter   21: 36625.173415
  iter   22: 36625.173415
  iter   23: 36625.173415
  iter   24: 36625.173415
  iter   25: 36625.173415
  iter   26: 36625.173415
  iter   27: 36625.173415
  iter   28: 36625.173415
  iter   29: 36625.173415
  iter   30: 36625.173415
  iter   31: 36625.173415
  iter   32: 36625.173415
  iter   33: 36625.173415
  iter   34: 36625.173415
  iter   35: 36625.173415
  iter   36: 36625.173415
  iter   37: 36625.173415
  iter   38: 36625.173415
  iter   39: 36625.173415
  iter   40: 36625.173415
  iter   41: 36625.173415
  iter   42: 36625.173415
  iter   43: 36570.220751
  iter   44: 36570.220751
  iter   45: 36570.220751
  iter   46: 36570.220751
  iter   47: 36101.511499
  iter   48: 36101.511499
  iter   49: 36101.511499
  iter   50: 36101.511499
  iter   51: 36101.511499
  iter   52: 36101.511499
  iter   53: 36101.511499
  iter   54: 36101.511499
  iter   55: 36101.511499
  iter   56: 36101.511499
  iter   57: 35796.435415
  iter   58: 35796.435415
  iter   59: 35796.435415
  iter   60: 35796.435415
  iter   61: 35796.435415
  iter   62: 35796.435415
  iter   63: 35796.435415
  iter   64: 35796.435415
  iter   65: 35796.435415
  iter   66: 35796.435415
  iter   67: 35796.435415
  iter   68: 35796.435415
  iter   69: 35796.435415
  iter   70: 35796.435415
  iter   71: 35796.435415
  iter   72: 35796.435415
  iter   73: 35796.435415
  iter   74: 35796.435415
  iter   75: 35796.435415
  iter   76: 35796.435415
  iter   77: 35796.435415
  iter   78: 35796.435415
  iter   79: 35796.435415
  iter   80: 35796.435415

Best tour:
