PWA-ACO Hybrid  —  run summary
========================================
Dataset   : bier127
Cities    : 127
Elapsed   : 3.1s

PWA best  : 1514.271521
Hybrid    : 1330.310950
Improvement: +12.148%

ACO convergence history (best per iteration):
  iter    1: 1392.668466
  iter    2: 1376.309717
  iter    3: 1369.559132
  iter    4: 1369.559132
  iter    5: 1341.756533
  iter    6: 1341.756533
  iter    7: 1341.756533
  iter    8: 1341.756533
  iter    9: 1341.756533
  iter   10: 1341.756533
  iter   11: 1341.756533
  iter   12: 1341.756533
  iter   13: 1341.756533
  iter   14: 1341.756533
  iter   15: 1341.756533
  iter   16: 1341.756533
  iter   17: 1341.756533
  iter   18: 1341.756533
  iter   19: 1341.756533
  iter   20: 1341.756533
  iter   21: 1341.756533
  iter   22: 1341.756533
  iter   23: 1341.756533
  iter   24: 1341.756533
  iter   25: 1341.756533
  iter   26: 1341.756533
  iter   27: 1341.756533
  iter   28: 1341.756533
  iter   29: 1341.756533
  iter   30: 1341.756533
  iter   31: 1341.756533
  iter   32: 1341.756533
  iter   33: 1341.756533
  iter   34: 1341.756533
  iter   35: 1341.756533
  iter   36: 1341.756533
  iter   37: 1341.756533
  iter   38: 1341.756533
  iter   39: 1341.756533
  iter   40: 1341.756533
  iter   41: 1341.756533
  iter   42: 1341.756533
  iter   43: 1341.756533
  iter   44: 1341.756533
  iter   45: 1341.756533
  iter   46: 1341.756533
  iter   47: 1341.756533
  iter   48: 1341.756533
  iter   49: 1341.756533
  iter   50: 1341.756533
  iter   51: 1341.756533
  iter   52: 1340.071845
  iter   53: 1340.071845
  iter   54: 1340.071845
  iter   55: 1340.071845
  iter   56: 1340.071845
  iter   57: 1340.071845
  iter   58: 1340.071845
  iter   59: 1340.071845
  iter   60: 1340.071845
  iter   61: 1340.071845
  iter   62: 1340.071845
  iter   63: 1340.071845
  iter   64: 1340.071845
  iter   65: 1340.071845
  iter   66: 1340.071845
  iter   67: 1340.071845
  iter   68: 1340.071845
  iter   69: 1340.071845
  iter   70: 1340.071845
  iter   71: 1335.154197
  iter   72: 1335.154197
  iter   73: 1335.154197
  iter   74: 1335.154197
  iter   75: 1335.154197
  iter   76: 1335.154197
  iter   77: 1335.154197
  iter   78: 1335.154197
  iter   79: 1335.154197
  iter   80: 1335.154197

Best tour:
14 -> 13 -> 40 -> 35 -> 36 -> 34 -> 43 -> 102 -> 44 -> 53 -> 56 -> 120 -> 49 -> 50 -> 1 -> 15 -> 0 -> 6 -> 119 -> 12 -> 114 -> 9 -> 2 -> 99 -> 63 -> 57 -> 90 -> 60 -> 89 -> 115 -> 59 -> 61 -> 58 -> 66 -> 70 -> 69 -> 68 -> 74 -> 75 -> 67 -> 72 -> 73 -> 17 -> 76 -> 78 -> 79 -> 77 -> 116 -> 83 -> 80 -> 125 -> 81 -> 82 -> 100 -> 101 -> 62 -> 118 -> 95 -> 108 -> 87 -> 86 -> 85 -> 84 -> 109 -> 103 -> 124 -> 88 -> 91 -> 98 -> 64 -> 112 -> 65 -> 54 -> 123 -> 51 -> 4 -> 55 -> 46 -> 52 -> 48 -> 117 -> 47 -> 45 -> 93 -> 111 -> 110 -> 106 -> 126 -> 92 -> 94 -> 122 -> 96 -> 97 -> 31 -> 28 -> 24 -> 32 -> 121 -> 27 -> 37 -> 38 -> 41 -> 33 -> 42 -> 39 -> 29 -> 25 -> 26 -> 30 -> 11 -> 104 -> 113 -> 10 -> 8 -> 23 -> 22 -> 3 -> 21 -> 18 -> 7 -> 71 -> 20 -> 16 -> 19 -> 107 -> 5 -> 105
