PWA-ACO Hybrid  —  run summary
========================================
Dataset   : lin105
Cities    : 105
Elapsed   : 2.2s

PWA best  : 185.235128
Hybrid    : 161.545395
Improvement: +12.789%

ACO convergence history (best per iteration):
  iter    1: 166.721827
  iter    2: 166.721827
  iter    3: 164.264856
  iter    4: 164.264856
  iter    5: 164.264856
  iter    6: 164.264856
  iter    7: 164.264856
  iter    8: 164.264856
  iter    9: 164.264856
  iter   10: 164.264856
  iter   11: 164.264856
  iter   12: 164.264856
  iter   13: 164.264856
  iter   14: 164.264856
  iter   15: 164.264856
  iter   16: 164.264856
  iter   17: 164.264856
  iter   18: 164.264856
  iter   19: 164.264856
  iter   20: 164.264856
  iter   21: 164.264856
  iter   22: 164.264856
  iter   23: 164.264856
  iter   24: 164.264856
  iter   25: 164.264856
  iter   26: 164.264856
  iter   27: 164.264856
  iter   28: 163.987352
  iter   29: 163.987352
  iter   30: 163.987352
  iter   31: 163.987352
  iter   32: 163.987352
  iter   33: 163.987352
  iter   34: 163.987352
  iter   35: 163.987352
  iter   36: 163.987352
  iter   37: 163.987352
  iter   38: 163.987352
  iter   39: 163.987352
  iter   40: 163.987352
  iter   41: 163.987352
  iter   42: 163.987352
  iter   43: 163.881540
  iter   44: 163.881540
  iter   45: 163.881540
  iter   46: 163.222342
  iter   47: 163.222342
  iter   48: 163.222342
  iter   49: 163.222342
  iter   50: 163.222342
  iter   51: 163.222342
  iter   52: 163.222342
  iter   53: 163.222342
  iter   54: 163.222342
  iter   55: 163.222342
  iter   56: 163.222342
  iter   57: 163.222342
  iter   58: 163.222342
  iter   59: 163.222342
  iter   60: 163.222342
  iter   61: 163.222342
  iter   62: 163.222342
  iter   63: 163.222342
  iter   64: 163.222342
  iter   65: 161.659107
  iter   66: 161.659107
  iter   67: 161.659107
  iter   68: 161.659107
  iter   69: 161.659107
  iter   70: 161.659107
  iter   71: 161.659107
  iter   72: 161.659107
  iter   73: 161.659107
  iter   74: 161.659107
  iter   75: 161.659107
  iter   76: 161.659107
  iter   77: 161.659107
  iter   78: 161.659107
  iter   79: 161.659107
  iter   80: 161.659107

Best tour:
43 -> 46 -> 50 -> 53 -> 56 -> 104 -> 58 -> 55 -> 54 -> 49 -> 47 -> 44 -> 48 -> 39 -> 103 -> 35 -> 36 -> 16 -> 25 -> 24 -> 17 -> 15 -> 18 -> 23 -> 26 -> 32 -> 31 -> 30 -> 29 -> 28 -> 21 -> 20 -> 102 -> 19 -> 22 -> 27 -> 11 -> 14 -> 10 -> 9 -> 6 -> 5 -> 1 -> 0 -> 2 -> 7 -> 8 -> 4 -> 3 -> 13 -> 12 -> 33 -> 34 -> 37 -> 38 -> 59 -> 60 -> 64 -> 65 -> 86 -> 87 -> 93 -> 94 -> 99 -> 98 -> 97 -> 89 -> 88 -> 90 -> 91 -> 95 -> 96 -> 101 -> 100 -> 92 -> 85 -> 78 -> 76 -> 71 -> 83 -> 84 -> 82 -> 81 -> 77 -> 70 -> 67 -> 66 -> 63 -> 72 -> 75 -> 79 -> 80 -> 74 -> 73 -> 68 -> 69 -> 62 -> 61 -> 57 -> 52 -> 51 -> 45 -> 42 -> 41 -> 40
