PWA-ACO Hybrid  —  run summary
========================================
Dataset   : ch150
Cities    : 150
Elapsed   : 4.5s

PWA best  : 81.847714
Hybrid    : 73.530762
Improvement: +10.161%

ACO convergence history (best per iteration):
  iter    1: 75.911258
  iter    2: 75.911258
  iter    3: 75.206138
  iter    4: 74.418574
  iter    5: 74.418574
  iter    6: 74.418574
  iter    7: 74.418574
  iter    8: 74.418574
  iter    9: 74.418574
  iter   10: 74.418574
  iter   11: 74.418574
  iter   12: 74.418574
  iter   13: 74.418574
  iter   14: 74.418574
  iter   15: 74.418574
  iter   16: 74.418574
  iter   17: 74.418574
  iter   18: 74.418574
  iter   19: 74.418574
  iter   20: 74.418574
  iter   21: 74.418574
  iter   22: 74.418574
  iter   23: 74.418574
  iter   24: 74.418574
  iter   25: 74.418574
  iter   26: 74.418574
  iter   27: 74.418574
  iter   28: 74.418574
  iter   29: 74.418574
  iter   30: 74.418574
  iter   31: 74.418574
  iter   32: 74.418574
  iter   33: 74.418574
  iter   34: 74.418574
  iter   35: 74.418574
  iter   36: 74.418574
  iter   37: 74.418574
  iter   38: 74.418574
  iter   39: 74.418574
  iter   40: 74.418574
  iter   41: 74.418574
  iter   42: 74.418574
  iter   43: 74.418574
  iter   44: 74.418574
  iter   45: 74.418574
  iter   46: 74.418574
  iter   47: 74.418574
  iter   48: 74.418574
  iter   49: 74.418574
  iter   50: 74.418574
  iter   51: 74.418574
  iter   52: 74.418574
  iter   53: 74.414578
  iter   54: 74.414578
  iter   55: 74.414578
  iter   56: 74.414578
  iter   57: 74.414578
  iter   58: 74.414578
  iter   59: 74.414578
  iter   60: 74.414578
  iter   61: 74.414578
  iter   62: 74.414578
  iter   63: 74.414578
  iter   64: 74.414578
  iter   65: 74.414578
  iter   66: 74.414578
  iter   67: 74.414578
  iter   68: 74.414578
  iter   69: 74.414578
  iter   70: 74.414578
  iter   71: 74.414578
  iter   72: 74.414578
  iter   73: 74.414578
  iter   74: 74.414578
  iter   75: 74.414578
  iter   76: 74.414578
  iter   77: 74.414578
  iter   78: 74.414578
  iter   79: 74.414578
  iter   80: 74.414578

Best tour:
87 -> 93 -> 9 -> 112 -> 2 -> 61 -> 148 -> 21 -> 124 -> 20 -> 114 -> 149 -> 43 -> 70 -> 44 -> 3 -> 103 -> 127 -> 67 -> 118 -> 90 -> 105 -> 12 -> 73 -> 122 -> 135 -> 111 -> 63 -> 71 -> 48 -> 146 -> 143 -> 144 -> 30 -> 26 -> 128 -> 116 -> 139 -> 59 -> 65 -> 16 -> 129 -> 147 -> 10 -> 60 -> 35 -> 68 -> 126 -> 38 -> 56 -> 40 -> 100 -> 115 -> 11 -> 23 -> 117 -> 52 -> 39 -> 138 -> 46 -> 119 -> 41 -> 8 -> 27 -> 5 -> 36 -> 1 -> 18 -> 98 -> 113 -> 101 -> 69 -> 134 -> 107 -> 85 -> 28 -> 80 -> 109 -> 24 -> 19 -> 50 -> 108 -> 42 -> 66 -> 31 -> 37 -> 22 -> 130 -> 133 -> 137 -> 45 -> 53 -> 91 -> 89 -> 82 -> 140 -> 57 -> 54 -> 49 -> 136 -> 131 -> 64 -> 84 -> 141 -> 17 -> 74 -> 25 -> 145 -> 55 -> 123 -> 96 -> 142 -> 99 -> 4 -> 106 -> 94 -> 81 -> 102 -> 97 -> 33 -> 0 -> 86 -> 75 -> 72 -> 47 -> 62 -> 29 -> 6 -> 83 -> 7 -> 88 -> 95 -> 34 -> 92 -> 125 -> 32 -> 51 -> 104 -> 110 -> 132 -> 76 -> 121 -> 13 -> 79 -> 77 -> 14 -> 15 -> 58 -> 78 -> 120
