PWA-ACO Hybrid  —  run summary
========================================
Dataset   : eil76
Cities    : 76
Elapsed   : 1.6s

PWA best  : 7.037229
Hybrid    : 6.139418
Improvement: +12.758%

ACO convergence history (best per iteration):
  iter    1: 6.362013
  iter    2: 6.320207
  iter    3: 6.275378
  iter    4: 6.275378
  iter    5: 6.275378
  iter    6: 6.275378
  iter    7: 6.275378
  iter    8: 6.275378
  iter    9: 6.275378
  iter   10: 6.275378
  iter   11: 6.275378
  iter   12: 6.265719
  iter   13: 6.261510
  iter   14: 6.261510
  iter   15: 6.261510
  iter   16: 6.194759
  iter   17: 6.194759
  iter   18: 6.194759
  iter   19: 6.194759
  iter   20: 6.194759
  iter   21: 6.194759
  iter   22: 6.194759
  iter   23: 6.194759
  iter   24: 6.194759
  iter   25: 6.194759
  iter   26: 6.194759
  iter   27: 6.194759
  iter   28: 6.194759
  iter   29: 6.194759
  iter   30: 6.194759
  iter   31: 6.193901
  iter   32: 6.193901
  iter   33: 6.193901
  iter   34: 6.193901
  iter   35: 6.193901
  iter   36: 6.193901
  iter   37: 6.193901
  iter   38: 6.193901
  iter   39: 6.193901
  iter   40: 6.193901
  iter   41: 6.193901
  iter   42: 6.193901
  iter   43: 6.193901
  iter   44: 6.193901
  iter   45: 6.193901
  iter   46: 6.193901
  iter   47: 6.193901
  iter   48: 6.193901
  iter   49: 6.193901
  iter   50: 6.193901
  iter   51: 6.193901
  iter   52: 6.193901
  iter   53: 6.193901
  iter   54: 6.193901
  iter   55: 6.193901
  iter   56: 6.193901
  iter   57: 6.193901
  iter   58: 6.193901
  iter   59: 6.193901
  iter   60: 6.193901
  iter   61: 6.193901
  iter   62: 6.193901
  iter   63: 6.193901
  iter   64: 6.193901
  iter   65: 6.193901
  iter   66: 6.193901
  iter   67: 6.193901
  iter   68: 6.193901
  iter   69: 6.186921
  iter   70: 6.186921
  iter   71: 6.186921
  iter   72: 6.186921
  iter   73: 6.186921
  iter   74: 6.139418
  iter   75: 6.139418
  iter   76: 6.139418
  iter   77: 6.139418
  iter   78: 6.139418
  iter   79: 6.139418
  iter   80: 6.139418

Best tour:
3 -> 44 -> 28 -> 47 -> 29 -> 1 -> 73 -> 27 -> 61 -> 72 -> 0 -> 32 -> 62 -> 15 -> 2 -> 43 -> 31 -> 49 -> 17 -> 23 -> 48 -> 22 -> 55 -> 42 -> 40 -> 41 -> 63 -> 21 -> 60 -> 20 -> 46 -> 35 -> 68 -> 70 -> 59 -> 69 -> 19 -> 36 -> 4 -> 14 -> 56 -> 53 -> 12 -> 26 -> 51 -> 33 -> 45 -> 7 -> 18 -> 34 -> 6 -> 52 -> 13 -> 58 -> 10 -> 65 -> 64 -> 37 -> 57 -> 9 -> 30 -> 54 -> 24 -> 8 -> 38 -> 71 -> 11 -> 39 -> 16 -> 50 -> 5 -> 67 -> 74 -> 75 -> 25 -> 66
