PWA-ACO Hybrid  —  run summary
========================================
Dataset   : fl417
Cities    : 417
Elapsed   : 78.6s

PWA best  : 157.112372
Hybrid    : 133.234209
Improvement: +15.198%

ACO convergence history (best per iteration):
  iter    1: 140.768516
  iter    2: 140.768516
  iter    3: 140.768516
  iter    4: 140.768516
  iter    5: 140.768516
  iter    6: 140.768516
  iter    7: 140.768516
  iter    8: 140.768516
  iter    9: 140.768516
  iter   10: 140.768516
  iter   11: 140.768516
  iter   12: 140.768516
  iter   13: 140.768516
  iter   14: 140.768516
  iter   15: 140.768516
  iter   16: 140.768516
  iter   17: 140.524027
  iter   18: 140.524027
  iter   19: 139.536284
  iter   20: 139.536284
  iter   21: 139.536284
  iter   22: 139.536284
  iter   23: 139.536284
  iter   24: 139.536284
  iter   25: 139.536284
  iter   26: 139.536284
  iter   27: 139.536284
  iter   28: 139.536284
  iter   29: 139.536284
  iter   30: 139.536284
  iter   31: 139.536284
  iter   32: 139.536284
  iter   33: 139.536284
  iter   34: 139.536284
  iter   35: 139.536284
  iter   36: 139.536284
  iter   37: 138.231216
  iter   38: 138.231216
  iter   39: 138.231216
  iter   40: 138.231216
  iter   41: 138.231216
  iter   42: 138.231216
  iter   43: 138.231216
  iter   44: 138.231216
  iter   45: 138.231216
  iter   46: 138.231216
  iter   47: 138.231216
  iter   48: 138.231216
  iter   49: 138.231216
  iter   50: 138.231216
  iter   51: 138.231216
  iter   52: 138.231216
  iter   53: 138.231216
  iter   54: 138.231216
  iter   55: 138.231216
  iter   56: 138.231216
  iter   57: 138.231216
  iter   58: 138.231216
  iter   59: 138.231216
  iter   60: 138.231216
  iter   61: 138.231216
  iter   62: 138.231216
  iter   63: 138.231216
  iter   64: 138.231216
  iter   65: 138.231216
  iter   66: 137.398353
  iter   67: 137.398353
  iter   68: 137.398353
  iter   69: 137.398353
  iter   70: 137.398353
  iter   71: 137.398353
  iter   72: 137.398353
  iter   73: 137.398353
  iter   74: 137.398353
  iter   75: 137.398353
  iter   76: 137.398353
  iter   77: 137.398353
