PWA-ACO Hybrid  —  run summary
========================================
Dataset   : berlin52
Cities    : 52
Elapsed   : 1.1s

PWA best  : 92.420776
Hybrid    : 84.592304
Improvement: +8.470%

ACO convergence history (best per iteration):
  iter    1: 86.627044
  iter    2: 86.473583
  iter    3: 86.473583
  iter    4: 86.473583
  iter    5: 86.454416
  iter    6: 85.822447
  iter    7: 85.822447
  iter    8: 85.822447
  iter    9: 85.822447
  iter   10: 85.822447
  iter   11: 85.822447
  iter   12: 85.822447
  iter   13: 85.822447
  iter   14: 85.822447
  iter   15: 84.638576
  iter   16: 84.638576
  iter   17: 84.638576
  iter   18: 84.638576
  iter   19: 84.638576
  iter   20: 84.638576
  iter   21: 84.638576
  iter   22: 84.638576
  iter   23: 84.638576
  iter   24: 84.638576
  iter   25: 84.638576
  iter   26: 84.638576
  iter   27: 84.638576
  iter   28: 84.638576
  iter   29: 84.638576
  iter   30: 84.592304
  iter   31: 84.592304
  iter   32: 84.592304
  iter   33: 84.592304
  iter   34: 84.592304
  iter   35: 84.592304
  iter   36: 84.592304
  iter   37: 84.592304
  iter   38: 84.592304
  iter   39: 84.592304
  iter   40: 84.592304
  iter   41: 84.592304
  iter   42: 84.592304
  iter   43: 84.592304
  iter   44: 84.592304
  iter   45: 84.592304
  iter   46: 84.592304
  iter   47: 84.592304
  iter   48: 84.592304
  iter   49: 84.592304
  iter   50: 84.592304
  iter   51: 84.592304
  iter   52: 84.592304
  iter   53: 84.592304
  iter   54: 84.592304
  iter   55: 84.592304
  iter   56: 84.592304
  iter   57: 84.592304
  iter   58: 84.592304
  iter   59: 84.592304
  iter   60: 84.592304
  iter   61: 84.592304
  iter   62: 84.592304
  iter   63: 84.592304
  iter   64: 84.592304
  iter   65: 84.592304
  iter   66: 84.592304
  iter   67: 84.592304
  iter   68: 84.592304
  iter   69: 84.592304
  iter   70: 84.592304
  iter   71: 84.592304
  iter   72: 84.592304
  iter   73: 84.592304
  iter   74: 84.592304
  iter   75: 84.592304
  iter   76: 84.592304
  iter   77: 84.592304
  iter   78: 84.592304
  iter   79: 84.592304
  iter   80: 84.592304

Best tour:
24 -> 3 -> 5 -> 14 -> 4 -> 23 -> 47 -> 37 -> 36 -> 39 -> 38 -> 35 -> 34 -> 33 -> 43 -> 45 -> 15 -> 28 -> 49 -> 19 -> 22 -> 29 -> 1 -> 6 -> 41 -> 20 -> 16 -> 2 -> 17 -> 30 -> 21 -> 0 -> 48 -> 31 -> 44 -> 18 -> 40 -> 7 -> 8 -> 9 -> 42 -> 32 -> 50 -> 10 -> 51 -> 12 -> 13 -> 46 -> 25 -> 26 -> 27 -> 11
