PWA-ACO Hybrid  —  run summary
========================================
Dataset   : gil262
Cities    : 262
Elapsed   : 16.9s

PWA best  : 32.111579
Hybrid    : 27.690128
Improvement: +13.769%

ACO convergence history (best per iteration):
  iter    1: 28.729805
  iter    2: 27.906375
  iter    3: 27.906375
  iter    4: 27.906375
  iter    5: 27.906375
  iter    6: 27.906375
  iter    7: 27.906375
  iter    8: 27.906375
  iter    9: 27.891430
  iter   10: 27.891430
  iter   11: 27.891430
  iter   12: 27.855524
  iter   13: 27.855524
  iter   14: 27.855524
  iter   15: 27.855524
  iter   16: 27.855524
  iter   17: 27.855524
  iter   18: 27.855524
  iter   19: 27.855524
  iter   20: 27.855524
  iter   21: 27.855524
  iter   22: 27.855524
  iter   23: 27.855524
  iter   24: 27.855524
  iter   25: 27.855524
  iter   26: 27.855524
  iter   27: 27.855524
  iter   28: 27.855524
  iter   29: 27.855524
  iter   30: 27.855524
  iter   31: 27.855524
  iter   32: 27.855524
  iter   33: 27.855524
  iter   34: 27.855524
  iter   35: 27.855524
  iter   36: 27.855524
  iter   37: 27.855524
  iter   38: 27.855524
  iter   39: 27.855524
  iter   40: 27.855524
  iter   41: 27.855524
  iter   42: 27.855524
  iter   43: 27.855524
  iter   44: 27.855524
  iter   45: 27.855524
  iter   46: 27.855524
  iter   47: 27.855524
  iter   48: 27.855524
  iter   49: 27.855524
  iter   50: 27.855524
  iter   51: 27.855524
  iter   52: 27.855524
  iter   53: 27.855524
  iter   54: 27.855524
  iter   55: 27.855524
  iter   56: 27.855524
  iter   57: 27.855524
  iter   58: 27.855524
  iter   59: 27.855524
  iter   60: 27.855524
  iter   61: 27.855524
  iter   62: 27.855524
  iter   63: 27.855524
  iter   64: 27.855524
  iter   65: 27.855524
  iter   66: 27.855524
  iter   67: 27.855524
  iter   68: 27.855524
  iter   69: 27.855524
  iter   70: 27.855524
  iter   71: 27.855524
  iter   72: 27.855524
  iter   73: 27.855524
  iter   74: 27.855524
  iter   75: 27.855524
  iter   76: 27.855524
  iter   77: 27.855524
  iter   78: 27.855524
  iter   79: 27.855524
  iter   80: 27.855524

Best tour:
169 -> 8 -> 152 -> 247 -> 188 -> 105 -> 120 -> 88 -> 166 -> 12 -> 202 -> 56 -> 213 -> 130 -> 237 -> 9 -> 41 -> 196 -> 193 -> 79 -> 112 -> 102 -> 167 -> 46 -> 54 -> 16 -> 23 -> 39 -> 126 -> 158 -> 133 -> 146 -> 244 -> 200 -> 50 -> 66 -> 96 -> 131 -> 104 -> 28 -> 226 -> 19 -> 108 -> 109 -> 59 -> 157 -> 209 -> 40 -> 177 -> 91 -> 254 -> 251 -> 84 -> 221 -> 36 -> 164 -> 5 -> 115 -> 125 -> 214 -> 103 -> 73 -> 140 -> 24 -> 245 -> 207 -> 250 -> 151 -> 179 -> 62 -> 215 -> 45 -> 44 -> 186 -> 92 -> 160 -> 178 -> 199 -> 198 -> 43 -> 21 -> 119 -> 22 -> 235 -> 110 -> 195 -> 47 -> 127 -> 142 -> 173 -> 13 -> 97 -> 239 -> 116 -> 106 -> 211 -> 90 -> 76 -> 49 -> 87 -> 246 -> 148 -> 85 -> 150 -> 93 -> 118 -> 217 -> 183 -> 143 -> 191 -> 238 -> 34 -> 259 -> 155 -> 27 -> 181 -> 94 -> 33 -> 257 -> 187 -> 86 -> 153 -> 75 -> 154 -> 107 -> 69 -> 98 -> 243 -> 114 -> 144 -> 208 -> 99 -> 185 -> 80 -> 3 -> 159 -> 6 -> 163 -> 139 -> 171 -> 20 -> 137 -> 32 -> 253 -> 233 -> 67 -> 141 -> 231 -> 230 -> 201 -> 138 -> 0 -> 228 -> 70 -> 30 -> 204 -> 220 -> 128 -> 129 -> 60 -> 89 -> 210 -> 78 -> 261 -> 18 -> 184 -> 71 -> 165 -> 206 -> 72 -> 197 -> 203 -> 95 -> 111 -> 212 -> 7 -> 189 -> 2 -> 122 -> 117 -> 134 -> 145 -> 83 -> 38 -> 15 -> 242 -> 168 -> 180 -> 170 -> 58 -> 161 -> 74 -> 51 -> 218 -> 14 -> 101 -> 232 -> 175 -> 135 -> 225 -> 31 -> 77 -> 258 -> 174 -> 65 -> 55 -> 255 -> 241 -> 37 -> 121 -> 222 -> 42 -> 224 -> 240 -> 10 -> 234 -> 81 -> 156 -> 248 -> 61 -> 236 -> 176 -> 68 -> 223 -> 162 -> 249 -> 63 -> 124 -> 192 -> 100 -> 252 -> 113 -> 147 -> 25 -> 229 -> 57 -> 182 -> 149 -> 219 -> 35 -> 82 -> 205 -> 64 -> 227 -> 52 -> 123 -> 48 -> 11 -> 132 -> 4 -> 190 -> 256 -> 172 -> 136 -> 17 -> 29 -> 53 -> 260 -> 26 -> 216 -> 194 -> 1
