PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroB100
Cities    : 100
Elapsed   : 2.0s

PWA best  : 284.058941
Hybrid    : 252.224102
Improvement: +11.207%

ACO convergence history (best per iteration):
  iter    1: 262.813974
  iter    2: 261.896241
  iter    3: 261.896241
  iter    4: 259.559516
  iter    5: 259.559516
  iter    6: 259.276337
  iter    7: 256.742852
  iter    8: 255.474172
  iter    9: 255.474172
  iter   10: 255.474172
  iter   11: 255.474172
  iter   12: 255.474172
  iter   13: 255.474172
  iter   14: 255.363343
  iter   15: 255.363343
  iter   16: 255.363343
  iter   17: 255.363343
  iter   18: 255.363343
  iter   19: 255.363343
  iter   20: 255.363343
  iter   21: 255.363343
  iter   22: 255.363343
  iter   23: 255.363343
  iter   24: 255.363343
  iter   25: 255.363343
  iter   26: 255.363343
  iter   27: 255.363343
  iter   28: 255.363343
  iter   29: 255.363343
  iter   30: 255.363343
  iter   31: 255.363343
  iter   32: 255.363343
  iter   33: 255.363343
  iter   34: 255.363343
  iter   35: 255.363343
  iter   36: 255.363343
  iter   37: 255.363343
  iter   38: 255.363343
  iter   39: 255.363343
  iter   40: 255.363343
  iter   41: 255.363343
  iter   42: 255.363343
  iter   43: 255.363343
  iter   44: 255.363343
  iter   45: 255.363343
  iter   46: 255.363343
  iter   47: 255.363343
  iter   48: 255.363343
  iter   49: 255.363343
  iter   50: 255.363343
  iter   51: 255.363343
  iter   52: 255.363343
  iter   53: 255.363343
  iter   54: 255.363343
  iter   55: 255.363343
  iter   56: 254.859567
  iter   57: 254.859567
  iter   58: 254.859567
  iter   59: 254.859567
  iter   60: 254.859567
  iter   61: 254.859567
  iter   62: 254.859567
  iter   63: 254.859567
  iter   64: 254.859567
  iter   65: 254.859567
  iter   66: 254.859567
  iter   67: 254.859567
  iter   68: 254.859567
  iter   69: 254.859567
  iter   70: 254.859567
  iter   71: 254.859567
  iter   72: 253.740551
  iter   73: 253.740551
  iter   74: 253.740551
  iter   75: 253.740551
  iter   76: 253.740551
  iter   77: 253.740551
  iter   78: 252.371334
  iter   79: 252.371334
  iter   80: 252.371334

Best tour:
51 -> 53 -> 57 -> 83 -> 6 -> 93 -> 56 -> 33 -> 8 -> 45 -> 24 -> 26 -> 60 -> 34 -> 70 -> 11 -> 20 -> 89 -> 0 -> 94 -> 97 -> 31 -> 58 -> 75 -> 7 -> 28 -> 98 -> 96 -> 90 -> 27 -> 2 -> 10 -> 92 -> 84 -> 72 -> 52 -> 69 -> 38 -> 39 -> 66 -> 4 -> 61 -> 25 -> 99 -> 55 -> 68 -> 67 -> 9 -> 48 -> 85 -> 37 -> 19 -> 79 -> 29 -> 74 -> 78 -> 80 -> 46 -> 64 -> 71 -> 36 -> 87 -> 22 -> 21 -> 54 -> 15 -> 1 -> 41 -> 13 -> 63 -> 82 -> 3 -> 5 -> 14 -> 32 -> 81 -> 50 -> 47 -> 30 -> 62 -> 12 -> 77 -> 16 -> 40 -> 43 -> 91 -> 18 -> 95 -> 35 -> 44 -> 17 -> 23 -> 76 -> 49 -> 42 -> 88 -> 86 -> 65 -> 73 -> 59
