PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroC100
Cities    : 100
Elapsed   : 1.9s

PWA best  : 262.014835
Hybrid    : 234.293641
Improvement: +10.580%

ACO convergence history (best per iteration):
  iter    1: 234.504011
  iter    2: 234.504011
  iter    3: 234.504011
  iter    4: 234.504011
  iter    5: 234.504011
  iter    6: 234.504011
  iter    7: 234.504011
  iter    8: 234.504011
  iter    9: 234.504011
  iter   10: 234.504011
  iter   11: 234.504011
  iter   12: 234.504011
  iter   13: 234.504011
  iter   14: 234.504011
  iter   15: 234.504011
  iter   16: 234.504011
  iter   17: 234.504011
  iter   18: 234.504011
  iter   19: 234.504011
  iter   20: 234.504011
  iter   21: 234.504011
  iter   22: 234.504011
  iter   23: 234.504011
  iter   24: 234.504011
  iter   25: 234.504011
  iter   26: 234.504011
  iter   27: 234.504011
  iter   28: 234.504011
  iter   29: 234.504011
  iter   30: 234.504011
  iter   31: 234.504011
  iter   32: 234.504011
  iter   33: 234.504011
  iter   34: 234.504011
  iter   35: 234.504011
  iter   36: 234.504011
  iter   37: 234.504011
  iter   38: 234.504011
  iter   39: 234.504011
  iter   40: 234.504011
  iter   41: 234.504011
  iter   42: 234.504011
  iter   43: 234.504011
  iter   44: 234.504011
  iter   45: 234.504011
  iter   46: 234.504011
  iter   47: 234.504011
  iter   48: 234.504011
  iter   49: 234.504011
  iter   50: 234.504011
  iter   51: 234.504011
  iter   52: 234.504011
  iter   53: 234.504011
  iter   54: 234.504011
  iter   55: 234.504011
  iter   56: 234.504011
  iter   57: 234.504011
  iter   58: 234.504011
  iter   59: 234.504011
  iter   60: 234.504011
  iter   61: 234.504011
  iter   62: 234.504011
  iter   63: 234.504011
  iter   64: 234.504011
  iter   65: 234.504011
  iter   66: 234.504011
  iter   67: 234.504011
  iter   68: 234.504011
  iter   69: 234.504011
  iter   70: 234.504011
  iter   71: 234.504011
  iter   72: 234.504011
  iter   73: 234.504011
  iter   74: 234.504011
  iter   75: 234.293641
  iter   76: 234.293641
  iter   77: 234.293641
  iter   78: 234.293641
  iter   79: 234.293641
  iter   80: 234.293641

Best tour:
99 -> 32 -> 44 -> 80 -> 96 -> 95 -> 86 -> 51 -> 10 -> 83 -> 47 -> 65 -> 43 -> 62 -> 50 -> 15 -> 36 -> 60 -> 8 -> 77 -> 81 -> 6 -> 25 -> 31 -> 23 -> 45 -> 28 -> 17 -> 48 -> 11 -> 39 -> 52 -> 0 -> 84 -> 26 -> 14 -> 12 -> 78 -> 63 -> 19 -> 54 -> 41 -> 66 -> 5 -> 53 -> 61 -> 82 -> 71 -> 49 -> 90 -> 69 -> 75 -> 93 -> 94 -> 85 -> 42 -> 4 -> 55 -> 70 -> 37 -> 38 -> 27 -> 87 -> 97 -> 57 -> 33 -> 89 -> 24 -> 16 -> 7 -> 21 -> 74 -> 46 -> 30 -> 64 -> 79 -> 76 -> 29 -> 67 -> 34 -> 1 -> 22 -> 20 -> 88 -> 40 -> 58 -> 2 -> 72 -> 68 -> 59 -> 3 -> 92 -> 18 -> 91 -> 9 -> 98 -> 13 -> 35 -> 56 -> 73
