PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroD100
Cities    : 100
Elapsed   : 1.9s

PWA best  : 259.649809
Hybrid    : 239.090922
Improvement: +7.918%

ACO convergence history (best per iteration):
  iter    1: 245.134216
  iter    2: 245.134216
  iter    3: 245.134216
  iter    4: 245.134216
  iter    5: 245.134216
  iter    6: 245.134216
  iter    7: 245.134216
  iter    8: 242.129548
  iter    9: 239.740504
  iter   10: 239.740504
  iter   11: 239.740504
  iter   12: 239.740504
  iter   13: 239.740504
  iter   14: 239.740504
  iter   15: 239.740504
  iter   16: 239.740504
  iter   17: 239.740504
  iter   18: 239.740504
  iter   19: 239.740504
  iter   20: 239.740504
  iter   21: 239.740504
  iter   22: 239.740504
  iter   23: 239.740504
  iter   24: 239.740504
  iter   25: 239.740504
  iter   26: 239.740504
  iter   27: 239.740504
  iter   28: 239.740504
  iter   29: 239.740504
  iter   30: 239.740504
  iter   31: 239.740504
  iter   32: 239.740504
  iter   33: 239.740504
  iter   34: 239.740504
  iter   35: 239.740504
  iter   36: 239.740504
  iter   37: 239.740504
  iter   38: 239.740504
  iter   39: 239.740504
  iter   40: 239.740504
  iter   41: 239.740504
  iter   42: 239.740504
  iter   43: 239.740504
  iter   44: 239.740504
  iter   45: 239.740504
  iter   46: 239.740504
  iter   47: 239.740504
  iter   48: 239.740504
  iter   49: 239.740504
  iter   50: 239.740504
  iter   51: 239.740504
  iter   52: 239.740504
  iter   53: 239.740504
  iter   54: 239.740504
  iter   55: 239.740504
  iter   56: 239.740504
  iter   57: 239.740504
  iter   58: 239.740504
  iter   59: 239.740504
  iter   60: 239.740504
  iter   61: 239.740504
  iter   62: 239.740504
  iter   63: 239.740504
  iter   64: 239.740504
  iter   65: 239.740504
  iter   66: 239.740504
  iter   67: 239.740504
  iter   68: 239.740504
  iter   69: 239.740504
  iter   70: 239.090922
  iter   71: 239.090922
  iter   72: 239.090922
  iter   73: 239.090922
  iter   74: 239.090922
  iter   75: 239.090922
  iter   76: 239.090922
  iter   77: 239.090922
  iter   78: 239.090922
  iter   79: 239.090922
  iter   80: 239.090922

Best tour:
10 -> 89 -> 16 -> 93 -> 31 -> 96 -> 97 -> 48 -> 69 -> 88 -> 22 -> 41 -> 21 -> 57 -> 28 -> 35 -> 74 -> 66 -> 6 -> 73 -> 60 -> 75 -> 79 -> 71 -> 56 -> 98 -> 30 -> 77 -> 44 -> 32 -> 67 -> 13 -> 64 -> 85 -> 95 -> 81 -> 24 -> 19 -> 8 -> 9 -> 20 -> 46 -> 11 -> 27 -> 55 -> 94 -> 25 -> 86 -> 54 -> 91 -> 47 -> 1 -> 18 -> 36 -> 50 -> 99 -> 29 -> 34 -> 61 -> 59 -> 52 -> 4 -> 2 -> 82 -> 39 -> 5 -> 17 -> 84 -> 58 -> 63 -> 15 -> 62 -> 90 -> 53 -> 76 -> 42 -> 43 -> 92 -> 3 -> 70 -> 38 -> 72 -> 14 -> 68 -> 83 -> 40 -> 78 -> 12 -> 87 -> 23 -> 26 -> 0 -> 49 -> 33 -> 80 -> 37 -> 65 -> 7 -> 51 -> 45
