PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroE100
Cities    : 100
Elapsed   : 1.9s

PWA best  : 283.790296
Hybrid    : 249.946531
Improvement: +11.926%

ACO convergence history (best per iteration):
  iter    1: 254.685943
  iter    2: 254.685943
  iter    3: 252.270643
  iter    4: 252.270643
  iter    5: 252.270643
  iter    6: 252.270643
  iter    7: 252.270643
  iter    8: 252.270643
  iter    9: 252.270643
  iter   10: 252.270643
  iter   11: 252.270643
  iter   12: 252.270643
  iter   13: 252.270643
  iter   14: 252.270643
  iter   15: 252.270643
  iter   16: 252.270643
  iter   17: 252.270643
  iter   18: 252.270643
  iter   19: 252.270643
  iter   20: 252.270643
  iter   21: 252.270643
  iter   22: 250.891279
  iter   23: 250.891279
  iter   24: 250.891279
  iter   25: 250.891279
  iter   26: 250.891279
  iter   27: 250.891279
  iter   28: 250.891279
  iter   29: 250.891279
  iter   30: 250.891279
  iter   31: 250.891279
  iter   32: 250.891279
  iter   33: 250.891279
  iter   34: 250.891279
  iter   35: 250.891279
  iter   36: 250.891279
  iter   37: 250.891279
  iter   38: 250.891279
  iter   39: 250.294302
  iter   40: 250.294302
  iter   41: 250.294302
  iter   42: 250.294302
  iter   43: 250.294302
  iter   44: 250.294302
  iter   45: 250.294302
  iter   46: 250.294302
  iter   47: 250.294302
  iter   48: 250.294302
  iter   49: 250.294302
  iter   50: 250.294302
  iter   51: 250.294302
  iter   52: 250.294302
  iter   53: 250.294302
  iter   54: 250.294302
  iter   55: 250.294302
  iter   56: 250.294302
  iter   57: 250.294302
  iter   58: 250.294302
  iter   59: 250.294302
  iter   60: 250.294302
  iter   61: 250.294302
  iter   62: 250.294302
  iter   63: 250.294302
  iter   64: 250.294302
  iter   65: 250.294302
  iter   66: 250.294302
  iter   67: 250.294302
  iter   68: 250.294302
  iter   69: 250.294302
  iter   70: 250.294302
  iter   71: 250.294302
  iter   72: 250.294302
  iter   73: 250.294302
  iter   74: 250.294302
  iter   75: 250.294302
  iter   76: 250.294302
  iter   77: 250.294302
  iter   78: 250.294302
  iter   79: 250.294302
  iter   80: 250.294302

Best tour:
33 -> 36 -> 69 -> 5 -> 12 -> 74 -> 40 -> 86 -> 66 -> 26 -> 91 -> 81 -> 3 -> 10 -> 1 -> 95 -> 84 -> 76 -> 77 -> 52 -> 99 -> 28 -> 23 -> 17 -> 93 -> 18 -> 85 -> 42 -> 38 -> 21 -> 32 -> 37 -> 67 -> 47 -> 89 -> 41 -> 4 -> 7 -> 64 -> 53 -> 24 -> 39 -> 87 -> 34 -> 62 -> 57 -> 31 -> 11 -> 75 -> 6 -> 20 -> 73 -> 0 -> 82 -> 72 -> 15 -> 60 -> 70 -> 43 -> 13 -> 51 -> 71 -> 88 -> 80 -> 78 -> 25 -> 45 -> 2 -> 46 -> 68 -> 50 -> 97 -> 58 -> 35 -> 27 -> 94 -> 63 -> 22 -> 14 -> 19 -> 55 -> 48 -> 61 -> 83 -> 16 -> 98 -> 44 -> 49 -> 59 -> 9 -> 96 -> 79 -> 56 -> 8 -> 30 -> 65 -> 29 -> 92 -> 90 -> 54
