PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroA200
Cities    : 200
Elapsed   : 6.7s

PWA best  : 377.109134
Hybrid    : 338.752699
Improvement: +10.171%

ACO convergence history (best per iteration):
  iter    1: 349.518610
  iter    2: 349.518610
  iter    3: 349.518610
  iter    4: 349.518610
  iter    5: 345.089936
  iter    6: 345.089936
  iter    7: 345.089936
  iter    8: 345.089936
  iter    9: 345.089936
  iter   10: 345.089936
  iter   11: 345.089936
  iter   12: 345.089936
  iter   13: 345.089936
  iter   14: 344.522006
  iter   15: 344.522006
  iter   16: 344.522006
  iter   17: 344.522006
  iter   18: 344.522006
  iter   19: 344.522006
  iter   20: 344.522006
  iter   21: 344.522006
  iter   22: 344.522006
  iter   23: 344.522006
  iter   24: 344.522006
  iter   25: 344.522006
  iter   26: 344.522006
  iter   27: 344.522006
  iter   28: 344.522006
  iter   29: 344.522006
  iter   30: 344.522006
  iter   31: 344.522006
  iter   32: 344.522006
  iter   33: 344.522006
  iter   34: 344.522006
  iter   35: 344.522006
  iter   36: 344.522006
  iter   37: 344.522006
  iter   38: 344.522006
  iter   39: 344.463131
  iter   40: 344.463131
  iter   41: 344.463131
  iter   42: 344.463131
  iter   43: 344.463131
  iter   44: 344.463131
  iter   45: 344.463131
  iter   46: 344.463131
  iter   47: 343.755446
  iter   48: 343.755446
  iter   49: 343.755446
  iter   50: 343.359684
  iter   51: 343.359684
  iter   52: 343.359684
  iter   53: 343.359684
  iter   54: 343.359684
  iter   55: 343.359684
  iter   56: 343.359684
  iter   57: 343.359684
  iter   58: 343.359684
  iter   59: 343.359684
  iter   60: 343.359684
  iter   61: 343.359684
  iter   62: 343.359684
  iter   63: 343.359684
  iter   64: 343.359684
  iter   65: 343.359684
  iter   66: 343.359684
  iter   67: 343.359684
  iter   68: 343.359684
  iter   69: 343.359684
  iter   70: 343.359684
  iter   71: 343.359684
  iter   72: 343.359684
  iter   73: 343.359684
  iter   74: 343.359684
  iter   75: 343.359684
  iter   76: 343.359684
  iter   77: 343.359684
  iter   78: 343.359684
  iter   79: 343.359684
  iter   80: 343.359684

Best tour:
73 -> 35 -> 56 -> 13 -> 191 -> 3 -> 100 -> 59 -> 192 -> 127 -> 157 -> 76 -> 160 -> 124 -> 180 -> 1 -> 34 -> 168 -> 67 -> 29 -> 166 -> 107 -> 68 -> 141 -> 179 -> 130 -> 188 -> 2 -> 72 -> 58 -> 40 -> 88 -> 153 -> 20 -> 139 -> 163 -> 101 -> 69 -> 75 -> 181 -> 194 -> 112 -> 175 -> 132 -> 136 -> 42 -> 104 -> 4 -> 55 -> 151 -> 177 -> 195 -> 138 -> 49 -> 85 -> 94 -> 93 -> 90 -> 149 -> 143 -> 22 -> 172 -> 167 -> 184 -> 61 -> 82 -> 71 -> 129 -> 38 -> 70 -> 37 -> 27 -> 87 -> 147 -> 97 -> 113 -> 199 -> 170 -> 140 -> 57 -> 33 -> 89 -> 24 -> 16 -> 142 -> 102 -> 128 -> 145 -> 7 -> 21 -> 133 -> 154 -> 182 -> 74 -> 108 -> 106 -> 156 -> 5 -> 53 -> 186 -> 150 -> 79 -> 64 -> 66 -> 30 -> 46 -> 119 -> 111 -> 126 -> 185 -> 54 -> 41 -> 134 -> 19 -> 63 -> 161 -> 159 -> 78 -> 176 -> 12 -> 14 -> 122 -> 197 -> 26 -> 190 -> 144 -> 84 -> 131 -> 0 -> 52 -> 114 -> 116 -> 110 -> 39 -> 146 -> 11 -> 162 -> 92 -> 105 -> 148 -> 189 -> 48 -> 17 -> 109 -> 28 -> 183 -> 36 -> 45 -> 171 -> 120 -> 173 -> 158 -> 23 -> 31 -> 135 -> 60 -> 25 -> 198 -> 6 -> 81 -> 77 -> 8 -> 137 -> 123 -> 117 -> 15 -> 178 -> 65 -> 152 -> 18 -> 98 -> 174 -> 9 -> 91 -> 118 -> 103 -> 95 -> 125 -> 86 -> 51 -> 10 -> 83 -> 169 -> 121 -> 115 -> 193 -> 50 -> 62 -> 43 -> 187 -> 47 -> 165 -> 164 -> 96 -> 80 -> 44 -> 196 -> 32 -> 155 -> 99
