PWA-ACO Hybrid  —  run summary
========================================
Dataset   : bier127
Cities    : 127
Elapsed   : 2.7s

PWA best  : 1514.271521
Hybrid    : 1312.373852
Improvement: +13.333%

ACO convergence history (best per iteration):
  iter    1: 1361.081284
  iter    2: 1361.081284
  iter    3: 1361.081284
  iter    4: 1361.081284
  iter    5: 1361.081284
  iter    6: 1361.081284
  iter    7: 1361.081284
  iter    8: 1361.081284
  iter    9: 1361.081284
  iter   10: 1361.081284
  iter   11: 1361.081284
  iter   12: 1361.081284
  iter   13: 1359.606181
  iter   14: 1359.606181
  iter   15: 1359.606181
  iter   16: 1359.606181
  iter   17: 1354.871771
  iter   18: 1354.871771
  iter   19: 1354.871771
  iter   20: 1333.435420
  iter   21: 1333.435420
  iter   22: 1333.435420
  iter   23: 1333.435420
  iter   24: 1333.435420
  iter   25: 1333.435420
  iter   26: 1333.435420
  iter   27: 1333.435420
  iter   28: 1333.435420
  iter   29: 1333.435420
  iter   30: 1333.435420
  iter   31: 1333.435420
  iter   32: 1333.435420
  iter   33: 1333.435420
  iter   34: 1333.435420
  iter   35: 1333.435420
  iter   36: 1333.435420
  iter   37: 1333.435420
  iter   38: 1333.435420
  iter   39: 1333.435420
  iter   40: 1331.211296
  iter   41: 1331.211296
  iter   42: 1331.211296
  iter   43: 1331.211296
  iter   44: 1331.211296
  iter   45: 1331.211296
  iter   46: 1331.211296
  iter   47: 1331.211296
  iter   48: 1331.211296
  iter   49: 1331.211296
  iter   50: 1331.211296
  iter   51: 1331.211296
  iter   52: 1331.211296
  iter   53: 1331.211296
  iter   54: 1331.211296
  iter   55: 1331.211296
  iter   56: 1331.211296
  iter   57: 1331.211296
  iter   58: 1331.211296
  iter   59: 1331.211296
  iter   60: 1331.211296
  iter   61: 1331.211296
  iter   62: 1331.211296
  iter   63: 1331.211296
  iter   64: 1331.211296
  iter   65: 1331.211296
  iter   66: 1331.211296
  iter   67: 1331.211296
  iter   68: 1331.211296
  iter   69: 1331.211296
  iter   70: 1331.211296
  iter   71: 1331.211296
  iter   72: 1331.211296
  iter   73: 1331.211296
  iter   74: 1331.211296
  iter   75: 1331.211296
  iter   76: 1319.239651
  iter   77: 1319.239651
  iter   78: 1319.239651
  iter   79: 1319.239651
  iter   80: 1319.239651

Best tour:
69 -> 68 -> 74 -> 75 -> 77 -> 116 -> 83 -> 80 -> 125 -> 81 -> 82 -> 100 -> 101 -> 62 -> 118 -> 95 -> 108 -> 87 -> 86 -> 85 -> 84 -> 109 -> 103 -> 124 -> 88 -> 91 -> 98 -> 64 -> 112 -> 54 -> 65 -> 99 -> 63 -> 57 -> 90 -> 60 -> 61 -> 58 -> 59 -> 115 -> 89 -> 2 -> 9 -> 119 -> 12 -> 114 -> 49 -> 50 -> 1 -> 15 -> 0 -> 6 -> 104 -> 113 -> 10 -> 8 -> 7 -> 71 -> 18 -> 21 -> 3 -> 22 -> 23 -> 5 -> 105 -> 14 -> 107 -> 19 -> 20 -> 16 -> 11 -> 13 -> 40 -> 29 -> 42 -> 39 -> 35 -> 36 -> 34 -> 43 -> 102 -> 44 -> 53 -> 56 -> 120 -> 55 -> 4 -> 51 -> 123 -> 46 -> 52 -> 48 -> 117 -> 47 -> 45 -> 93 -> 111 -> 110 -> 106 -> 126 -> 92 -> 94 -> 122 -> 96 -> 97 -> 31 -> 28 -> 24 -> 32 -> 121 -> 27 -> 41 -> 33 -> 38 -> 37 -> 25 -> 26 -> 30 -> 79 -> 78 -> 76 -> 17 -> 73 -> 72 -> 66 -> 67 -> 70
