seed,hybrid_cost,pwa_cost,improvement_pct,elapsed_seconds,peak_memory_mb,peak_cpu_pct,n_ants,n_iters,error
42,1250.960583866359,1405.7611628771738,11.011869092612017,74.331,5236.79,581.0,20,80,
43,1257.1104648820778,1405.7611628771738,10.574392145736356,74.172,5297.45,603.1,20,80,
44,1236.0245514145338,1405.7611628771738,12.074356295008162,74.197,5289.34,617.0,20,80,
45,1266.905236614501,1405.7611628771738,9.877632839029074,73.799,5314.71,624.9,20,80,
46,1279.7428789364526,1405.7611628771738,8.964416379436699,73.776,5326.39,383.4,20,80,
47,1250.3547279821837,1405.7611628771738,11.054967159351554,74.271,5292.26,601.1,20,80,
48,1270.7674624379017,1405.7611628771738,9.602890164000563,73.626,5299.58,617.0,20,80,
49,1259.2266578920148,1405.7611628771738,10.423854980119563,73.872,5307.47,625.0,20,80,
50,1241.6494440011695,1405.7611628771738,11.674224840592162,73.824,5300.05,638.9,20,80,
51,1256.6544518080996,1405.7611628771738,10.606831018428284,74.83,5314.3,640.9,20,80,
52,1241.3964941730515,1405.7611628771738,11.692218638884352,73.559,5320.0,625.0,20,80,
53,1255.2518281528623,1405.7611628771738,10.7066078291894,73.874,5312.45,571.1,20,80,
54,1259.2331152114205,1405.7611628771738,10.423395633284827,74.748,5315.79,628.9,20,80,
55,1277.5169177704286,1405.7611628771738,9.122761994951368,73.687,5280.25,642.9,20,80,
56,1255.5774402229454,1405.7611628771738,10.68344514133874,73.531,5323.64,631.0,20,80,
57,1265.5752466205158,1405.7611628771738,9.972242793344725,75.302,5300.61,561.0,20,80,
58,1266.6055873851615,1405.7611628771738,9.898948638416098,76.761,5308.34,569.1,20,80,
59,1259.8626796942572,1405.7611628771738,10.37861103548386,73.04,5313.61,629.6,20,80,
60,1271.1706492763544,1405.7611628771738,9.57420912990317,74.82,5282.19,525.2,20,80,
61,1251.5546315982956,1405.7611628771738,10.969611008691079,74.533,5316.4,445.3,20,80,
62,1274.181818411058,1405.7611628771738,9.360007086610086,73.803,5257.75,575.0,20,80,
63,1256.2865765249153,1405.7611628771738,10.633000135409103,74.432,5277.63,521.1,20,80,
64,1256.7439107608727,1405.7611628771738,10.600467280751106,74.692,5305.07,575.1,20,80,
65,1250.3760276151675,1405.7611628771738,11.053451992085149,79.201,5295.8,541.1,20,80,
66,1241.2795171424532,1405.7611628771738,11.700539898120086,74.223,5320.34,616.9,20,80,
67,1240.6502639717326,1405.7611628771738,11.745302350472427,73.963,5238.16,571.1,20,80,
68,1242.6506677432212,1405.7611628771738,11.603001949500015,74.196,5316.33,570.9,20,80,
69,1259.0733006140797,1405.7611628771738,10.434764178778973,77.135,5323.6,531.1,20,80,
70,1261.9556219291933,1405.7611628771738,10.229727833258208,73.934,5313.56,623.0,20,80,
71,1244.5825694375765,1405.7611628771738,11.465574501269675,74.537,5311.01,630.9,20,80,
