PWA-ACO Hybrid  —  run summary
========================================
Dataset   : lin105
Cities    : 105
Elapsed   : 2.1s

PWA best  : 185.235128
Hybrid    : 160.377176
Improvement: +13.420%

ACO convergence history (best per iteration):
  iter    1: 171.924512
  iter    2: 165.330564
  iter    3: 164.482274
  iter    4: 164.482274
  iter    5: 164.482274
  iter    6: 164.482274
  iter    7: 164.482274
  iter    8: 164.482274
  iter    9: 164.482274
  iter   10: 164.482274
  iter   11: 164.482274
  iter   12: 164.482274
  iter   13: 164.482274
  iter   14: 164.482274
  iter   15: 164.482274
  iter   16: 164.482274
  iter   17: 164.482274
  iter   18: 164.482274
  iter   19: 164.482274
  iter   20: 164.482274
  iter   21: 164.482274
  iter   22: 164.482274
  iter   23: 164.482274
  iter   24: 164.482274
  iter   25: 164.482274
  iter   26: 164.482274
  iter   27: 164.482274
  iter   28: 164.482274
  iter   29: 164.482274
  iter   30: 164.482274
  iter   31: 164.482274
  iter   32: 164.482274
  iter   33: 164.482274
  iter   34: 164.482274
  iter   35: 164.482274
  iter   36: 164.482274
  iter   37: 164.482274
  iter   38: 164.482274
  iter   39: 164.482274
  iter   40: 164.482274
  iter   41: 164.482274
  iter   42: 164.482274
  iter   43: 164.482274
  iter   44: 164.482274
  iter   45: 164.482274
  iter   46: 164.482274
  iter   47: 164.017934
  iter   48: 164.017934
  iter   49: 164.017934
  iter   50: 164.017934
  iter   51: 164.017934
  iter   52: 164.017934
  iter   53: 164.017934
  iter   54: 162.828489
  iter   55: 162.828489
  iter   56: 162.828489
  iter   57: 162.828489
  iter   58: 162.828489
  iter   59: 162.828489
  iter   60: 162.828489
  iter   61: 162.828489
  iter   62: 162.828489
  iter   63: 162.828489
  iter   64: 162.828489
  iter   65: 162.197653
  iter   66: 162.197653
  iter   67: 162.197653
  iter   68: 162.197653
  iter   69: 162.197653
  iter   70: 162.197653
  iter   71: 162.197653
  iter   72: 162.197653
  iter   73: 162.197653
  iter   74: 162.197653
  iter   75: 162.197653
  iter   76: 162.197653
  iter   77: 162.197653
  iter   78: 162.197653
  iter   79: 162.197653
  iter   80: 162.197653

Best tour:
2 -> 0 -> 1 -> 5 -> 6 -> 9 -> 10 -> 14 -> 102 -> 20 -> 21 -> 28 -> 31 -> 30 -> 29 -> 19 -> 22 -> 27 -> 32 -> 36 -> 35 -> 103 -> 39 -> 48 -> 44 -> 47 -> 49 -> 54 -> 55 -> 58 -> 104 -> 56 -> 53 -> 50 -> 46 -> 43 -> 40 -> 41 -> 42 -> 45 -> 51 -> 52 -> 57 -> 61 -> 62 -> 69 -> 80 -> 74 -> 73 -> 68 -> 72 -> 75 -> 79 -> 85 -> 78 -> 76 -> 71 -> 63 -> 66 -> 67 -> 70 -> 77 -> 81 -> 83 -> 82 -> 84 -> 90 -> 91 -> 95 -> 96 -> 101 -> 100 -> 92 -> 88 -> 89 -> 97 -> 98 -> 99 -> 94 -> 93 -> 87 -> 86 -> 65 -> 64 -> 60 -> 59 -> 38 -> 37 -> 34 -> 33 -> 12 -> 13 -> 3 -> 4 -> 8 -> 7 -> 16 -> 15 -> 25 -> 24 -> 17 -> 23 -> 26 -> 18 -> 11
