PWA-ACO Hybrid  —  run summary
========================================
Dataset   : p654
Cities    : 654
Elapsed   : 228.0s

PWA best  : 499.888501
Hybrid    : 379.138655
Improvement: +24.155%

ACO convergence history (best per iteration):
  iter    1: 412.263686
  iter    2: 412.263686
  iter    3: 404.826800
  iter    4: 404.826800
  iter    5: 404.826800
  iter    6: 401.945974
  iter    7: 399.972994
  iter    8: 395.799337
  iter    9: 395.799337
  iter   10: 395.799337
  iter   11: 395.799337
  iter   12: 395.799337
  iter   13: 395.799337
  iter   14: 395.799337
  iter   15: 395.799337
  iter   16: 395.799337
  iter   17: 395.799337
  iter   18: 395.799337
  iter   19: 395.799337
  iter   20: 395.799337
  iter   21: 395.799337
  iter   22: 395.799337
  iter   23: 395.799337
  iter   24: 395.799337
  iter   25: 395.799337
  iter   26: 395.799337
  iter   27: 395.799337
  iter   28: 395.799337
  iter   29: 395.799337
  iter   30: 395.799337
  iter   31: 395.799337
  iter   32: 395.799337
  iter   33: 395.799337
  iter   34: 395.799337
  iter   35: 395.799337
  iter   36: 395.799337
  iter   37: 393.848768
  iter   38: 393.848768
  iter   39: 393.848768
  iter   40: 393.848768
  iter   41: 393.848768
  iter   42: 393.848768
  iter   43: 393.848768
  iter   44: 393.848768
  iter   45: 393.848768
  iter   46: 393.848768
  iter   47: 393.848768
  iter   48: 393.848768
  iter   49: 393.848768
  iter   50: 393.848768
  iter   51: 393.848768
  iter   52: 393.848768
  iter   53: 393.848768
  iter   54: 393.848768
  iter   55: 393.848768
  iter   56: 393.848768
  iter   57: 393.848768
  iter   58: 393.848768
  iter   59: 393.848768
  iter   60: 393.848768
  iter   61: 393.848768
  iter   62: 393.848768
  iter   63: 393.848768
  iter   64: 393.848768
  iter   65: 393.848768
  iter   66: 393.848768
  iter   67: 393.848768
  iter   68: 393.848768
  iter   69: 393.848768
  iter   70: 393.848768
  iter   71: 393.848768
  iter   72: 393.848768
  iter   73: 393.848768
  iter   74: 393.848768
  iter   75: 393.848768
  iter   76: 393.848768
  iter   77: 393.848768
  iter   78: 393.848768
  iter   79: 393.848768
  iter   80: 393.848768

Best tour:
