PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pcb442
Cities    : 442
Elapsed   : 84.4s

PWA best  : 699.371834
Hybrid    : 592.282818
Improvement: +15.312%

ACO convergence history (best per iteration):
  iter    1: 620.018319
  iter    2: 620.018319
  iter    3: 620.018319
  iter    4: 620.018319
  iter    5: 620.018319
  iter    6: 620.018319
  iter    7: 620.018319
  iter    8: 614.166858
  iter    9: 614.166858
  iter   10: 614.166858
  iter   11: 614.166858
  iter   12: 614.166858
  iter   13: 614.166858
  iter   14: 614.166858
  iter   15: 614.166858
  iter   16: 614.166858
  iter   17: 614.166858
  iter   18: 614.166858
  iter   19: 610.777257
  iter   20: 610.777257
  iter   21: 610.777257
  iter   22: 610.777257
  iter   23: 610.777257
  iter   24: 610.777257
  iter   25: 610.777257
  iter   26: 603.911624
  iter   27: 603.911624
  iter   28: 603.911624
  iter   29: 603.911624
  iter   30: 603.911624
  iter   31: 603.911624
  iter   32: 603.911624
  iter   33: 603.911624
  iter   34: 603.911624
  iter   35: 603.911624
  iter   36: 603.911624
  iter   37: 603.911624
  iter   38: 603.911624
  iter   39: 603.911624
  iter   40: 603.911624
  iter   41: 603.911624
  iter   42: 603.911624
  iter   43: 603.911624
  iter   44: 603.911624
  iter   45: 603.911624
  iter   46: 603.911624
  iter   47: 603.911624
  iter   48: 603.911624
  iter   49: 603.911624
  iter   50: 603.911624
  iter   51: 603.911624
  iter   52: 603.911624
  iter   53: 603.911624
  iter   54: 603.911624
  iter   55: 603.911624
  iter   56: 603.911624
  iter   57: 603.911624
  iter   58: 603.911624
  iter   59: 603.911624
  iter   60: 603.911624
  iter   61: 603.911624
  iter   62: 603.911624
  iter   63: 603.911624
  iter   64: 603.911624
  iter   65: 603.911624
  iter   66: 603.911624
  iter   67: 603.911624
  iter   68: 603.911624
  iter   69: 603.911624
  iter   70: 603.911624
  iter   71: 603.911624
  iter   72: 603.911624
  iter   73: 603.911624
  iter   74: 603.911624
  iter   75: 603.911624
  iter   76: 603.911624
  iter   77: 603.911624
  iter   78: 603.911624
  iter   79: 603.911624
  iter   80: 603.911624

Best tour:
