PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr124
Cities    : 124
Elapsed   : 2.4s

PWA best  : 728.533465
Hybrid    : 650.142537
Improvement: +10.760%

ACO convergence history (best per iteration):
  iter    1: 667.377160
  iter    2: 654.089536
  iter    3: 654.089536
  iter    4: 654.089536
  iter    5: 654.089536
  iter    6: 654.089536
  iter    7: 654.089536
  iter    8: 654.089536
  iter    9: 654.089536
  iter   10: 654.089536
  iter   11: 654.089536
  iter   12: 654.089536
  iter   13: 654.089536
  iter   14: 654.089536
  iter   15: 654.089536
  iter   16: 654.089536
  iter   17: 654.089536
  iter   18: 654.089536
  iter   19: 654.089536
  iter   20: 654.089536
  iter   21: 654.089536
  iter   22: 654.089536
  iter   23: 654.089536
  iter   24: 654.089536
  iter   25: 654.089536
  iter   26: 654.089536
  iter   27: 654.089536
  iter   28: 654.089536
  iter   29: 652.148407
  iter   30: 652.148407
  iter   31: 652.148407
  iter   32: 652.148407
  iter   33: 652.148407
  iter   34: 652.148407
  iter   35: 652.148407
  iter   36: 652.148407
  iter   37: 652.148407
  iter   38: 652.148407
  iter   39: 652.148407
  iter   40: 652.148407
  iter   41: 652.148407
  iter   42: 652.148407
  iter   43: 652.148407
  iter   44: 652.148407
  iter   45: 652.148407
  iter   46: 652.148407
  iter   47: 652.148407
  iter   48: 652.148407
  iter   49: 651.868486
  iter   50: 651.868486
  iter   51: 651.868486
  iter   52: 651.868486
  iter   53: 651.868486
  iter   54: 651.868486
  iter   55: 651.868486
  iter   56: 651.868486
  iter   57: 651.868486
  iter   58: 651.868486
  iter   59: 651.868486
  iter   60: 651.868486
  iter   61: 651.868486
  iter   62: 651.868486
  iter   63: 651.868486
  iter   64: 651.868486
  iter   65: 651.868486
  iter   66: 651.868486
  iter   67: 651.868486
  iter   68: 651.868486
  iter   69: 651.868486
  iter   70: 651.868486
  iter   71: 651.868486
  iter   72: 651.868486
  iter   73: 651.868486
  iter   74: 650.142537
  iter   75: 650.142537
  iter   76: 650.142537
  iter   77: 650.142537
  iter   78: 650.142537
  iter   79: 650.142537
  iter   80: 650.142537

Best tour:
80 -> 81 -> 83 -> 82 -> 66 -> 64 -> 65 -> 61 -> 32 -> 33 -> 29 -> 30 -> 31 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0 -> 7 -> 6 -> 26 -> 27 -> 28 -> 34 -> 35 -> 58 -> 60 -> 59 -> 57 -> 56 -> 55 -> 54 -> 36 -> 37 -> 25 -> 23 -> 24 -> 21 -> 22 -> 38 -> 39 -> 20 -> 19 -> 18 -> 17 -> 44 -> 43 -> 42 -> 40 -> 41 -> 53 -> 52 -> 51 -> 45 -> 16 -> 15 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13 -> 14 -> 49 -> 50 -> 48 -> 47 -> 46 -> 87 -> 88 -> 103 -> 104 -> 105 -> 106 -> 107 -> 108 -> 109 -> 110 -> 111 -> 112 -> 113 -> 102 -> 101 -> 89 -> 86 -> 85 -> 84 -> 90 -> 100 -> 115 -> 114 -> 116 -> 117 -> 118 -> 119 -> 120 -> 121 -> 122 -> 123 -> 99 -> 98 -> 97 -> 96 -> 95 -> 94 -> 93 -> 92 -> 91 -> 79 -> 78 -> 77 -> 76 -> 75 -> 74 -> 73 -> 72 -> 71 -> 70 -> 69 -> 68 -> 67 -> 63 -> 62
