PWA-ACO Hybrid  —  run summary
========================================
Dataset   : ch130
Cities    : 130
Elapsed   : 2.8s

PWA best  : 76.140615
Hybrid    : 68.890543
Improvement: +9.522%

ACO convergence history (best per iteration):
  iter    1: 71.940035
  iter    2: 71.736489
  iter    3: 70.806044
  iter    4: 70.806044
  iter    5: 70.806044
  iter    6: 70.806044
  iter    7: 70.806044
  iter    8: 70.806044
  iter    9: 70.806044
  iter   10: 70.806044
  iter   11: 70.806044
  iter   12: 70.806044
  iter   13: 70.806044
  iter   14: 70.806044
  iter   15: 69.518007
  iter   16: 69.518007
  iter   17: 69.518007
  iter   18: 69.518007
  iter   19: 69.518007
  iter   20: 69.518007
  iter   21: 69.518007
  iter   22: 69.518007
  iter   23: 69.518007
  iter   24: 69.518007
  iter   25: 69.518007
  iter   26: 69.518007
  iter   27: 69.518007
  iter   28: 69.518007
  iter   29: 69.518007
  iter   30: 69.518007
  iter   31: 69.518007
  iter   32: 69.518007
  iter   33: 69.518007
  iter   34: 69.518007
  iter   35: 69.518007
  iter   36: 69.518007
  iter   37: 69.518007
  iter   38: 69.213282
  iter   39: 69.213282
  iter   40: 69.213282
  iter   41: 69.213282
  iter   42: 69.213282
  iter   43: 69.213282
  iter   44: 69.213282
  iter   45: 69.213282
  iter   46: 69.213282
  iter   47: 69.213282
  iter   48: 69.213282
  iter   49: 69.213282
  iter   50: 69.213282
  iter   51: 69.213282
  iter   52: 69.213282
  iter   53: 69.213282
  iter   54: 69.213282
  iter   55: 69.213282
  iter   56: 69.213282
  iter   57: 69.213282
  iter   58: 69.213282
  iter   59: 69.213282
  iter   60: 69.213282
  iter   61: 69.213282
  iter   62: 69.213282
  iter   63: 69.213282
  iter   64: 69.213282
  iter   65: 69.213282
  iter   66: 69.213282
  iter   67: 69.213282
  iter   68: 69.213282
  iter   69: 69.213282
  iter   70: 69.213282
  iter   71: 69.213282
  iter   72: 69.213282
  iter   73: 69.213282
  iter   74: 69.213282
  iter   75: 69.213282
  iter   76: 69.213282
  iter   77: 69.213282
  iter   78: 69.213282
  iter   79: 68.890543
  iter   80: 68.890543

Best tour:
75 -> 44 -> 15 -> 127 -> 104 -> 111 -> 116 -> 114 -> 27 -> 61 -> 4 -> 10 -> 108 -> 60 -> 128 -> 123 -> 63 -> 68 -> 85 -> 87 -> 25 -> 6 -> 96 -> 69 -> 126 -> 106 -> 103 -> 42 -> 33 -> 30 -> 16 -> 53 -> 34 -> 3 -> 92 -> 43 -> 41 -> 59 -> 50 -> 119 -> 52 -> 48 -> 57 -> 105 -> 37 -> 23 -> 28 -> 14 -> 18 -> 26 -> 99 -> 115 -> 94 -> 78 -> 11 -> 86 -> 80 -> 102 -> 76 -> 93 -> 88 -> 109 -> 97 -> 67 -> 62 -> 47 -> 24 -> 112 -> 31 -> 35 -> 83 -> 118 -> 122 -> 110 -> 100 -> 81 -> 56 -> 8 -> 55 -> 64 -> 51 -> 73 -> 74 -> 98 -> 72 -> 91 -> 71 -> 90 -> 5 -> 101 -> 54 -> 121 -> 9 -> 13 -> 95 -> 66 -> 12 -> 22 -> 39 -> 46 -> 36 -> 21 -> 32 -> 20 -> 125 -> 120 -> 77 -> 65 -> 84 -> 124 -> 89 -> 58 -> 29 -> 82 -> 2 -> 113 -> 107 -> 7 -> 17 -> 45 -> 79 -> 19 -> 117 -> 1 -> 49 -> 129 -> 70 -> 38 -> 40 -> 0
