PWA-ACO Hybrid  —  run summary
========================================
Dataset   : st70
Cities    : 70
Elapsed   : 1.3s

PWA best  : 8.640187
Hybrid    : 7.472285
Improvement: +13.517%

ACO convergence history (best per iteration):
  iter    1: 7.715840
  iter    2: 7.715840
  iter    3: 7.715840
  iter    4: 7.715840
  iter    5: 7.715840
  iter    6: 7.688028
  iter    7: 7.688028
  iter    8: 7.675229
  iter    9: 7.675229
  iter   10: 7.675229
  iter   11: 7.675229
  iter   12: 7.675229
  iter   13: 7.675229
  iter   14: 7.675229
  iter   15: 7.675229
  iter   16: 7.675229
  iter   17: 7.675229
  iter   18: 7.675229
  iter   19: 7.675229
  iter   20: 7.675229
  iter   21: 7.675229
  iter   22: 7.607370
  iter   23: 7.607370
  iter   24: 7.607370
  iter   25: 7.607370
  iter   26: 7.607370
  iter   27: 7.607370
  iter   28: 7.607370
  iter   29: 7.607370
  iter   30: 7.607370
  iter   31: 7.607370
  iter   32: 7.607370
  iter   33: 7.607370
  iter   34: 7.607370
  iter   35: 7.607370
  iter   36: 7.607370
  iter   37: 7.607370
  iter   38: 7.607370
  iter   39: 7.607370
  iter   40: 7.607370
  iter   41: 7.607370
  iter   42: 7.607370
  iter   43: 7.607370
  iter   44: 7.607370
  iter   45: 7.607370
  iter   46: 7.607370
  iter   47: 7.607370
  iter   48: 7.607370
  iter   49: 7.607370
  iter   50: 7.607370
  iter   51: 7.607370
  iter   52: 7.607370
  iter   53: 7.607370
  iter   54: 7.607370
  iter   55: 7.607370
  iter   56: 7.607370
  iter   57: 7.596407
  iter   58: 7.596407
  iter   59: 7.596407
  iter   60: 7.596407
  iter   61: 7.596407
  iter   62: 7.596407
  iter   63: 7.596407
  iter   64: 7.596407
  iter   65: 7.596407
  iter   66: 7.596407
  iter   67: 7.596407
  iter   68: 7.596407
  iter   69: 7.596407
  iter   70: 7.472285
  iter   71: 7.472285
  iter   72: 7.472285
  iter   73: 7.472285
  iter   74: 7.472285
  iter   75: 7.472285
  iter   76: 7.472285
  iter   77: 7.472285
  iter   78: 7.472285
  iter   79: 7.472285
  iter   80: 7.472285

Best tour:
47 -> 61 -> 53 -> 32 -> 20 -> 33 -> 11 -> 59 -> 51 -> 9 -> 4 -> 52 -> 5 -> 40 -> 42 -> 16 -> 8 -> 39 -> 60 -> 38 -> 44 -> 24 -> 45 -> 26 -> 67 -> 43 -> 29 -> 19 -> 13 -> 7 -> 25 -> 54 -> 48 -> 27 -> 31 -> 2 -> 41 -> 17 -> 3 -> 1 -> 6 -> 18 -> 23 -> 14 -> 56 -> 65 -> 62 -> 21 -> 58 -> 37 -> 30 -> 68 -> 34 -> 69 -> 28 -> 12 -> 22 -> 35 -> 0 -> 15 -> 46 -> 36 -> 57 -> 49 -> 50 -> 64 -> 63 -> 10 -> 55 -> 66
