PWA-ACO Hybrid  —  run summary
========================================
Dataset   : rd400
Cities    : 400
Elapsed   : 62.4s

PWA best  : 197.543170
Hybrid    : 179.407035
Improvement: +9.181%

ACO convergence history (best per iteration):
  iter    1: 187.211180
  iter    2: 186.107029
  iter    3: 186.107029
  iter    4: 186.107029
  iter    5: 186.107029
  iter    6: 186.107029
  iter    7: 185.578286
  iter    8: 185.578286
  iter    9: 185.578286
  iter   10: 185.578286
  iter   11: 185.578286
  iter   12: 183.816881
  iter   13: 183.816881
  iter   14: 183.816881
  iter   15: 183.816881
  iter   16: 183.816881
  iter   17: 183.816881
  iter   18: 183.816881
  iter   19: 183.816881
  iter   20: 183.816881
  iter   21: 183.816881
  iter   22: 183.816881
  iter   23: 183.816881
  iter   24: 183.816881
  iter   25: 183.816881
  iter   26: 182.910212
  iter   27: 182.910212
  iter   28: 182.910212
  iter   29: 182.910212
  iter   30: 182.910212
  iter   31: 182.910212
  iter   32: 182.910212
  iter   33: 182.910212
  iter   34: 182.910212
  iter   35: 182.910212
  iter   36: 182.910212
  iter   37: 182.910212
  iter   38: 182.910212
  iter   39: 182.910212
  iter   40: 182.910212
  iter   41: 182.910212
  iter   42: 182.910212
  iter   43: 182.760808
  iter   44: 182.760808
  iter   45: 182.760808
  iter   46: 182.760808
  iter   47: 182.760808
  iter   48: 182.760808
  iter   49: 182.760808
  iter   50: 182.760808
  iter   51: 182.760808
  iter   52: 182.760808
  iter   53: 182.760808
  iter   54: 182.760808
  iter   55: 182.760808
  iter   56: 182.760808
  iter   57: 182.760808
  iter   58: 182.760808
  iter   59: 182.760808
  iter   60: 182.760808
  iter   61: 182.760808
  iter   62: 182.760808
  iter   63: 182.760808
  iter   64: 182.760808
  iter   65: 182.760808
  iter   66: 182.760808
  iter   67: 182.760808
  iter   68: 182.760808
  iter   69: 182.760808
  iter   70: 182.760808
  iter   71: 182.760808
  iter   72: 182.760808
  iter   73: 182.760808
  iter   74: 182.760808
  iter   75: 182.760808
  iter   76: 182.760808
  iter   77: 182.760808
  iter   78: 182.760808
  iter   79: 182.760808
  iter   80: 182.760808

Best tour:
283 -> 76 -> 198 -> 53 -> 288 -> 399 -> 347 -> 277 -> 86 -> 186 -> 311 -> 339 -> 242 -> 355 -> 388 -> 330 -> 199 -> 24 -> 162 -> 28 -> 173 -> 196 -> 368 -> 94 -> 52 -> 397 -> 189 -> 307 -> 158 -> 84 -> 358 -> 155 -> 191 -> 258 -> 228 -> 174 -> 318 -> 209 -> 203 -> 179 -> 151 -> 295 -> 82 -> 49 -> 393 -> 398 -> 364 -> 17 -> 304 -> 232 -> 181 -> 216 -> 187 -> 171 -> 266 -> 133 -> 139 -> 73 -> 218 -> 96 -> 337 -> 148 -> 90 -> 7 -> 334 -> 192 -> 379 -> 302 -> 333 -> 309 -> 142 -> 369 -> 290 -> 230 -> 219 -> 74 -> 36 -> 296 -> 62 -> 320 -> 11 -> 125 -> 26 -> 217 -> 169 -> 317 -> 247 -> 354 -> 104 -> 193 -> 32 -> 323 -> 60 -> 93 -> 234 -> 332 -> 363 -> 69 -> 80 -> 240 -> 176 -> 143 -> 197 -> 77 -> 207 -> 276 -> 321 -> 350 -> 373 -> 291 -> 324 -> 301 -> 85 -> 371 -> 282 -> 182 -> 45 -> 137 -> 149 -> 170 -> 293 -> 130 -> 375 -> 42 -> 220 -> 175 -> 377 -> 27 -> 268 -> 249 -> 222 -> 387 -> 261 -> 30 -> 241 -> 124 -> 352 -> 51 -> 376 -> 336 -> 79 -> 227 -> 225 -> 280 -> 279 -> 259 -> 140 -> 13 -> 9 -> 188 -> 145 -> 372 -> 392 -> 15 -> 360 -> 206 -> 2 -> 115 -> 389 -> 313 -> 194 -> 386 -> 329 -> 92 -> 134 -> 265 -> 254 -> 4 -> 211 -> 72 -> 381 -> 264 -> 208 -> 271 -> 331 -> 131 -> 10 -> 99 -> 362 -> 244 -> 223 -> 58 -> 31 -> 361 -> 253 -> 344 -> 59 -> 328 -> 61 -> 112 -> 349 -> 100 -> 395 -> 141 -> 22 -> 190 -> 34 -> 270 -> 71 -> 153 -> 278 -> 183 -> 35 -> 118 -> 378 -> 345 -> 212 -> 229 -> 341 -> 57 -> 135 -> 48 -> 322 -> 5 -> 150 -> 159 -> 63 -> 6 -> 46 -> 122 -> 205 -> 47 -> 123 -> 252 -> 67 -> 319 -> 275 -> 250 -> 310 -> 129 -> 306 -> 157 -> 326 -> 343 -> 109 -> 292 -> 147 -> 1 -> 121 -> 138 -> 384 -> 298 -> 359 -> 353 -> 107 -> 102 -> 95 -> 178 -> 56 -> 226 -> 214 -> 256 -> 21 -> 366 -> 91 -> 357 -> 202 -> 274 -> 55 -> 272 -> 338 -> 156 -> 299 -> 136 -> 396 -> 75 -> 68 -> 340 -> 315 -> 29 -> 20 -> 14 -> 300 -> 117 -> 195 -> 106 -> 390 -> 41 -> 287 -> 97 -> 239 -> 23 -> 18 -> 297 -> 383 -> 12 -> 172 -> 163 -> 166 -> 327 -> 25 -> 185 -> 16 -> 316 -> 267 -> 305 -> 88 -> 204 -> 66 -> 281 -> 116 -> 335 -> 128 -> 119 -> 246 -> 221 -> 114 -> 303 -> 8 -> 200 -> 0 -> 3 -> 168 -> 38 -> 294 -> 215 -> 284 -> 201 -> 213 -> 177 -> 346 -> 257 -> 236 -> 285 -> 33 -> 255 -> 44 -> 160 -> 248 -> 132 -> 351 -> 289 -> 146 -> 65 -> 370 -> 165 -> 367 -> 19 -> 273 -> 105 -> 325 -> 81 -> 269 -> 385 -> 98 -> 103 -> 110 -> 111 -> 263 -> 108 -> 245 -> 39 -> 167 -> 54 -> 238 -> 37 -> 127 -> 43 -> 180 -> 144 -> 348 -> 312 -> 78 -> 374 -> 120 -> 89 -> 231 -> 382 -> 101 -> 161 -> 224 -> 260 -> 314 -> 286 -> 113 -> 391 -> 365 -> 64 -> 83 -> 380 -> 342 -> 40 -> 70 -> 152 -> 126 -> 184 -> 251 -> 87 -> 243 -> 237 -> 50 -> 164 -> 308 -> 262 -> 235 -> 154 -> 210 -> 356 -> 394 -> 233
