PWA-ACO Hybrid  —  run summary
========================================
Dataset   : rat575
Cities    : 575
Elapsed   : 189.9s

PWA best  : 91.947534
Hybrid    : 80.002863
Improvement: +12.991%

ACO convergence history (best per iteration):
  iter    1: 83.165365
  iter    2: 82.291529
  iter    3: 82.291529
  iter    4: 82.291529
  iter    5: 82.291529
  iter    6: 82.291529
  iter    7: 82.246818
  iter    8: 82.246818
  iter    9: 82.246818
  iter   10: 82.246818
  iter   11: 82.246818
  iter   12: 82.246818
  iter   13: 82.246818
  iter   14: 82.246818
  iter   15: 82.246818
  iter   16: 82.246818
  iter   17: 82.246818
  iter   18: 82.246818
  iter   19: 82.246818
  iter   20: 82.246818
  iter   21: 82.246818
  iter   22: 82.246818
  iter   23: 82.246818
  iter   24: 82.246818
  iter   25: 82.246818
  iter   26: 82.246818
  iter   27: 82.246818
  iter   28: 82.246818
  iter   29: 82.246818
  iter   30: 82.246818
  iter   31: 82.246818
  iter   32: 82.246818
  iter   33: 82.246818
  iter   34: 82.246818
  iter   35: 82.246818
  iter   36: 82.246818
  iter   37: 82.246818
  iter   38: 82.246818
  iter   39: 82.246818
  iter   40: 82.246818
  iter   41: 82.246818
  iter   42: 82.246818
  iter   43: 82.246818
  iter   44: 82.246818
  iter   45: 82.246818
  iter   46: 82.246818
  iter   47: 82.246818
  iter   48: 81.563626
  iter   49: 81.563626
  iter   50: 81.563626
  iter   51: 81.563626
  iter   52: 81.563626
  iter   53: 81.563626
  iter   54: 81.563626
  iter   55: 81.563626
  iter   56: 81.563626
  iter   57: 81.563626
  iter   58: 81.563626
  iter   59: 81.563626
  iter   60: 81.563626
  iter   61: 81.563626
  iter   62: 81.563626
  iter   63: 81.563626
  iter   64: 81.563626
  iter   65: 81.563626
  iter   66: 81.563626
  iter   67: 81.563626
  iter   68: 81.563626
  iter   69: 81.563626
  iter   70: 81.563626
  iter   71: 81.563626
  iter   72: 81.563626
  iter   73: 81.563626
  iter   74: 81.563626
  iter   75: 81.563626
  iter   76: 81.563626
  iter   77: 81.563626
  iter   78: 81.563626
  iter   79: 81.563626
  iter   80: 81.563626

Best tour:
467 -> 444 -> 443 -> 422 -> 423 -> 446 -> 447 -> 470 -> 471 -> 472 -> 449 -> 450 -> 451 -> 452 -> 475 -> 474 -> 473 -> 496 -> 497 -> 498 -> 521 -> 520 -> 543 -> 545 -> 523 -> 524 -> 548 -> 526 -> 549 -> 547 -> 546 -> 568 -> 569 -> 570 -> 571 -> 572 -> 573 -> 550 -> 551 -> 574 -> 528 -> 527 -> 505 -> 504 -> 482 -> 481 -> 459 -> 458 -> 457 -> 480 -> 479 -> 502 -> 503 -> 525 -> 501 -> 500 -> 522 -> 499 -> 477 -> 476 -> 453 -> 454 -> 455 -> 456 -> 478 -> 429 -> 430 -> 431 -> 432 -> 433 -> 434 -> 435 -> 436 -> 413 -> 390 -> 367 -> 344 -> 343 -> 321 -> 298 -> 275 -> 274 -> 251 -> 252 -> 229 -> 228 -> 205 -> 206 -> 183 -> 182 -> 181 -> 180 -> 203 -> 204 -> 227 -> 226 -> 225 -> 201 -> 202 -> 178 -> 179 -> 156 -> 155 -> 154 -> 177 -> 200 -> 176 -> 175 -> 174 -> 173 -> 195 -> 196 -> 220 -> 197 -> 198 -> 199 -> 221 -> 222 -> 223 -> 224 -> 248 -> 247 -> 246 -> 245 -> 268 -> 267 -> 266 -> 244 -> 243 -> 242 -> 219 -> 218 -> 217 -> 240 -> 239 -> 238 -> 237 -> 236 -> 213 -> 214 -> 215 -> 192 -> 216 -> 194 -> 193 -> 170 -> 169 -> 168 -> 191 -> 190 -> 189 -> 188 -> 187 -> 186 -> 164 -> 165 -> 166 -> 167 -> 144 -> 143 -> 120 -> 119 -> 118 -> 95 -> 96 -> 74 -> 97 -> 98 -> 122 -> 123 -> 121 -> 145 -> 146 -> 124 -> 125 -> 126 -> 148 -> 147 -> 171 -> 172 -> 149 -> 150 -> 127 -> 151 -> 152 -> 153 -> 129 -> 128 -> 106 -> 107 -> 130 -> 131 -> 132 -> 158 -> 157 -> 134 -> 135 -> 136 -> 159 -> 160 -> 137 -> 114 -> 91 -> 90 -> 112 -> 113 -> 111 -> 110 -> 133 -> 108 -> 109 -> 87 -> 88 -> 89 -> 65 -> 64 -> 86 -> 85 -> 84 -> 83 -> 104 -> 105 -> 82 -> 59 -> 60 -> 62 -> 61 -> 63 -> 39 -> 40 -> 19 -> 20 -> 21 -> 22 -> 45 -> 44 -> 68 -> 67 -> 66 -> 43 -> 42 -> 18 -> 41 -> 17 -> 16 -> 15 -> 38 -> 37 -> 36 -> 35 -> 57 -> 58 -> 81 -> 80 -> 103 -> 102 -> 101 -> 100 -> 99 -> 75 -> 50 -> 73 -> 72 -> 71 -> 48 -> 47 -> 49 -> 27 -> 28 -> 51 -> 52 -> 30 -> 54 -> 53 -> 76 -> 77 -> 78 -> 79 -> 56 -> 55 -> 31 -> 32 -> 34 -> 14 -> 13 -> 12 -> 11 -> 33 -> 10 -> 9 -> 8 -> 7 -> 29 -> 6 -> 5 -> 4 -> 26 -> 25 -> 3 -> 2 -> 1 -> 0 -> 24 -> 23 -> 46 -> 69 -> 70 -> 92 -> 93 -> 115 -> 116 -> 94 -> 117 -> 140 -> 141 -> 142 -> 163 -> 162 -> 139 -> 138 -> 161 -> 184 -> 185 -> 208 -> 207 -> 232 -> 209 -> 210 -> 211 -> 212 -> 235 -> 234 -> 233 -> 255 -> 231 -> 230 -> 253 -> 254 -> 276 -> 299 -> 300 -> 301 -> 277 -> 278 -> 279 -> 256 -> 258 -> 257 -> 259 -> 260 -> 261 -> 262 -> 263 -> 264 -> 241 -> 265 -> 289 -> 288 -> 287 -> 310 -> 286 -> 285 -> 284 -> 283 -> 282 -> 280 -> 281 -> 305 -> 306 -> 329 -> 304 -> 303 -> 302 -> 324 -> 323 -> 322 -> 345 -> 346 -> 347 -> 348 -> 349 -> 325 -> 326 -> 327 -> 328 -> 352 -> 351 -> 350 -> 375 -> 376 -> 377 -> 378 -> 379 -> 380 -> 402 -> 403 -> 404 -> 381 -> 383 -> 382 -> 358 -> 357 -> 356 -> 355 -> 354 -> 353 -> 332 -> 331 -> 330 -> 307 -> 308 -> 309 -> 311 -> 333 -> 334 -> 312 -> 335 -> 336 -> 359 -> 360 -> 384 -> 385 -> 362 -> 361 -> 339 -> 337 -> 338 -> 315 -> 316 -> 317 -> 295 -> 294 -> 293 -> 314 -> 313 -> 290 -> 292 -> 291 -> 269 -> 270 -> 271 -> 249 -> 250 -> 273 -> 272 -> 296 -> 297 -> 320 -> 319 -> 318 -> 342 -> 341 -> 340 -> 363 -> 364 -> 365 -> 366 -> 389 -> 412 -> 388 -> 411 -> 410 -> 387 -> 409 -> 386 -> 408 -> 407 -> 406 -> 405 -> 428 -> 427 -> 426 -> 448 -> 425 -> 424 -> 401 -> 400 -> 399 -> 398 -> 421 -> 397 -> 396 -> 374 -> 373 -> 372 -> 371 -> 394 -> 370 -> 369 -> 368 -> 391 -> 392 -> 393 -> 417 -> 418 -> 395 -> 420 -> 419 -> 441 -> 440 -> 416 -> 415 -> 414 -> 437 -> 438 -> 439 -> 462 -> 461 -> 485 -> 463 -> 464 -> 442 -> 466 -> 465 -> 489 -> 511 -> 488 -> 487 -> 510 -> 486 -> 509 -> 508 -> 484 -> 460 -> 483 -> 506 -> 507 -> 529 -> 530 -> 531 -> 532 -> 555 -> 553 -> 552 -> 554 -> 557 -> 556 -> 533 -> 534 -> 535 -> 559 -> 558 -> 560 -> 561 -> 537 -> 536 -> 512 -> 513 -> 514 -> 516 -> 539 -> 538 -> 562 -> 563 -> 564 -> 565 -> 566 -> 567 -> 544 -> 542 -> 541 -> 540 -> 517 -> 518 -> 519 -> 495 -> 494 -> 493 -> 492 -> 515 -> 491 -> 490 -> 468 -> 469 -> 445
