tsp_file,n_cities,time_min,time_max,time_median,time_mean,time_std,time_cv,time_min_seed,time_max_seed,mem_min,mem_max,mem_median,mem_mean,mem_std,mem_cv,mem_min_seed,mem_max_seed,cpu_min,cpu_max,cpu_median,cpu_mean,cpu_std,cpu_cv,cpu_min_seed,cpu_max_seed,cost_min,cost_max,cost_median,cost_mean,cost_std,cost_cv,cost_min_seed,cost_max_seed,time_outlier_seeds
TestDataVelocity6.tsp,51,1.076,1.22,1.098,1.102,0.027,0.0248,60,57,229.7,241.19,239.785,239.326,2.627,0.011,62,67,383.3,670.4,564.95,557.017,71.801,0.1289,45,59,4.892779,4.892779,4.892779,4.892779,0.0,0.0,47,51,57
TestDataVelocity1.tsp,52,1.088,1.272,1.125,1.138,0.044,0.0387,70,52,229.74,244.8,243.16,241.841,4.239,0.0175,52,66,389.3,680.8,562.95,552.567,80.109,0.145,48,65,84.592304,84.592304,84.592304,84.592304,0.0,0.0,42,43,52
TestDataVelocity30.tsp,70,1.262,1.484,1.302,1.318,0.046,0.0349,71,61,228.54,242.89,232.33,233.698,4.643,0.0199,53,56,463.2,678.9,610.0,603.48,50.453,0.0836,53,52,7.472285,7.581878,7.487896,7.498164,0.02976,0.004,57,71,61
TestDataVelocity25.tsp,76,1.33,1.569,1.369,1.384,0.057,0.0409,71,42,230.42,244.7,243.2,240.356,4.962,0.0206,47,60,409.3,668.8,574.05,567.387,60.606,0.1068,63,61,1176.171178,1195.795475,1182.938821,1183.645099,4.871851,0.0041,46,65,42;47
TestDataVelocity7.tsp,76,1.386,1.539,1.42,1.427,0.03,0.0212,46,53,235.71,247.86,246.905,245.252,4.015,0.0164,43,55,513.0,660.7,605.85,596.733,36.796,0.0617,50,48,6.104668,6.224164,6.175204,6.170631,0.027899,0.0045,63,58,53
TestDataVelocity11.tsp,100,1.745,2.014,1.791,1.805,0.051,0.0282,64,61,240.66,253.84,252.04,248.505,5.212,0.021,48,47,423.4,679.0,589.15,580.11,67.367,0.1161,71,66,235.126687,238.895746,237.154747,237.033274,1.200298,0.0051,49,44,61
TestDataVelocity12.tsp,100,1.791,2.034,1.846,1.866,0.066,0.0356,60,48,242.27,253.59,252.32,251.747,2.635,0.0105,50,56,483.3,665.0,611.05,584.583,53.814,0.0921,42,68,249.670127,253.755147,252.071865,251.84242,1.11225,0.0044,51,48,
TestDataVelocity13.tsp,100,1.793,2.028,1.837,1.853,0.052,0.0282,53,69,242.03,253.57,252.535,251.103,3.572,0.0142,48,56,483.3,678.9,615.1,605.027,51.777,0.0856,59,69,230.112907,234.293641,231.787302,231.895912,1.088786,0.0047,71,58,69
TestDataVelocity14.tsp,100,1.827,2.041,1.865,1.889,0.058,0.0309,59,57,242.74,253.38,252.435,252.042,1.863,0.0074,54,55,471.3,674.8,615.1,589.097,60.84,0.1033,53,59,237.509145,240.558043,238.808344,238.912094,0.785552,0.0033,67,62,57
TestDataVelocity15.tsp,100,1.913,2.16,1.968,1.978,0.055,0.0277,51,49,241.48,253.54,251.93,251.088,3.135,0.0125,48,51,453.3,676.9,593.15,581.3,54.393,0.0936,51,48,244.03032,250.002048,247.273706,247.333006,1.507768,0.0061,63,54,49;66
TestDataVelocity8.tsp,101,1.956,2.328,2.016,2.036,0.076,0.0375,51,50,241.93,252.96,252.17,249.696,4.362,0.0175,55,45,471.1,670.5,605.8,593.833,45.136,0.076,47,46,7.137562,7.269188,7.208203,7.210026,0.040404,0.0056,60,51,50
TestDataVelocity21.tsp,105,1.988,2.246,2.047,2.062,0.066,0.0318,59,45,243.09,2777.05,253.48,335.931,461.07,1.3725,56,62,451.3,666.9,600.55,582.337,56.224,0.0965,69,56,160.377176,163.094401,161.513108,161.568396,0.687018,0.0043,53,52,45
TestDataVelocity26.tsp,107,1.862,2.157,1.918,1.929,0.061,0.0315,48,58,243.53,255.55,254.4,253.649,2.767,0.0109,58,49,473.2,644.6,602.75,589.887,44.699,0.0758,42,58,470.204693,479.94751,474.423191,474.739936,2.362176,0.005,54,46,58
TestDataVelocity27.tsp,124,2.336,2.666,2.405,2.419,0.068,0.028,55,57,246.79,2786.46,257.04,422.782,636.971,1.5066,68,46,425.3,660.9,607.65,578.597,61.594,0.1065,60,57,648.067854,652.083666,650.142537,650.230488,0.897422,0.0014,44,63,57
TestDataVelocity2.tsp,127,2.708,3.002,2.788,2.813,0.079,0.0282,65,63,250.81,2789.16,261.695,428.337,636.895,1.4869,44,45,419.3,672.9,585.45,566.9,74.951,0.1322,45,54,1308.163417,1336.751015,1322.814875,1321.906828,7.572206,0.0057,49,61,
TestDataVelocity3.tsp,130,2.718,2.861,2.768,2.774,0.038,0.0138,58,59,262.14,2799.6,263.48,513.86,763.868,1.4865,66,50,437.3,664.9,587.0,572.133,58.161,0.1017,48,71,67.871431,69.732109,68.873381,68.795938,0.42215,0.0061,52,45,
TestDataVelocity29.tsp,144,2.947,3.272,3.035,3.061,0.093,0.0304,71,42,259.9,2812.23,265.335,896.553,1090.625,1.2165,56,55,477.2,654.8,604.95,584.49,51.728,0.0885,43,42,626.073682,641.00485,631.246405,631.992313,3.802127,0.006,65,44,
TestDataVelocity16.tsp,150,3.704,4.1,3.79,3.83,0.106,0.0275,65,64,2759.81,2828.1,2805.515,2795.738,21.903,0.0078,60,54,439.2,658.8,613.95,595.433,45.522,0.0765,66,51,303.223782,311.497108,308.673584,308.386346,2.027378,0.0066,46,67,
TestDataVelocity17.tsp,150,3.427,3.63,3.523,3.533,0.056,0.0159,55,60,2770.78,2822.86,2813.415,2805.46,17.821,0.0064,58,55,517.2,678.9,619.9,606.877,39.067,0.0644,42,57,290.23128,300.802728,296.234859,295.976719,2.598227,0.0088,68,47,
TestDataVelocity4.tsp,150,3.799,4.327,3.933,3.95,0.112,0.0284,45,48,2755.41,2823.12,2809.535,2799.78,20.559,0.0073,51,65,415.2,640.8,611.85,581.68,62.453,0.1074,63,58,73.45743,75.053398,74.442943,74.401759,0.460543,0.0062,65,71,48
TestDataVelocity5.tsp,198,6.907,8.548,7.037,7.144,0.332,0.0465,54,45,2829.03,2885.88,2872.765,2865.482,17.347,0.0061,52,54,465.1,640.8,608.75,583.8,48.304,0.0827,48,52,169.647985,174.72634,172.752456,172.771587,1.112838,0.0064,62,43,45
TestDataVelocity18.tsp,200,6.61,7.243,6.717,6.756,0.158,0.0233,58,46,2834.67,2912.8,2877.5,2877.092,23.081,0.008,69,46,423.3,667.0,613.0,595.777,51.366,0.0862,53,43,331.733656,343.963669,338.991418,338.639044,2.963526,0.0088,45,59,42;46
TestDataVelocity19.tsp,200,7.691,8.45,7.906,7.939,0.169,0.0213,70,71,2835.72,2908.14,2879.175,2878.138,22.643,0.0079,66,53,427.3,657.0,582.05,572.88,60.706,0.106,44,62,340.595894,349.416275,343.752365,344.14802,2.672149,0.0078,50,62,71
TestDataVelocity28.tsp,226,6.486,7.056,6.642,6.655,0.119,0.0178,62,63,2889.46,2962.52,2932.205,2930.504,21.654,0.0074,64,70,457.2,640.9,586.0,573.87,49.567,0.0864,70,45,867.295229,891.784883,879.271297,878.895886,6.633647,0.0075,53,56,63
TestDataVelocity10.tsp,262,16.219,17.864,16.658,16.704,0.314,0.0188,46,44,2984.29,3072.22,3044.29,3039.734,28.168,0.0093,45,71,465.4,639.0,608.0,583.017,55.813,0.0957,65,53,26.83997,27.906322,27.542594,27.463981,0.233421,0.0085,48,53,44
TestDataVelocity22.tsp,318,27.595,29.05,28.194,28.188,0.336,0.0119,46,51,3419.77,3530.1,3475.675,3475.984,30.281,0.0087,66,49,499.2,643.0,618.9,599.473,46.714,0.0779,60,65,472.180635,486.710412,480.322299,480.057766,3.512115,0.0073,50,48,
TestDataVelocity31.tsp,400,61.248,65.652,62.024,62.259,0.904,0.0145,49,52,4527.78,4633.44,4590.665,4584.826,22.48,0.0049,48,53,429.2,642.8,583.85,570.787,64.204,0.1125,45,69,178.181231,182.024482,180.095036,180.058125,0.99633,0.0055,54,65,52
TestDataVelocity9.tsp,417,51.928,56.441,52.817,53.176,1.156,0.0217,53,43,4826.5,4988.46,4891.52,4893.262,38.54,0.0079,59,45,431.1,642.8,608.8,584.37,56.558,0.0968,46,47,133.234209,136.271557,134.989189,134.864058,0.876504,0.0065,42,65,43
TestDataVelocity20.tsp,439,73.04,79.201,74.197,74.489,1.236,0.0166,59,65,5236.79,5326.39,5307.905,5300.362,23.219,0.0044,42,46,383.4,642.9,602.1,583.92,59.205,0.1014,46,55,1236.024551,1279.742879,1256.699181,1256.697377,11.575068,0.0092,44,46,65
TestDataVelocity24.tsp,442,83.005,85.77,83.862,84.012,0.609,0.0072,59,52,5298.21,5504.05,5377.31,5372.018,35.426,0.0066,52,45,383.3,644.9,588.85,573.087,68.61,0.1197,47,65,589.427801,605.501422,595.431611,596.206592,4.367183,0.0073,54,65,52
TestDataVelocity34.tsp,574,186.879,191.351,188.935,189.066,1.16,0.0061,47,67,8940.59,9085.98,9028.775,9019.34,33.708,0.0037,51,70,475.2,640.9,593.0,586.63,46.705,0.0796,58,48,428.300148,444.60895,437.482846,438.00751,3.117383,0.0071,43,71,
TestDataVelocity32.tsp,575,187.915,195.611,190.454,190.583,1.663,0.0087,59,66,8953.03,9083.55,9058.565,9053.469,26.852,0.003,59,49,478.9,638.8,611.85,604.42,29.646,0.049,65,57,79.196163,81.265849,80.179805,80.195209,0.4875,0.0061,56,52,66
TestDataVelocity23.tsp,654,225.705,235.123,229.541,229.817,1.817,0.0079,49,64,12065.61,12204.42,12156.685,12152.952,23.937,0.002,55,71,459.2,636.9,591.0,580.797,50.188,0.0864,60,45,375.847219,385.587957,380.053083,380.377856,2.767485,0.0073,49,57,64
TestDataVelocity35.tsp,724,422.6,429.979,426.17,426.417,2.312,0.0054,46,57,16183.06,16296.7,16233.415,16228.172,25.997,0.0016,42,52,479.2,642.8,615.85,593.523,46.895,0.079,51,62,493.316259,506.700802,499.90797,500.258842,3.315548,0.0066,63,46,
TestDataVelocity33.tsp,783,547.75,566.215,553.498,553.555,3.775,0.0068,68,50,19478.71,19568.69,19535.56,19533.74,19.513,0.001,64,58,443.3,642.8,596.85,584.23,47.311,0.081,66,50,103.739772,106.482258,104.931404,104.904526,0.562457,0.0054,47,65,50
