step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,lane_recall,lane_to_road_rate,lane_tp_intensity_mean,lane_to_road_intensity_mean,lane_tp_range_mean,lane_to_road_range_mean
1390,124,68,16376,641,173,468,0,140,0,0.2698907956318253,0.7301092043681747,55.53468322753906,30.098291397094727,17.239648818969727,14.799076080322266
2036,124,54,16369,831,393,438,0,165,0,0.4729241877256318,0.5270758122743683,49.427650451660156,29.645471572875977,14.88570785522461,16.191232681274414
1636,123,8,16373,634,199,435,0,183,0,0.3138801261829653,0.6861198738170347,47.475711822509766,28.200767517089844,20.321916580200195,18.3264217376709
581,124,65,16369,694,267,427,0,198,0,0.38472622478386165,0.6152737752161384,55.98308563232422,30.11924171447754,16.121562957763672,15.229106903076172
1334,123,16,16370,585,167,418,0,209,8,0.28547008547008546,0.7145299145299145,46.31736373901367,27.71531105041504,22.99299430847168,19.80500602722168
1744,123,14,16380,593,179,414,0,121,0,0.30185497470489037,0.6981450252951096,51.54999542236328,28.8858699798584,12.708166122436523,14.204099655151367
1130,054,78,16378,458,44,414,0,50,442,0.09606986899563319,0.9039301310043668,56.477272033691406,28.545894622802734,14.64654541015625,14.735870361328125
119,054,63,16381,494,83,411,0,40,122,0.1680161943319838,0.8319838056680162,52.76506042480469,29.076642990112305,15.014472961425781,15.349183082580566
700,123,15,16381,552,143,409,0,124,0,0.25905797101449274,0.7409420289855072,59.83683395385742,29.649755477905273,14.512049674987793,14.987648963928223
1054,054,47,16384,595,184,407,4,138,210,0.3092436974789916,0.6840336134453782,43.205345153808594,28.845617294311523,12.328409194946289,14.967618942260742
624,054,78,16378,488,81,407,0,41,267,0.16598360655737704,0.8340163934426229,53.86419677734375,29.325960159301758,19.01296043395996,16.542757034301758
356,124,58,16351,628,224,404,0,162,0,0.35668789808917195,0.643312101910828,64.31681823730469,30.04207992553711,12.950934410095215,14.773514747619629
1222,123,40,16373,597,196,401,0,148,4,0.32830820770519265,0.6716917922948074,47.4481315612793,26.937862396240234,22.370868682861328,17.86927604675293
374,123,6,16373,698,298,400,0,224,0,0.4269340974212034,0.5730659025787965,57.88581466674805,29.641664505004883,10.968964576721191,14.701772689819336
2159,123,14,16380,573,175,398,0,105,0,0.3054101221640489,0.6945898778359512,51.94162368774414,28.762351989746094,12.600262641906738,13.977286338806152
2046,124,42,16370,681,284,397,0,154,0,0.4170337738619677,0.5829662261380323,53.84342575073242,29.088790893554688,15.775428771972656,16.561290740966797
654,124,73,16373,637,248,389,0,181,0,0.3893249607535322,0.6106750392464678,48.7174072265625,30.257286071777344,18.221834182739258,15.366986274719238
2068,054,72,16372,468,79,389,0,53,199,0.16880341880341881,0.8311965811965812,58.44303894042969,28.950942993164062,15.910993576049805,15.09988021850586
209,054,41,16376,521,127,388,6,98,98,0.2437619961612284,0.744721689059501,37.135169982910156,28.03565216064453,18.719261169433594,15.44589900970459
531,013,30,16278,589,171,383,35,174,71,0.2903225806451613,0.6502546689303905,48.03801345825195,29.94843292236328,12.4938325881958,11.705840110778809
436,054,45,16375,539,157,382,0,95,60,0.2912801484230056,0.7087198515769945,42.84437561035156,28.975130081176758,14.873722076416016,15.326780319213867
851,123,7,16375,714,333,381,0,233,0,0.46638655462184875,0.5336134453781513,53.911476135253906,29.791994094848633,10.777810096740723,14.84531307220459
939,124,43,16375,713,333,380,0,153,0,0.4670406732117812,0.5329593267882188,48.949798583984375,28.909210205078125,15.096420288085938,15.933097839355469
1210,123,5,16350,507,127,380,0,108,5,0.2504930966469428,0.7495069033530573,41.22441101074219,24.56315803527832,27.09264373779297,24.315750122070312
991,123,23,16374,552,175,377,0,200,0,0.3170289855072464,0.6829710144927537,54.4380989074707,29.7020320892334,14.513155937194824,15.50515079498291
2157,054,55,16371,502,126,376,0,57,30,0.250996015936255,0.749003984063745,46.99934005737305,29.090646743774414,14.595026969909668,14.949530601501465
863,013,25,16213,494,115,375,4,126,10,0.23279352226720648,0.7591093117408907,53.197105407714844,32.09422302246094,15.748167037963867,14.759344100952148
774,124,53,16378,676,302,374,0,163,0,0.4467455621301775,0.5532544378698225,59.294612884521484,30.269609451293945,11.558964729309082,14.56820297241211
911,123,21,16382,468,96,372,0,93,0,0.20512820512820512,0.7948717948717948,57.09548568725586,29.067426681518555,14.32512378692627,14.20681381225586
443,123,14,16367,573,202,371,0,201,17,0.3525305410122164,0.6474694589877836,48.94059371948242,27.216981887817383,21.162235260009766,20.628427505493164
251,013,25,16332,498,123,371,4,142,10,0.2469879518072289,0.7449799196787149,57.94580078125,31.804582595825195,11.842034339904785,13.47270393371582
669,123,0,16372,470,100,370,0,90,0,0.2127659574468085,0.7872340425531915,55.654998779296875,29.042795181274414,18.142715454101562,17.617656707763672
610,123,0,16362,469,99,370,0,91,0,0.21108742004264391,0.7889125799573561,57.858585357666016,29.073875427246094,17.94218635559082,17.588539123535156
926,054,66,16383,474,105,369,0,67,122,0.22151898734177214,0.7784810126582279,58.233333587646484,28.07655906677246,12.118617057800293,14.797157287597656
522,054,50,16381,444,77,367,0,72,257,0.17342342342342343,0.8265765765765766,42.93506622314453,29.31562042236328,16.52400779724121,14.226105690002441
1129,123,19,16384,717,351,366,0,184,0,0.4895397489539749,0.5104602510460251,54.501094818115234,28.776639938354492,10.524840354919434,13.415630340576172
42,013,29,16328,581,178,365,38,152,48,0.306368330464716,0.6282271944922547,45.331459045410156,29.262786865234375,11.994437217712402,11.23206615447998
