step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,predicted_lane,lane_false_positive,lane_recall,lane_precision,lane_f1,lane_iou,lane_to_road_rate,lane_tp_intensity_mean,lane_tp_intensity_median,lane_to_road_intensity_mean,lane_to_road_intensity_median,road_to_lane_intensity_mean,road_to_lane_intensity_median,lane_tp_range_mean,lane_tp_range_median,lane_to_road_range_mean,lane_to_road_range_median
1,123,79,16343,213,167,46,0,231,0,398,231,0.784037558685446,0.41959798994974873,0.546644844517185,0.3761261261261261,0.215962441314554,59.035926818847656,57.0,30.0108699798584,30.0,39.126258850097656,33.0,14.25534725189209,13.006095886230469,15.463128089904785,14.390910148620605
2,124,28,16368,81,81,0,0,95,0,176,95,1.0,0.4602272727272727,0.6303501945525292,0.4602272727272727,0.0,62.438270568847656,67.0,,,41.4675407409668,32.0,14.98804759979248,14.942452430725098,,
3,123,73,16369,50,21,24,5,84,20,125,104,0.42,0.168,0.24,0.13636363636363635,0.48,50.71428680419922,52.0,8.541666984558105,6.0,39.10714340209961,39.0,27.828657150268555,23.533370971679688,49.24444580078125,49.724714279174805
4,054,73,16371,304,80,224,0,119,447,646,566,0.2631578947368421,0.1238390092879257,0.16842105263157894,0.09195402298850575,0.7368421052631579,46.28125,43.0,29.35714340209961,31.0,29.19327735900879,32.0,24.74974250793457,25.45029067993164,18.48227882385254,17.594160079956055
5,013,68,16152,428,225,202,1,131,25,381,156,0.5257009345794392,0.5905511811023622,0.5562422744128553,0.3852739726027397,0.4719626168224299,45.81296157836914,44.0,34.12211227416992,32.0,39.754451751708984,33.0,16.23014259338379,13.119966506958008,16.7502384185791,16.215685844421387
6,054,20,16369,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
7,037,72,16314,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
8,038,37,16381,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,037,46,16384,0,0,0,0,0,38,38,38,,0.0,0.0,0.0,,,,,,,,,,,
10,124,77,16375,287,220,45,22,230,4,454,234,0.7665505226480837,0.4845814977973568,0.5937921727395412,0.42226487523992323,0.156794425087108,42.72954559326172,36.0,32.13333511352539,33.0,33.91739273071289,35.0,25.840106964111328,24.318425178527832,19.514036178588867,18.355817794799805
11,124,34,16383,453,218,235,0,74,5,297,79,0.48123620309050774,0.734006734006734,0.5813333333333334,0.40977443609022557,0.5187637969094923,51.6080322265625,57.75,29.276596069335938,30.0,30.462162017822266,31.5,11.320719718933105,11.216164112091064,13.237001419067383,13.34097671508789
12,123,11,16363,275,133,142,0,167,9,309,176,0.48363636363636364,0.43042071197411,0.4554794520547945,0.29490022172949004,0.5163636363636364,35.699249267578125,32.0,14.820422172546387,13.5,29.167665481567383,28.0,29.130796432495117,26.695293426513672,36.43362808227539,33.824819564819336
13,034,16,16377,0,0,0,0,1,0,1,1,,0.0,0.0,0.0,,,,,,53.0,53.0,,,,
14,106,44,16383,118,84,34,0,24,3,111,27,0.711864406779661,0.7567567567567568,0.7336244541484717,0.5793103448275863,0.288135593220339,37.37599182128906,36.83333206176758,29.132352828979492,28.5,31.29166603088379,30.0,12.532346725463867,12.41938591003418,12.1867036819458,11.891448974609375
15,123,7,16373,73,71,2,0,117,0,188,117,0.9726027397260274,0.3776595744680851,0.5440613026819924,0.3736842105263158,0.0273972602739726,58.41549301147461,59.0,35.5,35.5,41.880340576171875,36.0,17.224964141845703,16.270755767822266,17.119983673095703,17.11998462677002
16,034,55,16372,0,0,0,0,18,0,18,18,,0.0,0.0,0.0,,,,,,42.41666793823242,41.5,,,,
17,013,29,16353,95,63,19,13,51,29,143,80,0.6631578947368421,0.4405594405594406,0.5294117647058824,0.36,0.2,51.380950927734375,53.0,15.473684310913086,15.0,35.70588302612305,32.0,37.04219055175781,35.469970703125,55.13451385498047,51.8798942565918
18,037,41,16384,0,0,0,0,0,8,8,8,,0.0,0.0,0.0,,,,,,,,,,,
19,106,5,16364,75,49,18,8,35,0,84,35,0.6533333333333333,0.5833333333333334,0.6163522012578616,0.44545454545454544,0.24,48.020408630371094,47.0,12.44444465637207,12.0,36.599998474121094,38.0,26.762104034423828,26.486894607543945,35.087890625,36.889163970947266
20,116,20,16313,336,141,195,0,84,0,225,84,0.41964285714285715,0.6266666666666667,0.5026737967914439,0.3357142857142857,0.5803571428571429,44.534873962402344,41.0,27.63846206665039,29.0,34.52381134033203,30.0,13.121681213378906,12.195964813232422,17.770971298217773,16.95142364501953
21,123,61,16373,55,33,11,11,58,32,123,90,0.6,0.2682926829268293,0.3707865168539326,0.22758620689655173,0.2,47.75757598876953,49.0,10.909090995788574,4.0,39.22413635253906,38.0,31.460275650024414,23.957765579223633,45.05353927612305,56.31344985961914
22,116,4,16368,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
23,013,15,16239,239,149,74,16,81,15,245,96,0.6234309623430963,0.6081632653061224,0.6157024793388429,0.44477611940298506,0.30962343096234307,49.013423919677734,49.0,34.41216278076172,36.0,42.5,41.0,31.943641662597656,31.28774642944336,26.734050750732422,24.673324584960938
24,054,17,16384,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
25,054,30,16302,28,1,27,0,158,778,937,936,0.03571428571428571,0.0010672358591248667,0.002072538860103627,0.001037344398340249,0.9642857142857143,36.0,36.0,28.370370864868164,29.0,34.95907211303711,31.0,18.87941551208496,18.87941551208496,14.10715389251709,14.024564743041992
26,034,66,16379,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
