step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,predicted_lane,lane_false_positive,lane_recall,lane_precision,lane_f1,lane_iou,lane_to_road_rate,lane_tp_intensity_mean,lane_tp_intensity_median,lane_to_road_intensity_mean,lane_to_road_intensity_median,road_to_lane_intensity_mean,road_to_lane_intensity_median,lane_tp_range_mean,lane_tp_range_median,lane_to_road_range_mean,lane_to_road_range_median
1390,124,68,16376,641,173,468,0,140,0,313,140,0.2698907956318253,0.5527156549520766,0.36268343815513626,0.22151088348271447,0.7301092043681747,55.53468322753906,56.0,30.098291397094727,30.166666984558105,36.996429443359375,33.0,17.239648818969727,14.885734558105469,14.799076080322266,14.276325702667236
2036,124,54,16369,831,393,438,0,165,0,558,165,0.4729241877256318,0.7043010752688172,0.5658747300215983,0.39457831325301207,0.5270758122743683,49.427650451660156,50.75,29.645471572875977,30.0,34.572628021240234,34.0,14.88570785522461,10.521224975585938,16.191232681274414,15.337097644805908
1636,123,8,16373,634,199,435,0,183,0,382,183,0.3138801261829653,0.5209424083769634,0.39173228346456695,0.24357405140758873,0.6861198738170347,47.475711822509766,41.0,28.200767517089844,29.0,40.29235076904297,35.0,20.321916580200195,20.933757781982422,18.3264217376709,16.827363967895508
581,124,65,16369,694,267,427,0,198,0,465,198,0.38472622478386165,0.5741935483870968,0.46074201898188094,0.29932735426008966,0.6152737752161384,55.98308563232422,56.5,30.11924171447754,31.0,34.31635284423828,31.0,16.121562957763672,16.417470932006836,15.229106903076172,14.671703338623047
1334,123,16,16370,585,167,418,0,209,8,384,217,0.28547008547008546,0.4348958333333333,0.3446852425180599,0.2082294264339152,0.7145299145299145,46.31736373901367,41.0,27.71531105041504,30.0,37.08931350708008,36.0,22.99299430847168,20.580503463745117,19.80500602722168,17.474358558654785
1744,123,14,16380,593,179,414,0,121,0,300,121,0.30185497470489037,0.5966666666666667,0.4008958566629339,0.2507002801120448,0.6981450252951096,51.54999542236328,50.5,28.8858699798584,29.0,38.9194221496582,32.0,12.708166122436523,14.066143989562988,14.204099655151367,14.170743465423584
1130,054,78,16378,458,44,414,0,50,442,536,492,0.09606986899563319,0.08208955223880597,0.08853118712273642,0.04631578947368421,0.9039301310043668,56.477272033691406,54.75,28.545894622802734,29.5,28.3799991607666,30.0,14.64654541015625,14.628938674926758,14.735870361328125,13.99397611618042
119,054,63,16381,494,83,411,0,40,122,245,162,0.1680161943319838,0.33877551020408164,0.22462787550744248,0.12652439024390244,0.8319838056680162,52.76506042480469,43.0,29.076642990112305,29.0,31.262500762939453,31.0,15.014472961425781,12.717307090759277,15.349183082580566,13.707069396972656
700,123,15,16381,552,143,409,0,124,0,267,124,0.25905797101449274,0.5355805243445693,0.3492063492063492,0.21153846153846154,0.7409420289855072,59.83683395385742,63.0,29.649755477905273,30.0,44.45026779174805,34.0,14.512049674987793,13.93812084197998,14.987648963928223,14.671677589416504
1054,054,47,16384,595,184,407,4,138,210,532,348,0.3092436974789916,0.3458646616541353,0.32653061224489793,0.1951219512195122,0.6840336134453782,43.205345153808594,40.0,28.845617294311523,29.0,28.812076568603516,29.0,12.328409194946289,10.068690776824951,14.967618942260742,14.349323272705078
624,054,78,16378,488,81,407,0,41,267,389,308,0.16598360655737704,0.20822622107969152,0.1847206385404789,0.10175879396984924,0.8340163934426229,53.86419677734375,44.0,29.325960159301758,30.0,31.024391174316406,32.0,19.01296043395996,15.611513137817383,16.542757034301758,15.787149429321289
356,124,58,16351,628,224,404,0,162,0,386,162,0.35668789808917195,0.5803108808290155,0.4418145956607495,0.28354430379746837,0.643312101910828,64.31681823730469,67.5,30.04207992553711,30.75,38.206275939941406,33.0,12.950934410095215,11.496275901794434,14.773514747619629,14.343072891235352
1222,123,40,16373,597,196,401,0,148,4,348,152,0.32830820770519265,0.5632183908045977,0.4148148148148148,0.2616822429906542,0.6716917922948074,47.4481315612793,43.5,26.937862396240234,29.0,40.6396369934082,36.0,22.370868682861328,22.76614284515381,17.86927604675293,15.672711372375488
374,123,6,16373,698,298,400,0,224,0,522,224,0.4269340974212034,0.5708812260536399,0.4885245901639344,0.3232104121475054,0.5730659025787965,57.88581466674805,57.5,29.641664505004883,29.5,36.7620964050293,32.875,10.968964576721191,9.987939357757568,14.701772689819336,14.40959882736206
2159,123,14,16380,573,175,398,0,105,0,280,105,0.3054101221640489,0.625,0.41031652989449,0.2581120943952802,0.6945898778359512,51.94162368774414,52.0,28.762351989746094,29.0,39.13333511352539,33.0,12.600262641906738,14.060624122619629,13.977286338806152,14.036189079284668
2046,124,42,16370,681,284,397,0,154,0,438,154,0.4170337738619677,0.6484018264840182,0.5075960679177838,0.3401197604790419,0.5829662261380323,53.84342575073242,54.0,29.088790893554688,29.66666603088379,35.51677703857422,34.625,15.775428771972656,11.938812255859375,16.561290740966797,15.764588356018066
654,124,73,16373,637,248,389,0,181,0,429,181,0.3893249607535322,0.578088578088578,0.4652908067542214,0.30317848410757947,0.6106750392464678,48.7174072265625,41.66666603088379,30.257286071777344,31.0,38.23155975341797,32.0,18.221834182739258,15.867090225219727,15.366986274719238,15.00743293762207
