class_id,class_name,bucket,range_min_m,range_max_m,count,share,mean,std,min,p05,p25,median,p75,p95,max
1,road,0_10m,0.0,10.0,32935707,0.7172643421804707,27.986689248844726,10.838937090953019,0.0,1.0,26.0,28.0,34.0,43.0,255.0
1,road,10_20m,10.0,20.0,92361116,0.6069008338122684,28.682294191854503,5.389910993028936,0.0,19.0,27.0,29.0,31.0,36.0,255.0
1,road,20_30m,20.0,30.0,19066717,0.2628369974391243,24.414874201992927,11.827390347803801,0.0,5.0,14.0,26.0,35.0,41.0,255.0
1,road,30_40m,30.0,40.0,6419172,0.1550695738602269,14.634471237100362,11.755297666276729,0.0,1.0,4.0,13.0,23.0,36.0,255.0
1,road,40_60m,40.0,60.0,3293658,0.08051322217427485,6.424574136112493,7.188934598645349,0.0,0.0,1.0,4.0,9.0,19.0,250.0
1,road,60m_plus,60.0,,452431,0.013156355066972426,2.5524776153711835,6.328386830715982,0.0,0.0,0.0,1.0,3.0,9.0,203.0
2,marking,0_10m,0.0,10.0,1263151,0.02750853871421688,40.89731789786019,22.501684033571586,0.0,1.0,27.0,38.0,55.0,80.0,255.0
2,marking,10_20m,10.0,20.0,3643518,0.023941396639360752,38.412559235332445,14.814898136065265,0.0,26.0,29.0,33.0,43.0,69.0,255.0
2,marking,20_30m,20.0,30.0,948027,0.013068666733303941,34.31454272926826,14.246170193399696,0.0,11.0,26.0,35.0,42.0,56.0,255.0
2,marking,30_40m,30.0,40.0,367400,0.008875375427897455,27.567035928143714,20.623653580844042,0.0,3.0,11.0,23.0,40.0,67.0,255.0
2,marking,40_60m,40.0,60.0,271032,0.006625356862290518,16.00517651052274,19.248849216101295,0.0,0.0,2.0,9.0,22.0,59.0,255.0
2,marking,60m_plus,60.0,,109189,0.0031751344479216768,6.543424703953695,11.380031153178148,0.0,0.0,0.0,2.0,8.0,27.0,210.0
3,other,0_10m,0.0,10.0,11719648,0.25522711910531237,32.419451164403576,29.526900493840152,0.0,2.0,20.0,27.0,38.0,70.0,255.0
3,other,10_20m,10.0,20.0,56180222,0.3691577695483708,27.129262216158562,21.807382875416938,0.0,1.0,19.0,27.0,31.0,50.0,255.0
3,other,20_30m,20.0,30.0,52527239,0.7240943358275718,23.317662575030834,17.3852935622651,0.0,2.0,15.0,24.0,28.0,40.0,255.0
3,other,30_40m,30.0,40.0,34608860,0.8360550507118757,17.58135575687844,16.041178083905017,0.0,1.0,8.0,16.0,25.0,33.0,255.0
3,other,40_60m,40.0,60.0,37343597,0.9128614209634346,12.100110093840184,15.102258940045106,0.0,0.0,3.0,9.0,18.0,28.0,255.0
3,other,60m_plus,60.0,,33827160,0.983668510485106,6.37764151646192,12.523379874384903,0.0,0.0,1.0,3.0,8.0,22.0,255.0
