split,seq_id,frame_idx,active_points_forward_sensor,road_count,marking_count,other_count,ignored_count,raw_8_count,raw_9_count,raw_10_count
training,003,0,69411,29636,560,39102,113,493,0,67
training,003,1,69411,29641,559,39098,113,492,0,67
training,003,2,65453,29658,704,34948,143,626,0,78
training,003,3,64513,28328,782,35152,251,696,0,86
training,003,4,63804,24551,733,38183,337,651,0,82
training,003,5,65380,21324,457,43522,77,398,0,59
training,003,6,66646,23560,518,42513,55,458,0,60
training,003,7,64213,26155,588,37435,35,501,0,87
training,003,8,65134,27084,630,37368,52,556,0,74
training,003,9,61831,25197,703,35893,38,610,0,93
training,003,10,61238,23150,890,37118,80,666,0,224
training,003,11,63311,23699,643,38908,61,576,0,67
training,003,12,68035,25642,587,41758,48,523,0,64
training,003,13,64971,27512,553,36867,39,491,0,62
training,003,14,63387,27848,591,34911,37,500,0,91
training,003,15,64097,27717,608,35731,41,518,0,90
training,003,16,67732,27715,730,39256,31,562,0,168
training,003,17,67845,28062,739,39004,40,664,0,75
training,003,18,68556,28151,748,39607,50,683,0,65
training,003,19,68707,28171,651,39833,52,580,0,71
training,003,20,70509,28183,544,41712,70,474,0,70
training,003,21,68628,27973,567,39996,92,483,0,84
training,003,22,68563,27348,658,40492,65,501,0,157
training,003,23,68252,26754,644,40808,46,538,0,106
training,003,24,65604,26499,689,38364,52,632,0,57
training,003,25,62723,26884,836,34953,50,773,0,63
training,003,26,62728,27132,800,34464,332,749,0,51
training,003,27,63016,27935,679,33982,420,608,0,71
training,003,28,66810,29032,634,37097,47,498,0,136
training,003,29,67182,29681,602,36857,42,508,0,94
training,003,30,67985,29749,552,37652,32,518,0,34
training,003,31,67940,29060,576,38261,43,541,0,35
training,003,32,69499,28401,727,40334,37,682,0,45
training,003,33,68156,28177,765,39172,42,721,0,44
training,003,34,68449,28283,700,39429,37,602,0,98
training,003,35,70821,28268,562,41964,27,471,0,91
training,003,36,68986,28031,528,40390,37,480,0,48
training,003,37,68526,27355,531,40595,45,483,0,48
training,003,38,64280,27361,616,36229,74,542,0,74
training,003,39,63226,26973,749,35437,67,676,0,73
training,003,40,65719,27207,897,37496,119,768,0,129
training,003,41,66005,28185,708,37040,72,656,0,52
training,003,42,67455,29066,531,37749,109,496,0,35
training,003,43,70209,28623,533,40931,122,475,0,58
training,003,44,68258,28437,545,39179,97,491,0,54
training,003,45,67292,28263,611,38292,126,553,0,58
training,003,46,69659,28262,741,40535,121,656,0,85
training,003,47,67668,27855,833,38867,113,700,0,133
training,003,48,66881,27329,704,38762,86,636,0,68
training,003,49,65827,27212,657,37865,93,555,0,102
training,003,50,62394,27289,542,34392,171,473,0,69
training,003,51,61760,27452,588,33563,157,452,0,136
training,003,52,64934,28070,629,36020,215,494,0,135
training,003,53,65399,28304,781,36274,40,547,0,234
