raw_id,raw_name,bucket,range_min_m,range_max_m,support,tp,to_road,to_other,recall,to_road_rate,to_other_rate,tp_intensity_median,missed_intensity_median
8,lane_line_marking,0_10m,0.0,10.0,51054,42346,8597,111,0.8294354996670192,0.16839033180553922,0.0021741685274415325,40.0,28.0
8,lane_line_marking,10_20m,10.0,20.0,324798,233329,91429,40,0.7183818865879716,0.28149495994433466,0.0001231534676937666,33.0,29.0
8,lane_line_marking,20_30m,20.0,30.0,137720,104809,32668,243,0.7610296253267499,0.23720592506535,0.0017644496079000872,35.0,18.0
8,lane_line_marking,30_40m,30.0,40.0,54493,41836,12307,350,0.7677316352559044,0.22584552144312114,0.006422843300974437,32.0,9.0
8,lane_line_marking,40_60m,40.0,60.0,20733,16317,4187,229,0.7870062219649834,0.20194858438238558,0.01104519365263107,16.0,4.0
8,lane_line_marking,60m_plus,60.0,,4258,3747,258,253,0.8799906059182715,0.060591827148896195,0.059417566932832316,4.0,1.0
9,stop_line_marking,0_10m,0.0,10.0,0,0,0,0,,,,,
9,stop_line_marking,10_20m,10.0,20.0,338,338,0,0,1.0,0.0,0.0,33.0,
9,stop_line_marking,20_30m,20.0,30.0,5386,4958,407,21,0.9205347196435202,0.07556628295581136,0.0038989974006683995,37.0,36.0
9,stop_line_marking,30_40m,30.0,40.0,74,60,11,3,0.8108108108108109,0.14864864864864866,0.04054054054054054,21.0,10.0
9,stop_line_marking,40_60m,40.0,60.0,18,12,6,0,0.6666666666666666,0.3333333333333333,0.0,16.0,9.0
9,stop_line_marking,60m_plus,60.0,,0,0,0,0,,,,,
10,other_road_marking,0_10m,0.0,10.0,56273,47357,8899,17,0.8415581184582304,0.1581397828443481,0.00030209869742149875,43.0,29.0
10,other_road_marking,10_20m,10.0,20.0,322566,243980,77915,671,0.7563723393042044,0.24154746625496798,0.0020801944408276136,36.0,30.0
10,other_road_marking,20_30m,20.0,30.0,111034,88935,21250,849,0.8009708737864077,0.19138281967685575,0.007646306536736495,41.0,29.0
10,other_road_marking,30_40m,30.0,40.0,33274,22091,10821,362,0.6639117629380297,0.32520887179178937,0.010879365270180921,27.0,20.0
10,other_road_marking,40_60m,40.0,60.0,22887,15475,6829,583,0.6761480316336785,0.29837899244112376,0.025472975925197712,14.0,3.0
10,other_road_marking,60m_plus,60.0,,6032,4558,976,498,0.7556366047745358,0.16180371352785147,0.08255968169761273,6.0,1.0
