step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
1051,037,52,32762,2754,1689,1065,0,723,388,2800,0.6032142857142857,0.6132897603485838,0.6082102988836874,0.4369987063389392,0.3867102396514161,0.051473729175565995,0.024307730860794387,37.5,29.0,33.0,10.39697265625,11.954390525817871,10.334972381591797,0,0,0,0,0,0,0,0,2754,1689,1065,0
575,037,34,32767,1744,765,979,0,371,67,1203,0.6359102244389028,0.4386467889908257,0.5191720393620631,0.35059578368469296,0.5613532110091743,0.02377595488336324,0.0043452882806926515,36.0,30.0,38.0,18.78257179260254,14.964459419250488,17.507856369018555,0,0,0,0,0,0,0,0,1744,765,979,0
694,037,34,32761,1744,790,954,0,391,49,1230,0.6422764227642277,0.45298165137614677,0.531271015467384,0.3617216117216117,0.5470183486238532,0.03223147308548347,0.0025945144551519643,35.0,30.0,37.0,18.634203910827637,15.149657249450684,16.337831497192383,0,0,0,0,0,0,0,0,1744,790,954,0
1163,037,33,32768,1640,701,939,0,282,24,1007,0.6961271102284012,0.4274390243902439,0.5296562145825463,0.3602261048304214,0.572560975609756,0.016825775656324583,0.0016703786191536749,37.0,30.0,38.0,19.40005111694336,15.292475700378418,18.715913772583008,0,0,0,0,0,0,0,0,1640,701,939,0
239,037,36,32764,1641,719,922,0,331,0,1050,0.6847619047619048,0.43814747105423524,0.5343738387216648,0.364604462474645,0.5618525289457648,0.020612778677294805,0.0,36.0,31.0,36.0,17.905920028686523,18.39944839477539,15.499013900756836,0,0,0,0,0,0,0,0,1641,719,922,0
1877,037,33,32765,1640,731,909,0,361,19,1111,0.6579657965796579,0.4457317073170732,0.5314431115957834,0.36188118811881187,0.5542682926829269,0.02181137091414416,0.001303691505420612,37.0,30.0,38.0,19.253541946411133,15.300217628479004,18.21550941467285,0,0,0,0,0,0,0,0,1640,731,909,0
1648,037,35,32768,1684,792,892,0,412,1,1205,0.6572614107883817,0.47030878859857483,0.5482866043613707,0.3776824034334764,0.5296912114014252,0.02580483527495929,6.614631565021828e-05,36.0,30.5,36.0,18.414701461791992,16.33162784576416,16.18303680419922,0,0,0,0,0,0,0,0,1684,792,892,0
553,037,52,32748,1569,680,889,0,355,0,1035,0.6570048309178744,0.43339706819630336,0.522273425499232,0.35343035343035345,0.5666029318036966,0.028390914907229687,0.0,41.0,29.0,33.0,11.633254051208496,12.418107032775879,11.477461814880371,0,0,0,0,0,0,0,0,1569,680,889,0
1250,037,53,32745,1605,720,885,0,362,0,1082,0.6654343807763401,0.4485981308411215,0.5359136583550428,0.36603965429588203,0.5514018691588785,0.025203648262897723,0.0,49.25,29.0,36.0,10.479432582855225,11.949955940246582,10.714924335479736,0,0,0,0,0,0,0,0,1605,720,885,0
242,037,11,32766,2600,1746,854,0,983,2,2731,0.6393262541193702,0.6715384615384615,0.6550365785030952,0.4870292887029289,0.32846153846153847,0.053235851611156244,0.0001709255619177848,36.0,29.5,38.0,15.750615119934082,13.565231800079346,19.80583953857422,2,0,2,0,0,0,0,0,2598,1746,852,0
916,037,17,32768,2480,1644,836,0,1085,32,2761,0.5954364360738863,0.6629032258064517,0.6273611906124785,0.457047539616347,0.3370967741935484,0.060024341668510735,0.0026203734032099572,35.0,29.0,39.0,16.37430191040039,13.288824081420898,20.28336524963379,0,0,0,0,0,0,0,0,2480,1644,836,0
1994,037,36,32764,1641,806,835,0,326,4,1136,0.7095070422535211,0.49116392443631934,0.5804825351098307,0.4089294774226281,0.5088360755636807,0.020514756780567616,0.0002626050420168067,36.0,31.0,36.0,18.246192932128906,17.629249572753906,16.835111618041992,0,0,0,0,0,0,0,0,1641,806,835,0
1958,037,37,32761,1712,879,833,0,387,108,1374,0.6397379912663755,0.5134345794392523,0.5696694750486067,0.3982782057091074,0.48656542056074764,0.023915461624026697,0.007264411111858478,37.0,30.0,36.0,17.55648422241211,18.30484390258789,16.82687759399414,0,0,0,0,0,0,0,0,1712,879,833,0
537,037,62,32747,833,0,833,0,17,0,17,0.0,0.0,0.0,0.0,1.0,0.0012055027655651681,0.0,,29.0,47.5,,11.11377239227295,9.568909645080566,0,0,0,0,0,0,0,0,833,0,833,0
1452,037,53,32767,2174,1345,829,0,561,109,2015,0.6674937965260546,0.6186752529898804,0.6421580329434232,0.4729254571026723,0.3813247470101196,0.03760809814305825,0.006953304414391426,40.0,29.0,33.5,10.458492279052734,12.074803352355957,10.720746994018555,0,0,0,0,0,0,0,0,2174,1345,829,0
238,037,37,32757,1665,837,828,0,459,33,1329,0.6297968397291196,0.5027027027027027,0.5591182364729459,0.38803894297635605,0.4972972972972973,0.028363097077179756,0.002213428130659333,37.0,30.0,36.0,17.648534774780273,18.344629287719727,16.732534408569336,0,0,0,0,0,0,0,0,1665,837,828,0
1782,037,62,32747,833,5,828,0,37,0,42,0.11904761904761904,0.006002400960384154,0.011428571428571429,0.005747126436781609,0.9939975990396158,0.0028787053606161984,0.0,46.0,29.0,43.0,9.915081024169922,11.118111610412598,9.646092414855957,0,0,0,0,0,0,0,0,833,5,828,0
718,037,7,32767,2700,1885,814,1,900,54,2839,0.6639661852765059,0.6981481481481482,0.680628272251309,0.5158730158730159,0.30148148148148146,0.049078416403097395,0.004603973058231734,36.0,29.0,35.0,15.397345542907715,13.325003623962402,19.291821479797363,0,0,0,0,0,0,0,0,2700,1885,814,1
1123,037,37,32760,1712,900,812,0,298,12,1210,0.743801652892562,0.5257009345794392,0.6160164271047228,0.44510385756676557,0.4742990654205608,0.018690416457601607,0.0007944915254237289,36.0,31.0,35.75,17.66240692138672,17.63008213043213,16.808826446533203,0,0,0,0,0,0,0,0,1712,900,812,0
1295,037,19,32768,2393,1582,810,1,708,6,2296,0.6890243902439024,0.6610948600083577,0.6747707400298572,0.5091728355326681,0.33848725449226913,0.03837190396184489,0.0005031868500503186,36.0,29.0,38.16666603088379,16.51215362548828,13.555377006530762,21.019389152526855,0,0,0,0,0,0,0,0,2393,1582,810,1
685,037,62,32747,833,27,806,0,80,0,107,0.2523364485981308,0.03241296518607443,0.0574468085106383,0.029572836801752465,0.9675870348139256,0.00621938894503615,0.0,42.5,29.0,41.0,9.931962966918945,11.185930252075195,9.690683841705322,0,0,0,0,0,0,0,0,833,27,806,0
