step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
1986,037,59,32739,0,0,0,0,14,732,746,0.0,,0.0,0.0,,0.003656307129798903,0.025319958491871325,,,4.0,,,64.12189483642578,0,0,0,0,0,0,0,0,0,0,0,0
1847,013,37,32751,329,237,91,1,345,690,1272,0.18632075471698112,0.7203647416413373,0.29606495940037475,0.17375366568914957,0.2765957446808511,0.08263473053892216,0.024427372818352392,45.0,37.0,37.0,29.33835220336914,18.43801498413086,27.284894943237305,325,236,88,1,0,0,0,0,4,1,3,0
1406,013,40,32710,362,311,51,0,360,605,1276,0.24373040752351097,0.8591160220994475,0.3797313797313797,0.2343632253202713,0.1408839779005525,0.06997084548104957,0.022240194096239386,43.0,32.0,36.0,24.735069274902344,21.222612380981445,25.73616313934326,357,309,48,0,0,0,0,0,5,2,3,0
828,013,37,32649,728,512,201,15,483,530,1525,0.3357377049180328,0.7032967032967034,0.4545051043053706,0.29408385985066055,0.2760989010989011,0.044255085211654756,0.025229685342980913,39.0,30.0,34.0,13.261353015899658,10.913959503173828,14.196776390075684,728,512,201,15,0,0,0,0,0,0,0,0
547,013,39,32631,632,471,146,15,451,520,1442,0.32662968099861306,0.745253164556962,0.4541947926711668,0.29382407985028075,0.2310126582278481,0.04300562601315915,0.024172554853105245,39.0,29.0,33.0,13.665644645690918,11.24792194366455,22.990787506103516,632,471,146,15,0,0,0,0,0,0,0,0
1474,013,38,32641,722,535,185,2,458,450,1443,0.37075537075537074,0.7409972299168975,0.4942263279445728,0.3282208588957055,0.2562326869806094,0.04215758468335788,0.021372595582996912,39.0,30.5,34.0,12.572338104248047,11.379427909851074,13.596486568450928,720,535,183,2,0,0,0,0,2,0,2,0
502,013,61,32546,424,285,137,2,386,430,1101,0.25885558583106266,0.6721698113207547,0.3737704918032787,0.22983870967741934,0.3231132075471698,0.061651493371665866,0.016627353930629134,43.0,34.5,36.75,23.15247344970703,23.038103103637695,26.853652000427246,355,270,85,0,0,0,0,0,69,15,52,2
823,013,59,32741,364,224,138,2,438,419,1081,0.2072155411655874,0.6153846153846154,0.31003460207612454,0.18345618345618345,0.3791208791208791,0.08606798978188249,0.015354734681911463,43.0,35.75,36.0,25.397783279418945,20.2008638381958,26.393792152404785,307,202,104,1,0,0,0,0,57,22,34,1
1064,013,34,32659,327,216,108,3,317,404,937,0.2305229455709712,0.6605504587155964,0.34177215189873417,0.20610687022900764,0.3302752293577982,0.06796740994854203,0.014601705941882318,47.0,35.75,38.0,28.695185661315918,19.663894653320312,26.15081214904785,320,213,104,3,0,0,0,0,7,3,4,0
1770,013,38,32641,722,443,273,6,489,396,1328,0.3335843373493976,0.6135734072022161,0.4321951219512195,0.2756689483509645,0.3781163434903047,0.04552648729168606,0.018698649541977523,42.0,31.0,34.0,13.080034255981445,10.437971115112305,15.431095123291016,722,443,273,6,0,0,0,0,0,0,0,0
