step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
2103,054,17,32758,3290,3154,136,0,1787,195,5136,0.6140965732087228,0.9586626139817629,0.7486351768336102,0.5982549317147192,0.04133738601823708,0.16227751543770433,0.010565669700910272,35.0,29.0,31.5,13.928397178649902,13.238264560699463,15.128629684448242,0,0,0,0,0,0,0,0,3290,3154,136,0
636,054,19,32766,3471,3308,163,0,1626,377,5311,0.6228582187911881,0.9530394698934025,0.7533591437030289,0.6043112897332846,0.04696053010659752,0.15213323353293412,0.020261192024506908,36.0,29.0,32.0,12.899402141571045,12.097999572753906,14.378998756408691,0,0,0,0,51,51,0,0,3420,3257,163,0
1074,054,13,32766,3054,2601,453,0,1578,8,4187,0.6212085025077622,0.8516699410609038,0.7184090595221655,0.5605603448275862,0.14833005893909626,0.10858047202917498,0.0005270439422886883,34.0,30.0,32.0,15.656886100769043,13.660715103149414,16.767268180847168,126,98,28,0,151,151,0,0,2777,2352,425,0
784,054,12,32768,2776,2501,275,0,1566,26,4093,0.6110432445638896,0.9009365994236311,0.7281991556267288,0.57257326007326,0.09906340057636888,0.09872651620224436,0.0018400566171266808,35.0,29.0,33.0,15.880141258239746,13.58568286895752,17.09601593017578,176,118,58,0,146,146,0,0,2454,2237,217,0
1382,123,71,32627,1724,1555,169,0,1560,6,3121,0.4982377443127203,0.9019721577726219,0.6418988648090815,0.4726443768996961,0.09802784222737819,0.09932509868839934,0.0003948147660722511,32.0,27.0,29.0,11.367109298706055,15.607425689697266,11.723497867584229,588,531,57,0,0,0,0,0,1136,1024,112,0
1856,054,16,32766,3129,2774,355,0,1560,108,4442,0.6244934714092751,0.8865452221156919,0.7327961960110949,0.5782780904732124,0.11345477788430809,0.13459879206212252,0.005984374134205131,35.0,29.5,32.0,14.514566898345947,12.848477363586426,15.65413761138916,0,0,0,0,26,26,0,0,3103,2748,355,0
843,123,71,32626,1775,1589,186,0,1554,15,3158,0.5031665611146295,0.8952112676056339,0.6442327184269208,0.4751794258373206,0.1047887323943662,0.09769283963035141,0.001003747323340471,32.0,19.0,29.0,11.476666450500488,27.227975845336914,11.631746292114258,594,552,42,0,0,0,0,0,1181,1037,144,0
879,054,9,32767,1611,1596,15,0,1549,32,3177,0.502360717658168,0.9906890130353817,0.6666666666666666,0.5,0.00931098696461825,0.22316669067857658,0.0013214949411521784,36.0,25.0,37.0,16.78221607208252,15.00387191772461,17.762752532958984,9,9,0,0,70,70,0,0,1532,1517,15,0
1534,054,8,32763,1628,1549,79,0,1540,28,3117,0.49695219762592235,0.9514742014742015,0.6528977871443625,0.48466833541927407,0.048525798525798525,0.17664601972929572,0.0012490520587054468,39.0,5.0,36.0,17.87350845336914,24.454509735107422,18.56468963623047,117,68,49,0,134,134,0,0,1377,1347,30,0
619,054,7,32767,2061,1983,78,0,1527,20,3530,0.5617563739376771,0.9621542940320232,0.7093543194419603,0.5496119733924612,0.03784570596797671,0.08326063249727372,0.0016173378618793467,38.0,27.25,35.0,17.58612060546875,17.412635803222656,18.265134811401367,89,57,32,0,142,129,13,0,1830,1797,33,0
693,054,14,32762,3059,2532,527,0,1527,59,4118,0.6148615832928606,0.8277214776070612,0.7055872927406994,0.5451022604951561,0.17227852239293887,0.11740735045363679,0.0035335689045936395,34.0,30.0,32.0,15.240055561065674,13.637511253356934,16.209049224853516,47,46,1,0,135,135,0,0,2877,2351,526,0
906,054,7,32767,2067,1963,104,0,1526,29,3518,0.5579874928936897,0.949685534591195,0.7029543419874664,0.5419657647708448,0.050314465408805034,0.08269658050181543,0.002367926839225933,38.0,28.0,35.0,17.582975387573242,18.2182559967041,18.355207443237305,95,59,36,0,142,117,25,0,1830,1787,43,0
88,123,71,32627,1708,1541,167,0,1518,4,3063,0.5031015344433561,0.9022248243559718,0.6459861664221337,0.47708978328173374,0.0977751756440281,0.09683592753253381,0.000262415534999672,32.0,27.0,29.0,11.392315864562988,18.220537185668945,11.701177597045898,588,550,38,0,0,0,0,0,1120,991,129,0
161,054,25,32722,3014,2866,148,0,1500,91,4457,0.6430334305586718,0.9508958195089582,0.767233302101459,0.6223669923995657,0.0491041804910418,0.15027048687637748,0.0046132008516678496,47.0,29.0,33.0,10.877729415893555,13.168689250946045,12.091025829315186,0,0,0,0,0,0,0,0,3014,2866,148,0
175,054,14,32762,2940,2387,553,0,1499,51,3937,0.6062992125984252,0.8119047619047619,0.6941980514759343,0.5316258351893096,0.1880952380952381,0.11884563545548243,0.0029635655761520133,34.0,30.0,32.0,15.163617134094238,13.736163139343262,16.129657745361328,47,46,1,0,16,16,0,0,2877,2325,552,0
969,054,7,32767,2097,1977,120,0,1493,5,3475,0.5689208633093525,0.9427753934191703,0.7096195262024407,0.5499304589707927,0.05722460658082976,0.07795530492898914,0.00043410314290675465,38.0,28.0,35.0,17.58612060546875,21.461792945861816,18.326091766357422,125,81,44,0,142,105,37,0,1830,1791,39,0
60,054,5,32768,1441,1389,52,0,1491,61,2941,0.472288337300238,0.963913948646773,0.6339570972158831,0.46408286000668225,0.03608605135322693,0.1371286673411202,0.002982301750268896,40.0,28.0,37.0,18.40837287902832,16.085335731506348,19.708940505981445,116,83,33,0,72,69,3,0,1253,1237,16,0
574,054,11,32767,1752,1681,71,0,1479,4,3164,0.5312895069532237,0.9594748858447488,0.6838893409275834,0.519629057187017,0.04052511415525114,0.1685662183724641,0.00017984802841598848,37.0,21.0,35.0,16.83681297302246,17.538333892822266,17.188644409179688,114,83,31,0,139,139,0,0,1499,1459,40,0
2027,054,8,32768,1283,1274,9,0,1471,144,2889,0.44098303911388026,0.9929851909586905,0.610738255033557,0.4396135265700483,0.007014809041309431,0.27660774727341103,0.005503114610004968,37.0,27.0,38.0,16.96348762512207,15.23791790008545,18.571321487426758,14,14,0,0,73,73,0,0,1196,1187,9,0
1098,123,70,32678,1620,1394,226,0,1466,13,2873,0.48520710059171596,0.8604938271604938,0.6205208101491209,0.44982252339464346,0.13950617283950617,0.09092600632636606,0.0008704385671242049,31.0,21.5,29.0,12.100240707397461,27.695990562438965,12.579756736755371,541,494,47,0,0,0,0,0,1079,900,179,0
1919,054,27,32712,2422,2333,86,3,1448,49,3830,0.6091383812010444,0.9632535094962841,0.7463211772232885,0.5953049247256953,0.03550784475639967,0.12356003071934465,0.002638522427440633,51.5,30.0,33.5,10.826830863952637,12.463263511657715,11.331710815429688,39,34,5,0,0,0,0,0,2383,2299,81,3
347,054,26,32718,2913,2804,108,1,1446,66,4316,0.6496756255792401,0.9625815310676279,0.7757642827500346,0.6336723163841808,0.037075180226570546,0.13027027027027027,0.003528468323977546,49.0,30.0,33.0,10.791985988616943,12.405235767364502,11.635125160217285,0,0,0,0,0,0,0,0,2913,2804,108,1
622,054,10,32768,1483,1463,20,0,1446,62,2971,0.4924267923258162,0.9865138233310856,0.656937584193983,0.48913406887328653,0.013486176668914362,0.3001245330012453,0.0023425397665016814,36.0,26.0,38.0,16.186595916748047,14.941462516784668,17.953168869018555,0,0,0,0,49,44,5,0,1434,1419,15,0
225,054,4,32766,1675,1608,67,0,1440,4,3052,0.526867627785059,0.96,0.6803469430928707,0.5155498557229882,0.04,0.07647777364703383,0.00032621105855488503,40.0,28.0,35.0,18.692559242248535,15.95279312133789,19.483211517333984,115,73,42,0,92,86,6,0,1468,1449,19,0
1158,054,5,32764,1121,1080,41,0,1428,8,2516,0.4292527821939587,0.9634255129348795,0.5938960681880671,0.42236996480250294,0.036574487065120426,0.24368600682593858,0.00031028196873909164,42.0,13.0,37.0,19.1848783493042,24.390771865844727,20.08955669403076,160,134,26,0,72,69,3,0,889,877,12,0
1541,054,3,32768,1211,1166,43,2,1410,85,2661,0.4381811349116873,0.9628406275805119,0.6022727272727273,0.43089430894308944,0.03550784475639967,0.12644605864944847,0.004165441536802901,41.0,29.0,36.0,19.01855754852295,21.745573043823242,20.209019660949707,97,77,20,0,81,70,11,0,1033,1019,12,2
