split,class,bucket,n_in_image,n_occluded,occluded_ratio
train,road,0_10m,25269544,987,3.905887656698514e-05
train,road,10_20m,66438871,11613,0.00017479225376963435
train,road,20_30m,14103396,11645,0.0008256876570720981
train,road,30_40m,4627282,6062,0.0013100563138360706
train,road,40_60m,2380716,3213,0.001349593987691098
train,road,60m_plus,343342,357,0.001039779578379575
train,marking,0_10m,992874,16,1.6114834309287985e-05
train,marking,10_20m,2468736,278,0.0001126082335251724
train,marking,20_30m,661177,312,0.000471885743151985
train,marking,30_40m,263822,248,0.0009400277459802442
train,marking,40_60m,190556,348,0.001826234807615609
train,marking,60m_plus,76980,121,0.001571836840737854
train,other,0_10m,6634883,950,0.00014318263034932192
train,other,10_20m,29985935,30836,0.001028348790858114
train,other,20_30m,31743932,61108,0.0019250293252896333
train,other,30_40m,23645745,63574,0.002688602114249308
train,other,40_60m,25065456,108716,0.004337283949671612
train,other,60m_plus,23495034,109246,0.0046497485383507
val,road,0_10m,3582035,236,6.588433669687761e-05
val,road,10_20m,9135101,2683,0.00029370228090526857
val,road,20_30m,1831923,1703,0.0009296242254723589
val,road,30_40m,710183,825,0.0011616724140115998
val,road,40_60m,420752,361,0.0008579876031486482
val,road,60m_plus,73169,68,0.0009293553280760978
val,marking,0_10m,115030,0,0.0
val,marking,10_20m,296808,33,0.00011118298698148297
val,marking,20_30m,76674,33,0.00043039361452382814
val,marking,30_40m,35780,21,0.0005869200670765791
val,marking,40_60m,31913,29,0.0009087205840879893
val,marking,60m_plus,19472,14,0.0007189811010682005
val,other,0_10m,1324461,209,0.00015780004092230725
val,other,10_20m,4852004,5789,0.001193115257118502
val,other,20_30m,4190361,7492,0.001787912783647996
val,other,30_40m,3036805,7809,0.0025714525628086097
val,other,40_60m,3879560,14886,0.003837033065605378
val,other,60m_plus,3682838,15644,0.004247811063098622
test,road,0_10m,3664024,215,5.867865494330823e-05
test,road,10_20m,9503775,2023,0.00021286278347288314
test,road,20_30m,2042017,2177,0.0010661027797515888
test,road,30_40m,724542,976,0.0013470578655205632
test,road,40_60m,368593,614,0.001665793978724501
test,road,60m_plus,29153,77,0.0026412376084794017
test,marking,0_10m,123741,11,8.889535400554384e-05
test,marking,10_20m,365335,44,0.00012043740676365527
test,marking,20_30m,90382,100,0.0011064149941360005
test,marking,30_40m,42220,51,0.0012079583135954524
test,marking,40_60m,33662,54,0.0016041827580060603
test,marking,60m_plus,10118,9,0.0008895038545167029
test,other,0_10m,1666235,523,0.0003138812952554712
test,other,10_20m,5655846,8026,0.001419062683107001
test,other,20_30m,3420282,6552,0.0019156315181028934
test,other,30_40m,2614727,5162,0.0019742022780963367
test,other,40_60m,3223479,10346,0.003209575740992884
test,other,60m_plus,4044508,12315,0.0030448697344646124
