split,sequence,lidar_frame,cam_frame,dt_seconds,frame_valid,n_in_image,n_occluded,n_road_in_image,n_road_occluded,n_marking_in_image,n_marking_occluded,n_other_in_image,n_other_occluded,n_raw8_in_image,n_raw8_occluded,n_raw9_in_image,n_raw9_occluded,n_raw10_in_image,n_raw10_occluded
train,003,0,0,-0.04985499382019043,1,63128,192,28927,7,560,0,33530,176,493,0,0,0,67,0
train,003,1,1,-0.04985809326171875,1,59465,122,28151,4,526,0,30680,117,459,0,0,0,67,0
train,003,2,2,-0.04986000061035156,1,56606,90,28204,4,605,0,27659,83,527,0,0,0,78,0
train,003,3,3,-0.049852848052978516,1,56471,71,27018,6,629,0,28578,64,543,0,0,0,86,0
train,003,4,4,-0.04985618591308594,1,55409,100,23406,6,634,0,31037,93,552,0,0,0,82,0
train,003,5,5,-0.049859046936035156,1,58091,133,20788,19,443,0,36785,114,384,0,0,0,59,0
train,003,6,6,-0.049857139587402344,1,58911,121,22914,16,512,0,35430,105,452,0,0,0,60,0
train,003,7,7,-0.04986000061035156,1,57654,102,25418,10,577,0,31624,91,490,0,0,0,87,0
train,003,8,8,-0.0498509407043457,1,58246,111,26310,14,615,1,31271,95,541,1,0,0,74,0
train,003,9,9,-0.04985404014587402,1,56184,107,24440,7,703,0,31004,98,610,0,0,0,93,0
train,003,10,10,-0.04985308647155762,1,55429,113,22476,16,889,0,32005,97,665,0,0,0,224,0
train,003,11,11,-0.04985499382019043,1,57077,107,23016,18,628,0,33374,89,561,0,0,0,67,0
train,003,12,12,-0.04986405372619629,1,60725,126,24887,1,558,0,35232,125,494,0,0,0,64,0
train,003,13,13,-0.049852848052978516,1,58353,109,26652,7,516,0,31149,101,454,0,0,0,62,0
train,003,14,14,-0.049844980239868164,1,57483,125,26970,9,560,0,29916,114,469,0,0,0,91,0
train,003,15,15,-0.04985404014587402,1,57585,84,26816,7,572,0,30156,76,482,0,0,0,90,0
train,003,16,16,-0.049841880798339844,1,59874,87,26815,4,705,0,32325,82,537,0,0,0,168,0
train,003,17,17,-0.04984712600708008,1,59019,87,27145,8,712,0,31129,79,637,0,0,0,75,0
train,003,18,18,-0.04985404014587402,1,58740,122,27116,12,703,0,30871,109,638,0,0,0,65,0
train,003,19,19,-0.049844980239868164,1,58858,120,27104,11,591,0,31111,108,520,0,0,0,71,0
train,003,20,20,-0.04984593391418457,1,60240,119,27071,10,497,0,32602,108,427,0,0,0,70,0
train,003,21,21,-0.04983806610107422,1,58730,98,26807,13,529,0,31318,85,445,0,0,0,84,0
train,003,22,22,-0.04983401298522949,1,58595,83,26209,8,619,0,31718,74,462,0,0,0,157,0
train,003,23,23,-0.04982304573059082,1,58470,87,25658,5,605,0,32162,81,499,0,0,0,106,0
train,003,24,24,-0.049818992614746094,1,57631,104,25472,13,649,0,31458,89,592,0,0,0,57,0
train,003,25,25,-0.04982399940490723,1,55702,71,25860,11,772,0,29022,59,709,0,0,0,63,0
train,003,26,26,-0.04981279373168945,1,55810,86,26078,6,716,0,28703,80,665,0,0,0,51,0
train,003,27,27,-0.0498199462890625,1,55770,87,26852,9,600,0,28017,78,529,0,0,0,71,0
train,003,28,28,-0.049820899963378906,1,58302,102,27900,4,565,0,29801,97,429,0,0,0,136,0
train,003,29,29,-0.049820899963378906,1,57679,102,28330,2,532,0,28776,99,438,0,0,0,94,0
train,003,30,30,-0.049820899963378906,1,57690,77,28266,1,494,0,28898,75,460,0,0,0,34,0
train,003,31,31,-0.04982399940490723,1,57408,74,27588,1,526,0,29252,71,491,0,0,0,35,0
train,003,32,32,-0.049842119216918945,1,58535,89,26897,5,674,0,30928,84,629,0,0,0,45,0
train,003,33,33,-0.049841880798339844,1,57339,80,26662,4,695,0,29941,76,651,0,0,0,44,0
train,003,34,34,-0.049822092056274414,1,57388,76,26724,10,613,0,30014,66,515,0,0,0,98,0
train,003,35,35,-0.0498199462890625,1,59228,95,26681,2,473,0,32047,93,382,0,0,0,91,0
train,003,36,36,-0.04983115196228027,1,57714,68,26459,14,460,0,30761,54,412,0,0,0,48,0
train,003,37,37,-0.049833059310913086,1,57157,81,25895,13,470,0,30750,68,422,0,0,0,48,0
train,003,38,38,-0.049835920333862305,1,58271,147,26596,19,615,0,30995,128,541,0,0,0,74,0
train,003,39,39,-0.04983115196228027,1,57360,117,26193,10,746,0,30358,103,673,0,0,0,73,0
train,003,40,40,-0.04982805252075195,1,59114,152,26427,18,872,0,31701,134,743,0,0,0,129,0
train,003,41,41,-0.049817800521850586,1,58547,112,27402,7,674,0,30406,105,622,0,0,0,52,0
train,003,42,42,-0.04982900619506836,1,59203,107,28279,2,504,0,30315,105,469,0,0,0,35,0
train,003,43,43,-0.04982495307922363,1,61004,156,27720,5,523,0,32639,149,465,0,0,0,58,0
train,003,44,44,-0.04982399940490723,1,59418,138,27513,13,529,0,31279,123,475,0,0,0,54,0
train,003,45,45,-0.049835920333862305,1,58260,119,27297,8,584,0,30286,109,526,0,0,0,58,0
train,003,46,46,-0.04983210563659668,1,60141,140,27267,1,706,0,32076,138,621,0,0,0,85,0
train,003,47,47,-0.04983711242675781,1,58818,105,26876,3,782,0,31049,101,649,0,0,0,133,0
train,003,48,48,-0.049839019775390625,1,58114,115,26371,5,632,0,31026,109,564,0,0,0,68,0
train,003,49,49,-0.04985189437866211,1,57950,138,26318,5,583,0,30956,133,481,0,0,0,102,0
train,003,50,50,-0.04985690116882324,1,55706,97,26374,4,473,0,28714,92,404,0,0,0,69,0
train,003,51,51,-0.04986715316772461,1,55330,116,26496,5,536,0,28162,111,400,0,0,0,136,0
train,003,52,52,-0.04986381530761719,1,57658,127,27110,8,570,0,29766,119,435,0,0,0,135,0
train,003,53,53,-0.04987502098083496,1,57443,78,27345,1,722,0,29340,77,488,0,0,0,234,0
train,003,54,54,-0.04987287521362305,1,57865,87,27949,3,551,0,29241,83,487,0,0,0,64,0
train,003,55,55,-0.04986977577209473,1,60021,85,27998,4,543,0,31365,81,468,0,0,0,75,0
train,003,56,56,-0.04987812042236328,1,58565,96,27917,3,555,0,30046,93,471,0,0,0,84,0
train,003,57,57,-0.049877166748046875,1,58026,65,27819,3,499,0,29679,62,389,0,0,0,110,0
train,003,58,58,-0.04988217353820801,1,59836,94,27675,3,447,0,31702,91,328,0,0,0,119,0
train,003,59,59,-0.04987692832946777,1,58096,65,27511,2,474,0,30097,63,323,0,0,0,151,0
train,003,60,60,-0.04987978935241699,1,57446,68,27470,1,440,0,29525,67,314,0,0,0,126,0
train,003,61,61,-0.049880027770996094,1,59649,95,27485,2,387,0,31762,93,318,0,0,0,69,0
train,003,62,62,-0.04986310005187988,1,57877,75,27344,1,400,0,30109,74,314,0,0,0,86,0
train,003,63,63,-0.04986214637756348,1,57433,87,26938,0,425,0,30061,87,326,0,0,0,99,0
train,003,64,64,-0.049855947494506836,1,58967,105,26647,4,410,0,31900,101,318,0,0,0,92,0
train,003,65,65,-0.049839019775390625,1,57224,79,26523,7,505,0,30178,72,369,0,0,0,136,0
train,003,66,66,-0.0498349666595459,1,56527,90,26368,12,552,0,29590,78,377,0,0,0,175,0
train,003,67,67,-0.049832820892333984,1,58278,111,26107,6,568,0,31567,105,404,0,0,0,164,0
train,003,68,68,-0.049839019775390625,1,56676,95,25619,4,540,0,30490,91,460,0,0,0,80,0
train,003,69,69,-0.04984307289123535,1,52587,106,25033,6,579,0,26874,99,487,0,0,0,92,0
train,003,70,70,-0.04983782768249512,1,52878,120,24644,5,597,0,27538,115,486,0,0,0,111,0
train,003,71,71,-0.04983997344970703,1,52977,78,26024,16,643,0,25986,62,538,0,0,0,105,0
train,003,72,72,-0.049829959869384766,1,54400,97,26277,10,688,0,27060,87,561,0,0,0,127,0
train,003,73,73,-0.04982113838195801,1,54365,91,26212,4,741,0,27194,87,514,0,0,0,227,0
train,003,74,74,-0.04981207847595215,1,55033,131,26022,3,604,0,28346,128,455,0,0,0,149,0
train,003,75,75,-0.04982113838195801,1,57348,129,26228,2,474,0,30635,127,413,0,0,0,61,0
train,003,76,76,-0.04984092712402344,1,57734,102,26856,2,499,0,30354,100,404,0,0,0,95,0
train,003,77,77,-0.04983687400817871,1,57533,69,27540,6,448,0,29534,63,385,0,0,0,63,0
train,003,78,78,-0.04982495307922363,1,59415,103,27737,2,512,0,31155,101,390,0,0,0,122,0
train,003,79,79,-0.049818992614746094,1,57216,108,27111,1,501,0,29591,107,361,0,0,0,140,0
train,005,0,0,-0.04987001419067383,1,49619,116,16005,22,1014,0,32122,90,202,0,41,0,771,0
train,005,1,1,-0.04987502098083496,1,48937,99,16674,27,1202,3,30584,62,261,0,37,0,904,3
train,005,2,2,-0.049870967864990234,1,49588,77,16537,22,2082,0,30532,50,310,0,31,0,1741,0
train,005,3,3,-0.0498809814453125,1,51587,92,18590,27,663,0,31799,59,368,0,22,0,273,0
train,005,4,4,-0.04987001419067383,1,53543,111,19155,42,542,3,33314,61,398,2,18,0,126,1
train,005,5,5,-0.049867868423461914,1,51916,78,19588,18,524,1,31340,58,367,0,12,0,145,1
train,005,6,6,-0.049861907958984375,1,51307,63,19224,7,438,0,31151,51,308,0,1,0,129,0
train,005,7,7,-0.049855947494506836,1,50799,53,18934,5,513,0,30886,48,359,0,0,0,154,0
train,005,8,8,-0.049843788146972656,1,52262,74,18888,7,493,0,32421,59,367,0,0,0,126,0
train,005,9,9,-0.049829959869384766,1,51104,66,18997,10,537,0,31077,53,404,0,0,0,133,0
train,005,10,10,-0.04983401298522949,1,51463,76,19231,13,557,1,31177,60,396,0,0,0,161,1
train,005,11,11,-0.04982900619506836,1,51147,64,19106,13,493,0,31062,47,356,0,0,0,137,0
train,005,12,12,-0.049825191497802734,1,52104,89,18569,12,488,0,32612,76,352,0,0,0,136,0
train,005,13,13,-0.04982709884643555,1,50768,68,18165,13,549,1,31630,52,394,1,0,0,155,0
train,005,14,14,-0.049813032150268555,1,50970,68,18060,17,569,0,31942,49,418,0,0,0,151,0
train,005,15,15,-0.04981493949890137,1,50616,86,17695,24,655,1,31787,57,487,0,0,0,168,1
train,005,16,16,-0.04980301856994629,1,51800,87,17239,15,644,0,33435,72,473,0,0,0,171,0
