split,sequence,lidar_frame,same_index_cam_frame,same_index_dt_s,nearest_cam_frame,nearest_dt_s
train,003,0,0,-0.04985499382019043,0,-0.04985499382019043
train,003,1,1,-0.04985809326171875,1,-0.04985809326171875
train,003,2,2,-0.04986000061035156,2,-0.04986000061035156
train,003,3,3,-0.049852848052978516,3,-0.049852848052978516
train,003,4,4,-0.04985618591308594,4,-0.04985618591308594
train,003,5,5,-0.049859046936035156,5,-0.049859046936035156
train,003,6,6,-0.049857139587402344,6,-0.049857139587402344
train,003,7,7,-0.04986000061035156,7,-0.04986000061035156
train,003,8,8,-0.0498509407043457,8,-0.0498509407043457
train,003,9,9,-0.04985404014587402,9,-0.04985404014587402
train,003,10,10,-0.04985308647155762,10,-0.04985308647155762
train,003,11,11,-0.04985499382019043,11,-0.04985499382019043
train,003,12,12,-0.04986405372619629,12,-0.04986405372619629
train,003,13,13,-0.049852848052978516,13,-0.049852848052978516
train,003,14,14,-0.049844980239868164,14,-0.049844980239868164
train,003,15,15,-0.04985404014587402,15,-0.04985404014587402
train,003,16,16,-0.049841880798339844,16,-0.049841880798339844
train,003,17,17,-0.04984712600708008,17,-0.04984712600708008
train,003,18,18,-0.04985404014587402,18,-0.04985404014587402
train,003,19,19,-0.049844980239868164,19,-0.049844980239868164
train,003,20,20,-0.04984593391418457,20,-0.04984593391418457
train,003,21,21,-0.04983806610107422,21,-0.04983806610107422
train,003,22,22,-0.04983401298522949,22,-0.04983401298522949
train,003,23,23,-0.04982304573059082,23,-0.04982304573059082
train,003,24,24,-0.049818992614746094,24,-0.049818992614746094
train,003,25,25,-0.04982399940490723,25,-0.04982399940490723
train,003,26,26,-0.04981279373168945,26,-0.04981279373168945
train,003,27,27,-0.0498199462890625,27,-0.0498199462890625
train,003,28,28,-0.049820899963378906,28,-0.049820899963378906
train,003,29,29,-0.049820899963378906,29,-0.049820899963378906
train,003,30,30,-0.049820899963378906,30,-0.049820899963378906
train,003,31,31,-0.04982399940490723,31,-0.04982399940490723
train,003,32,32,-0.049842119216918945,32,-0.049842119216918945
train,003,33,33,-0.049841880798339844,33,-0.049841880798339844
train,003,34,34,-0.049822092056274414,34,-0.049822092056274414
train,003,35,35,-0.0498199462890625,35,-0.0498199462890625
train,003,36,36,-0.04983115196228027,36,-0.04983115196228027
train,003,37,37,-0.049833059310913086,37,-0.049833059310913086
train,003,38,38,-0.049835920333862305,38,-0.049835920333862305
train,003,39,39,-0.04983115196228027,39,-0.04983115196228027
train,003,40,40,-0.04982805252075195,40,-0.04982805252075195
train,003,41,41,-0.049817800521850586,41,-0.049817800521850586
train,003,42,42,-0.04982900619506836,42,-0.04982900619506836
train,003,43,43,-0.04982495307922363,43,-0.04982495307922363
train,003,44,44,-0.04982399940490723,44,-0.04982399940490723
train,003,45,45,-0.049835920333862305,45,-0.049835920333862305
train,003,46,46,-0.04983210563659668,46,-0.04983210563659668
train,003,47,47,-0.04983711242675781,47,-0.04983711242675781
train,003,48,48,-0.049839019775390625,48,-0.049839019775390625
train,003,49,49,-0.04985189437866211,49,-0.04985189437866211
train,003,50,50,-0.04985690116882324,50,-0.04985690116882324
train,003,51,51,-0.04986715316772461,51,-0.04986715316772461
train,003,52,52,-0.04986381530761719,52,-0.04986381530761719
train,003,53,53,-0.04987502098083496,53,-0.04987502098083496
train,003,54,54,-0.04987287521362305,54,-0.04987287521362305
train,003,55,55,-0.04986977577209473,55,-0.04986977577209473
train,003,56,56,-0.04987812042236328,56,-0.04987812042236328
train,003,57,57,-0.049877166748046875,57,-0.049877166748046875
train,003,58,58,-0.04988217353820801,58,-0.04988217353820801
train,003,59,59,-0.04987692832946777,59,-0.04987692832946777
train,003,60,60,-0.04987978935241699,60,-0.04987978935241699
train,003,61,61,-0.049880027770996094,61,-0.049880027770996094
train,003,62,62,-0.04986310005187988,62,-0.04986310005187988
train,003,63,63,-0.04986214637756348,63,-0.04986214637756348
train,003,64,64,-0.049855947494506836,64,-0.049855947494506836
train,003,65,65,-0.049839019775390625,65,-0.049839019775390625
train,003,66,66,-0.0498349666595459,66,-0.0498349666595459
train,003,67,67,-0.049832820892333984,67,-0.049832820892333984
train,003,68,68,-0.049839019775390625,68,-0.049839019775390625
train,003,69,69,-0.04984307289123535,69,-0.04984307289123535
train,003,70,70,-0.04983782768249512,70,-0.04983782768249512
train,003,71,71,-0.04983997344970703,71,-0.04983997344970703
train,003,72,72,-0.049829959869384766,72,-0.049829959869384766
train,003,73,73,-0.04982113838195801,73,-0.04982113838195801
train,003,74,74,-0.04981207847595215,74,-0.04981207847595215
train,003,75,75,-0.04982113838195801,75,-0.04982113838195801
train,003,76,76,-0.04984092712402344,76,-0.04984092712402344
train,003,77,77,-0.04983687400817871,77,-0.04983687400817871
train,003,78,78,-0.04982495307922363,78,-0.04982495307922363
train,003,79,79,-0.049818992614746094,79,-0.049818992614746094
train,005,0,0,-0.04987001419067383,0,-0.04987001419067383
train,005,1,1,-0.04987502098083496,1,-0.04987502098083496
train,005,2,2,-0.049870967864990234,2,-0.049870967864990234
train,005,3,3,-0.0498809814453125,3,-0.0498809814453125
train,005,4,4,-0.04987001419067383,4,-0.04987001419067383
train,005,5,5,-0.049867868423461914,5,-0.049867868423461914
train,005,6,6,-0.049861907958984375,6,-0.049861907958984375
train,005,7,7,-0.049855947494506836,7,-0.049855947494506836
train,005,8,8,-0.049843788146972656,8,-0.049843788146972656
train,005,9,9,-0.049829959869384766,9,-0.049829959869384766
train,005,10,10,-0.04983401298522949,10,-0.04983401298522949
train,005,11,11,-0.04982900619506836,11,-0.04982900619506836
train,005,12,12,-0.049825191497802734,12,-0.049825191497802734
train,005,13,13,-0.04982709884643555,13,-0.04982709884643555
train,005,14,14,-0.049813032150268555,14,-0.049813032150268555
train,005,15,15,-0.04981493949890137,15,-0.04981493949890137
train,005,16,16,-0.04980301856994629,16,-0.04980301856994629
train,005,17,17,-0.04979586601257324,17,-0.04979586601257324
train,005,18,18,-0.04979991912841797,18,-0.04979991912841797
train,005,19,19,-0.04979991912841797,19,-0.04979991912841797
train,005,20,20,-0.04980611801147461,20,-0.04980611801147461
train,005,21,21,-0.049807071685791016,21,-0.049807071685791016
train,005,22,22,-0.04979896545410156,22,-0.04979896545410156
train,005,23,23,-0.04981684684753418,23,-0.04981684684753418
train,005,24,24,-0.04982495307922363,24,-0.04982495307922363
train,005,25,25,-0.049829959869384766,25,-0.049829959869384766
train,005,26,26,-0.04984307289123535,26,-0.04984307289123535
