split,sequence,frames_failing_at_60ms,frames_total,fail_pct
test,001,0,80,0.0
test,002,0,80,0.0
test,015,0,80,0.0
test,065,0,80,0.0
test,090,0,80,0.0
test,101,0,80,0.0
test,102,0,80,0.0
test,103,0,80,0.0
test,117,0,80,0.0
train,003,0,80,0.0
train,005,0,80,0.0
train,011,0,80,0.0
train,016,0,80,0.0
train,017,0,80,0.0
train,019,0,80,0.0
train,021,0,80,0.0
train,023,0,80,0.0
train,024,0,80,0.0
train,027,0,80,0.0
train,028,0,80,0.0
train,029,0,80,0.0
train,030,0,80,0.0
train,032,0,80,0.0
train,033,0,80,0.0
train,035,0,80,0.0
train,039,0,80,0.0
train,040,0,80,0.0
train,041,0,80,0.0
train,042,0,80,0.0
train,043,0,80,0.0
train,044,0,80,0.0
train,046,0,80,0.0
train,052,0,80,0.0
train,053,0,80,0.0
train,056,0,80,0.0
train,057,0,80,0.0
train,058,0,80,0.0
train,064,0,80,0.0
train,066,0,80,0.0
train,067,0,80,0.0
train,069,0,80,0.0
train,070,0,80,0.0
train,071,0,80,0.0
train,072,0,80,0.0
train,073,0,80,0.0
train,077,0,80,0.0
train,078,0,80,0.0
train,080,0,80,0.0
train,084,0,80,0.0
train,088,0,80,0.0
train,089,0,80,0.0
train,094,0,80,0.0
train,095,0,80,0.0
train,097,0,80,0.0
train,098,0,80,0.0
train,105,0,80,0.0
train,109,0,80,0.0
train,110,0,80,0.0
train,112,0,80,0.0
train,113,0,80,0.0
train,115,0,80,0.0
train,119,0,80,0.0
train,120,0,80,0.0
train,122,0,80,0.0
train,139,0,80,0.0
train,149,0,80,0.0
train,158,0,80,0.0
val,013,0,80,0.0
val,034,0,80,0.0
val,037,0,80,0.0
val,038,0,80,0.0
val,054,43,80,53.75
val,106,0,80,0.0
val,116,0,80,0.0
val,123,0,80,0.0
val,124,0,80,0.0
