step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1,123,79,32680,0.9058139534883721,870,1874,711,1163,159,0.3497294638465322,0.37940234791889005,0.8172413793103448,0.5182215743440233,2.154022988505747,1159,154,4
2,124,28,32745,0.7857993586807146,498,1444,491,953,7,0.3383873190902826,0.3400277008310249,0.9859437751004017,0.505664263645726,2.8995983935742973,952,7,1
3,123,73,32673,0.8964894561258532,958,2110,841,1269,117,0.37763807813201616,0.3985781990521327,0.8778705636743215,0.5482398956975228,2.2025052192066807,1253,117,16
4,054,73,32749,0.0,1429,1682,1097,585,332,0.5446871896722939,0.6521997621878716,0.7676696990902729,0.7052394728383157,1.1770468859342198,584,332,1
5,013,68,32527,0.8233467580779045,705,1417,660,757,45,0.45143638850889195,0.46577275935074103,0.9361702127659575,0.6220546654099905,2.0099290780141845,678,45,79
6,054,20,32752,0.975390815828041,789,1330,727,603,62,0.5222701149425287,0.5466165413533834,0.9214195183776933,0.686172722982539,1.685678073510773,563,62,40
7,037,72,32677,0.8923401781069253,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
8,038,37,32744,0.8880100171023699,0,3,0,3,0,0.0,0.0,nan,0.0,nan,0,0,3
9,037,46,32763,0.7978512346244239,2111,3179,1990,1189,121,0.603030303030303,0.6259830135262662,0.9426811937470393,0.7523629489603024,1.5059213642823306,1149,121,40
10,124,77,32739,0.8533247808424204,509,1367,504,863,5,0.3673469387755102,0.3686905632772495,0.9901768172888016,0.5373134328358209,2.68565815324165,855,5,8
11,124,34,32733,0.7804661961934439,718,1667,659,1008,59,0.38180764774044035,0.39532093581283745,0.9178272980501393,0.5526205450733752,2.3217270194986073,1007,59,1
12,123,11,32736,0.8701735092864125,715,1891,674,1217,41,0.34886128364389235,0.35642517186673717,0.9426573426573427,0.5172678434382195,2.644755244755245,1208,41,9
13,034,16,32754,0.880838981498443,0,15,0,15,0,0.0,0.0,nan,0.0,nan,15,0,0
14,106,44,32766,0.8276872367698224,145,343,145,198,0,0.4227405247813411,0.4227405247813411,1.0,0.5942622950819673,2.3655172413793104,191,0,7
15,123,7,32744,0.7793183483997068,798,2156,730,1426,68,0.32823741007194246,0.3385899814471243,0.9147869674185464,0.4942450914014895,2.7017543859649122,1410,68,16
16,034,55,32751,0.922322982504351,0,14,0,14,0,0.0,0.0,nan,0.0,nan,14,0,0
17,013,29,32716,0.8469861841300893,324,752,292,460,32,0.37244897959183676,0.3882978723404255,0.9012345679012346,0.5427509293680297,2.3209876543209877,279,31,181
18,037,41,32761,0.8072097921308873,1770,2654,1511,1143,259,0.5187092344661861,0.5693293142426527,0.8536723163841808,0.6830922242314648,1.4994350282485875,1098,259,45
19,106,5,32686,0.8675885700299822,148,426,144,282,4,0.33488372093023255,0.3380281690140845,0.972972972972973,0.5017421602787456,2.8783783783783785,265,3,17
20,116,20,32671,0.8760674604389214,548,731,444,287,104,0.5317365269461077,0.6073871409028728,0.8102189781021898,0.6942924159499609,1.333941605839416,285,104,2
21,123,61,32741,0.8026633273265936,943,1882,762,1120,181,0.3693650024236549,0.40488841657810837,0.8080593849416755,0.5394690265486726,1.9957582184517497,1082,176,38
22,116,4,32675,0.9193267023718439,118,282,74,208,44,0.22699386503067484,0.2624113475177305,0.6271186440677966,0.37,2.389830508474576,182,44,26
23,013,15,32607,0.8016683534210446,452,826,398,428,54,0.45227272727272727,0.48184019370460046,0.8805309734513275,0.622848200312989,1.8274336283185841,356,52,72
24,054,17,32768,0.0,143,359,123,236,20,0.3245382585751979,0.3426183844011142,0.8601398601398601,0.4900398406374502,2.5104895104895104,227,20,9
25,054,30,32654,0.0,1876,3009,1746,1263,130,0.5562280981204205,0.580259222333001,0.9307036247334755,0.7148413510747186,1.6039445628997868,1172,129,91
26,034,66,32756,0.897209671510563,0,58,0,58,0,0.0,0.0,nan,0.0,nan,58,0,0
27,038,40,32438,0.8894198162648745,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
28,038,11,32757,0.9216045425405257,21,40,21,19,0,0.525,0.525,1.0,0.6885245901639344,1.9047619047619047,18,0,1
29,124,60,32742,0.8454889744059617,611,1616,608,1008,3,0.37554045707226685,0.37623762376237624,0.9950900163666121,0.5460260440053885,2.644844517184943,980,3,28
30,038,5,32298,0.8890333766796705,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
31,106,69,32764,0.8735197167623001,201,307,201,106,0,0.6547231270358306,0.6547231270358306,1.0,0.7913385826771654,1.527363184079602,106,0,0
