step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
693,054,14,32762,0.0,3059,3621,2325,1296,734,0.5338691159586682,0.6420878210439105,0.7600523046747303,0.6961077844311377,1.183720169990193,1268,734,28
175,054,14,32762,0.0,2940,3436,2213,1223,727,0.5315877972615902,0.6440628637951106,0.7527210884353741,0.6941656210790464,1.1687074829931974,1183,727,40
685,037,62,32747,0.9049378569029224,833,577,160,417,673,0.128,0.2772963604852686,0.19207683073229292,0.22695035460992907,0.6926770708283313,408,673,9
537,037,62,32747,0.9062814914343299,833,585,172,413,661,0.13804173354735153,0.294017094017094,0.2064825930372149,0.24259520451339917,0.7022809123649459,406,652,7
1782,037,62,32747,0.9049378569029224,833,625,219,406,614,0.17675544794188863,0.3504,0.26290516206482595,0.3004115226337449,0.7503001200480192,391,613,15
1683,116,79,32696,0.8061536579398092,934,725,376,349,558,0.2930631332813718,0.5186206896551724,0.4025695931477516,0.45328511151295964,0.7762312633832976,319,537,30
294,037,60,32743,0.8685825978071648,680,514,217,297,463,0.22210849539406347,0.42217898832684825,0.3191176470588235,0.36348408710217756,0.7558823529411764,297,448,0
1616,116,79,32709,0.8840991775963802,775,564,266,298,509,0.2479030754892824,0.4716312056737589,0.3432258064516129,0.39731142643764,0.727741935483871,269,441,29
2042,037,63,32749,0.8480564292039452,615,821,197,624,418,0.15899919289749798,0.23995127892813642,0.3203252032520325,0.2743732590529248,1.334959349593496,623,418,1
606,037,63,32758,0.8588741681421332,615,788,202,586,413,0.16819317235636969,0.2563451776649746,0.3284552845528455,0.2879543834640057,1.28130081300813,586,413,0
1773,054,22,32738,0.0,3715,4597,3308,1289,407,0.6610711430855316,0.7195997389601915,0.8904441453566622,0.7959576515880654,1.2374158815612382,1256,407,33
1277,116,78,32697,0.9034467994005566,884,827,471,356,413,0.37983870967741934,0.5695284159613059,0.5328054298642534,0.5505552308591467,0.9355203619909502,350,404,6
1150,116,78,32697,0.876043673731535,865,790,464,326,401,0.3895885810243493,0.5873417721518988,0.5364161849710982,0.5607250755287009,0.9132947976878613,326,401,0
787,116,77,32700,0.9035779816513761,756,674,339,335,417,0.31072410632447295,0.5029673590504451,0.44841269841269843,0.47412587412587415,0.8915343915343915,330,399,5
2013,116,78,32697,0.8780927913875891,863,804,468,336,395,0.390325271059216,0.582089552238806,0.5422943221320974,0.5614877024595081,0.9316338354577057,336,394,0
2103,054,17,32758,0.0,3290,4337,2910,1427,380,0.6169175323298707,0.670970717085543,0.8844984802431611,0.7630785367772388,1.3182370820668694,1382,380,45
1656,116,77,32700,0.9033639143730887,745,662,347,315,398,0.3273584905660377,0.5241691842900302,0.4657718120805369,0.49324804548685147,0.8885906040268456,311,362,4
1646,116,77,32700,0.9171865443425077,761,702,376,326,385,0.34590616375344985,0.5356125356125356,0.4940867279894875,0.5140123034859877,0.9224704336399474,326,356,0
1979,037,61,32741,0.9106624721297456,749,785,396,389,353,0.34797891036906853,0.5044585987261146,0.5287049399198932,0.516297262059974,1.048064085447263,385,353,4
780,037,61,32758,0.8239208742902497,749,829,396,433,353,0.3350253807106599,0.4776839565741858,0.5287049399198932,0.5019011406844106,1.1068090787716955,432,352,1
1820,116,43,32724,0.9049627184940716,831,747,486,261,345,0.44505494505494503,0.6506024096385542,0.5848375451263538,0.6159695817490495,0.8989169675090253,261,344,0
1260,116,43,32718,0.8985268048169204,915,902,578,324,337,0.4665052461662631,0.6407982261640798,0.6316939890710382,0.6362135388002201,0.985792349726776,323,337,1
308,037,30,32766,0.8124885552096686,1742,2868,1406,1462,336,0.4388264669163546,0.4902370990237099,0.8071182548794489,0.6099783080260304,1.6463834672789897,1425,336,37
4,054,73,32749,0.0,1429,1682,1097,585,332,0.5446871896722939,0.6521997621878716,0.7676696990902729,0.7052394728383157,1.1770468859342198,584,332,1
1571,037,59,32738,0.9119371983627589,609,572,279,293,330,0.3093126385809313,0.48776223776223776,0.458128078817734,0.4724809483488569,0.9392446633825944,285,330,8
1606,116,76,32688,0.9153511992168379,698,648,353,295,345,0.3554884189325277,0.5447530864197531,0.505730659025788,0.524517087667162,0.9283667621776505,295,330,0
