step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
843,123,71,32626,0.9054435113099981,1775,3914,1638,2276,137,0.40434460627005675,0.41849770056208485,0.9228169014084507,0.5758481279662506,2.2050704225352113,2275,135,1
1382,123,71,32627,0.8987648266772919,1724,3856,1639,2217,85,0.41588429332656685,0.425051867219917,0.9506960556844548,0.5874551971326165,2.2366589327146174,2215,85,2
88,123,71,32627,0.897171054647991,1708,3773,1605,2168,103,0.41408668730650156,0.4253909355950172,0.939695550351288,0.5856595511767926,2.209016393442623,2162,103,6
1098,123,70,32678,0.9023196034029011,1620,3520,1460,2060,160,0.3967391304347826,0.4147727272727273,0.9012345679012346,0.5680933852140078,2.1728395061728394,2046,160,14
1948,123,69,32696,0.8887325666748226,1525,3424,1402,2022,123,0.3952636030448266,0.4094626168224299,0.9193442622950819,0.5665791068902809,2.2452459016393442,2014,123,8
1865,123,69,32701,0.8799119292987982,1395,3305,1298,2007,97,0.38154027042915933,0.39273827534039335,0.9304659498207886,0.5523404255319149,2.369175627240143,2005,97,2
636,054,19,32766,0.92495269486663,3471,5772,3361,2411,110,0.5714042842570555,0.5822938322938322,0.9683088447133391,0.7272530563669805,1.6629213483146068,1993,110,418
2030,123,72,32655,0.9165518297351095,1706,3533,1549,1984,157,0.4197831978319783,0.43843758845174075,0.9079718640093787,0.5913342240885665,2.070926143024619,1978,157,6
784,054,12,32768,0.885772705078125,2776,4664,2693,1971,83,0.5673056667368864,0.5774013722126929,0.9701008645533141,0.7239247311827957,1.680115273775216,1921,83,50
1074,054,13,32766,0.9325215162058231,3054,4869,2887,1982,167,0.5732724384432089,0.5929348942287944,0.9453176162409954,0.7287643569355042,1.5943025540275049,1905,167,77
2129,123,68,32700,0.87651376146789,1457,3193,1291,1902,166,0.3843405775528431,0.4043219542749765,0.8860672614962252,0.5552688172043011,2.1914893617021276,1900,166,2
740,123,72,32709,0.9147329481182549,1620,3294,1468,1826,152,0.4260011607661056,0.445658773527626,0.9061728395061729,0.5974765974765974,2.033333333333333,1819,151,7
1213,123,72,32656,0.9048566878980892,1689,3377,1509,1868,180,0.42423390497610347,0.4468463132958247,0.8934280639431617,0.5957362810896171,1.999407933688573,1810,180,58
1065,123,66,32725,0.8507563025210084,1289,2973,1190,1783,99,0.3873697916666667,0.40026908846283216,0.9231962761830876,0.5584232754575317,2.3064391000775797,1764,93,19
1795,123,66,32728,0.8684918112930824,1293,2977,1209,1768,84,0.394968964390722,0.40611353711790393,0.9350348027842227,0.5662763466042154,2.302397525135344,1762,84,6
1856,054,16,32766,0.9404870902765061,3129,4891,2978,1913,151,0.5906386354621183,0.6088734410141076,0.9517417705337169,0.742643391521197,1.5631192074145095,1761,151,152
1558,123,35,32714,0.8428501558965581,939,2657,861,1796,78,0.31480804387568556,0.3240496800903274,0.9169329073482428,0.4788654060066741,2.829605963791267,1745,75,51
718,037,7,32767,0.8449049348429822,2700,4312,2513,1799,187,0.5585685707935096,0.5827922077922078,0.9307407407407408,0.7167712492869367,1.597037037037037,1722,187,77
2111,037,1,32768,0.83355712890625,2866,4278,2548,1730,318,0.5543951261966927,0.5956054230949042,0.8890439637124913,0.7133258678611423,1.4926727145847871,1688,318,42
280,123,66,32726,0.8584917191224103,1290,2846,1157,1689,133,0.3883853642161799,0.40653548840477866,0.8968992248062015,0.559477756286267,2.206201550387597,1682,133,7
1501,037,9,32765,0.8325347169235464,2666,4092,2343,1749,323,0.5306908267270668,0.5725806451612904,0.8788447111777945,0.6934004143237644,1.5348837209302326,1681,323,68
1214,123,39,32727,0.8634460842729245,1046,2623,937,1686,109,0.34297218155197656,0.35722455203964926,0.8957934990439771,0.5107658762605615,2.5076481835564053,1677,101,9
1868,037,0,32766,0.8316852835256058,2882,4347,2642,1705,240,0.5759755831698278,0.6077754773406947,0.9167244968771686,0.7309448056439342,1.508327550312283,1666,240,39
841,037,1,32768,0.843536376953125,2865,4326,2660,1666,205,0.587066872655043,0.6148867313915858,0.9284467713787086,0.7398136559588374,1.5099476439790576,1655,205,11
1195,123,34,32720,0.8839853300733497,923,2461,798,1663,125,0.308584686774942,0.3242584315318976,0.8645720476706392,0.4716312056737589,2.666305525460455,1655,122,8
1425,123,73,32670,0.9095194367921641,1614,3051,1394,1657,220,0.4261693671660043,0.45689937725335955,0.8636926889714994,0.5976420150053591,1.8903345724907064,1654,212,3
1041,037,7,32766,0.8337606055057072,2723,4099,2431,1668,292,0.553632429970394,0.5930714808489875,0.8927653323540213,0.7126942245675755,1.5053250091810504,1642,291,26
1222,123,40,32750,0.8920916030534352,1032,2615,968,1647,64,0.3613288540500187,0.3701720841300191,0.937984496124031,0.5308472717301892,2.5339147286821704,1642,64,5
351,123,22,32732,0.9117071978491995,792,2358,712,1646,80,0.29204265791632483,0.30195080576759964,0.898989898989899,0.45206349206349206,2.977272727272727,1637,80,9
1442,037,5,32767,0.8297982726523636,2672,4098,2433,1665,239,0.5609868572746138,0.5937042459736457,0.9105538922155688,0.7187592319054653,1.533682634730539,1635,239,30
804,123,38,32744,0.8208526752992915,869,2469,831,1638,38,0.3314718787395293,0.33657351154313486,0.956271576524741,0.4979029358897543,2.8411967779056386,1633,38,5
201,123,33,32744,0.8194478377718055,958,2523,894,1629,64,0.34557402396598375,0.35434007134363854,0.9331941544885177,0.5136455041654697,2.6336116910229643,1627,64,2
80,123,67,32717,0.8682336400036679,1423,2843,1216,1627,207,0.39868852459016396,0.4277172001406965,0.8545326774420239,0.5700890764181903,1.9978917779339425,1626,207,1
242,037,11,32766,0.8321735945797473,2600,3945,2304,1641,296,0.5432680971468993,0.5840304182509506,0.8861538461538462,0.7040488922841864,1.5173076923076922,1618,296,23
619,054,7,32767,0.868739890743736,2061,3666,2007,1659,54,0.5395161290322581,0.5474631751227496,0.9737991266375546,0.7008905185961236,1.7787481804949055,1617,54,42
986,037,9,32765,0.8320769113383183,2666,4017,2401,1616,265,0.5607192900513779,0.5977097336320637,0.9006001500375094,0.7185395780338172,1.5067516879219804,1610,265,6
1880,123,37,32746,0.8368655713674953,866,2425,813,1612,53,0.3280871670702179,0.3352577319587629,0.9387990762124712,0.49407474931631723,2.800230946882217,1605,53,7
1867,037,3,32768,0.8321533203125,2617,3994,2375,1619,242,0.5606704438149197,0.5946419629444166,0.9075277034772641,0.7184994705793375,1.5261750095529232,1604,242,15
1532,037,10,32766,0.8282060672648477,2606,3969,2344,1625,262,0.5540061451193571,0.5905769715293525,0.8994627782041443,0.7130038022813688,1.5230237912509594,1598,262,27
795,123,50,32538,0.8500215133075174,891,2455,861,1594,30,0.3464788732394366,0.35071283095723016,0.9663299663299664,0.5146443514644351,2.755331088664422,1594,30,0
1036,123,65,32727,0.8442875912854829,1251,2790,1166,1624,85,0.40556521739130436,0.41792114695340504,0.9320543565147882,0.577084879980203,2.2302158273381294,1593,72,31
1415,123,39,32733,0.8390309473619895,997,2533,938,1595,59,0.3618827160493827,0.3703118831425187,0.9408224674022067,0.5314447592067989,2.5406218655967905,1590,59,5
2018,123,34,32744,0.7903738089420963,927,2452,868,1584,59,0.345679012345679,0.3539967373572594,0.9363538295577131,0.5137614678899083,2.6450916936353828,1582,59,2
1555,037,8,32767,0.8281807916501358,2641,4069,2454,1615,187,0.5765977443609023,0.6030965839272548,0.9291934873154108,0.7314456035767511,1.5407042786823173,1572,187,43
1304,037,5,32767,0.836634418774987,2684,4063,2453,1610,231,0.5712622263623661,0.6037410780211666,0.9139344262295082,0.7271379872535942,1.5137853949329358,1567,231,43
