step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1,123,79,32680,0.9058139534883721,870,1176,511,665,359,0.33289902280130296,0.43452380952380953,0.5873563218390805,0.4995112414467253,1.3517241379310345,664,346,1
2,124,28,32745,0.7857993586807146,498,961,424,537,74,0.4096618357487923,0.441207075962539,0.8514056224899599,0.5812200137080192,1.929718875502008,537,74,0
3,123,73,32673,0.8964894561258532,958,1496,702,794,256,0.4006849315068493,0.4692513368983957,0.732776617954071,0.5721271393643031,1.5615866388308977,786,256,8
4,054,73,32749,0.0,1429,1527,1066,461,363,0.564021164021164,0.6981008513425017,0.7459762071378586,0.7212449255751014,1.0685794261721484,461,363,0
5,013,68,32527,0.8233467580779045,705,1212,610,602,95,0.4667176740627391,0.5033003300330033,0.8652482269503546,0.6364110589462703,1.7191489361702128,551,95,51
6,054,20,32752,0.975390815828041,789,927,610,317,179,0.5515370705244123,0.6580366774541532,0.7731305449936628,0.710955710955711,1.1749049429657794,266,179,51
7,037,72,32677,0.8923401781069253,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
8,038,37,32744,0.8880100171023699,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
9,037,46,32763,0.7978512346244239,2111,2536,1912,624,199,0.6990859232175503,0.7539432176656151,0.9057318806252961,0.8228964923606628,1.201326385599242,612,199,12
10,124,77,32739,0.8533247808424204,509,1281,495,786,14,0.38223938223938225,0.3864168618266979,0.9724950884086444,0.553072625698324,2.5166994106090375,774,14,12
11,124,34,32733,0.7804661961934439,718,1460,643,817,75,0.41889250814332246,0.4404109589041096,0.8955431754874652,0.5904499540863177,2.033426183844011,817,75,0
12,123,11,32736,0.8701735092864125,715,1494,592,902,123,0.3661100803957947,0.3962516733601071,0.827972027972028,0.5359891353553644,2.0895104895104897,882,123,20
13,034,16,32754,0.880838981498443,0,10,0,10,0,0.0,0.0,nan,0.0,nan,10,0,0
14,106,44,32766,0.8276872367698224,145,173,135,38,10,0.7377049180327869,0.7803468208092486,0.9310344827586207,0.8490566037735849,1.193103448275862,38,10,0
15,123,7,32744,0.7793183483997068,798,1655,696,959,102,0.39612976664769495,0.4205438066465257,0.8721804511278195,0.5674684060334284,2.073934837092732,958,102,1
16,034,55,32751,0.922322982504351,0,7,0,7,0,0.0,0.0,nan,0.0,nan,7,0,0
