step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
88,123,71,32627,0.897171054647991,1708,2841,1465,1376,243,0.47503242542153046,0.5156634987680394,0.857728337236534,0.6440976038689822,1.6633489461358313,1376,243,0
1382,123,71,32627,0.8987648266772919,1724,2838,1464,1374,260,0.4725629438347321,0.5158562367864693,0.8491879350348028,0.6418237615081105,1.6461716937354989,1372,260,2
335,123,33,32744,0.7949548008795505,928,2209,844,1365,84,0.3680767553423463,0.38207333635129015,0.9094827586206896,0.5380937201147593,2.3803879310344827,1364,84,1
843,123,71,32626,0.9054435113099981,1775,2883,1517,1366,258,0.4829672078955747,0.5261879986125564,0.8546478873239437,0.6513525118076428,1.6242253521126762,1364,258,2
1661,054,30,32680,0.0,1746,2980,1583,1397,163,0.5036589245943366,0.5312080536912752,0.9066437571592211,0.6699111299195938,1.706758304696449,1338,160,59
1880,123,37,32746,0.8368655713674953,866,2125,789,1336,77,0.3583106267029973,0.37129411764705883,0.9110854503464203,0.5275827482447342,2.453810623556582,1335,77,1
804,123,38,32744,0.8208526752992915,869,2126,804,1322,65,0.36695572797809217,0.3781749764816557,0.9252013808975834,0.5368948247078464,2.4464902186421176,1316,65,6
201,123,33,32744,0.8194478377718055,958,2189,868,1321,90,0.3808688021061869,0.39652809502055736,0.906054279749478,0.5516364791865268,2.2849686847599164,1308,90,13
1098,123,70,32678,0.9023196034029011,1620,2634,1330,1304,290,0.4548563611491108,0.5049354593773728,0.8209876543209876,0.6252938410907382,1.625925925925926,1303,290,1
1004,054,26,32751,0.0,2387,3591,2251,1340,136,0.6039710222699222,0.6268448900027848,0.9430247172182656,0.7530946804951488,1.5043988269794721,1294,136,46
390,123,50,32547,0.8279718560850462,776,2058,766,1292,10,0.3704061895551257,0.3722060252672498,0.9871134020618557,0.5405786873676782,2.652061855670103,1292,10,0
566,123,39,32733,0.8211896251489322,959,2189,894,1295,65,0.3966282165039929,0.40840566468707173,0.9322210636079249,0.567979669631512,2.2825860271115745,1291,65,4
358,123,36,32745,0.7961520842876775,768,2002,704,1298,64,0.34075508228460794,0.3516483516483517,0.9166666666666666,0.5083032490974729,2.6067708333333335,1288,64,10
300,123,50,32541,0.8228696106450324,887,2126,847,1279,40,0.3910433979686057,0.39840075258701785,0.9549041713641488,0.5622303352140724,2.3968432919954905,1279,40,0
1307,123,34,32744,0.7867090153921329,885,2070,794,1276,91,0.36742248958815366,0.38357487922705313,0.8971751412429378,0.5373942470389171,2.3389830508474576,1276,91,0
1415,123,39,32733,0.8390309473619895,997,2195,923,1272,74,0.4067871308946673,0.420501138952164,0.925777331995988,0.5783208020050126,2.20160481444333,1269,74,3
1074,054,13,32766,0.9325215162058231,3054,4017,2682,1335,372,0.6110731373889269,0.6676624346527259,0.8781925343811395,0.7585914297836233,1.3153241650294696,1254,372,81
795,123,50,32538,0.8500215133075174,891,2088,846,1242,45,0.39662447257383965,0.4051724137931034,0.9494949494949495,0.56797583081571,2.3434343434343434,1242,45,0
1948,123,69,32696,0.8887325666748226,1525,2492,1249,1243,276,0.45122832369942195,0.5012038523274478,0.819016393442623,0.6218571072940005,1.6340983606557378,1240,273,3
2018,123,34,32744,0.7903738089420963,927,2073,836,1237,91,0.38632162661737524,0.40328027013989387,0.9018338727076591,0.5573333333333333,2.236245954692557,1237,91,0
636,054,19,32766,0.92495269486663,3471,4896,3214,1682,257,0.6237143411604891,0.6564542483660131,0.9259579371938923,0.7682562447711246,1.4105445116681072,1227,257,455
1890,123,26,32754,0.8442632960859743,985,2083,878,1205,107,0.4009132420091324,0.42150744119059047,0.8913705583756345,0.5723598435462842,2.114720812182741,1205,107,0
351,123,22,32732,0.9117071978491995,792,1899,695,1204,97,0.34819639278557113,0.36598209583991576,0.8775252525252525,0.5165366034931252,2.397727272727273,1198,97,6
1331,123,49,32719,0.8256670436138024,792,1939,742,1197,50,0.3730517848164907,0.38267148014440433,0.9368686868686869,0.5433906993775174,2.448232323232323,1197,50,0
1922,123,41,32732,0.8350543810338507,775,1936,740,1196,35,0.3754439370877727,0.3822314049586777,0.9548387096774194,0.5459240132792328,2.4980645161290322,1196,35,0
1511,123,27,32756,0.8062645011600929,845,1961,760,1201,85,0.37145650048875856,0.3875573686894442,0.8994082840236687,0.5416963649322879,2.3207100591715975,1195,85,6
347,054,26,32718,0.0,2913,3897,2664,1233,249,0.6425470332850941,0.6836027713625866,0.9145211122554068,0.7823788546255507,1.337796086508754,1193,249,40
2030,123,72,32655,0.9165518297351095,1706,2602,1405,1197,301,0.4839820874956941,0.5399692544196771,0.8235638921453693,0.6522748375116063,1.5252051582649473,1193,301,4
1171,123,35,32748,0.8085073897642604,733,1913,713,1200,20,0.36885669943093635,0.37271301620491376,0.9727148703956344,0.5389266817838246,2.609822646657572,1190,20,10
408,123,25,32749,0.803688662249229,753,1858,673,1185,80,0.34726522187822495,0.3622174381054898,0.8937583001328021,0.5155112983531214,2.4674634794156707,1185,80,0
784,054,12,32768,0.885772705078125,2776,3799,2536,1263,240,0.6278781876702154,0.6675440905501447,0.9135446685878963,0.7714068441064639,1.3685158501440922,1183,240,80
1865,123,69,32701,0.8799119292987982,1395,2349,1166,1183,229,0.45228859581070596,0.49638143891017456,0.8358422939068101,0.6228632478632479,1.6838709677419355,1182,229,1
