step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1,123,79,32680,0.9058139534883721,870,1016,543,473,327,0.4043186895011169,0.5344488188976378,0.6241379310344828,0.5758218451749735,1.167816091954023,473,257,0
2,124,28,32745,0.7857993586807146,498,893,444,449,54,0.46884899683210135,0.49720044792833146,0.891566265060241,0.6383896477354422,1.7931726907630523,449,54,0
3,123,73,32673,0.8964894561258532,958,1127,665,462,293,0.46830985915492956,0.5900621118012422,0.6941544885177453,0.6378896882494005,1.1764091858037578,462,272,0
4,054,73,32749,0.0,1429,1210,950,260,479,0.5624629958555358,0.7851239669421488,0.6648005598320503,0.7199696854869269,0.8467459762071379,260,479,0
5,013,68,32527,0.8233467580779045,705,841,513,328,192,0.49661181026137463,0.6099881093935791,0.7276595744680852,0.6636481241914618,1.1929078014184398,314,183,14
6,054,20,32752,0.975390815828041,789,875,596,279,193,0.5580524344569289,0.6811428571428572,0.7553865652724968,0.7163461538461539,1.108998732572877,249,193,30
7,037,72,32677,0.8923401781069253,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
8,038,37,32744,0.8880100171023699,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
9,037,46,32763,0.7978512346244239,2111,2396,1891,505,220,0.7228593272171254,0.7892320534223706,0.8957839886309806,0.8391391169292212,1.1350071056371387,505,220,0
10,124,77,32739,0.8533247808424204,509,909,482,427,27,0.5149572649572649,0.5302530253025303,0.9469548133595285,0.6798307475317349,1.7858546168958742,427,25,0
11,124,34,32733,0.7804661961934439,718,1251,653,598,65,0.49620060790273557,0.521982414068745,0.9094707520891365,0.6632808532249873,1.7423398328690807,598,65,0
12,123,11,32736,0.8701735092864125,715,1150,543,607,172,0.41074130105900153,0.4721739130434783,0.7594405594405594,0.5823056300268097,1.6083916083916083,606,172,1
13,034,16,32754,0.880838981498443,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
14,106,44,32766,0.8276872367698224,145,174,139,35,6,0.7722222222222223,0.7988505747126436,0.9586206896551724,0.8714733542319749,1.2,35,6,0
15,123,7,32744,0.7793183483997068,798,1395,671,724,127,0.4408672798948752,0.48100358422939066,0.8408521303258145,0.6119471044231646,1.7481203007518797,722,127,2
16,034,55,32751,0.922322982504351,0,9,0,9,0,0.0,0.0,nan,0.0,nan,9,0,0
17,013,29,32716,0.8469861841300893,324,343,159,184,165,0.31299212598425197,0.46355685131195334,0.49074074074074076,0.4767616191904048,1.058641975308642,99,151,85
18,037,41,32761,0.8072097921308873,1770,1725,1335,390,435,0.6180555555555556,0.7739130434782608,0.7542372881355932,0.7639484978540773,0.9745762711864406,390,435,0
