step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
175,054,14,32762,0.0,2940,2742,1889,853,1051,0.4980226733456367,0.6889132020423049,0.6425170068027211,0.6649067229848645,0.9326530612244898,834,1051,19
693,054,14,32762,0.0,3059,3002,2053,949,1006,0.5122255489021956,0.6838774150566289,0.6711343576332135,0.6774459660122092,0.9813664596273292,937,1000,12
685,037,62,32747,0.9049378569029224,833,277,99,178,734,0.09792284866468842,0.3574007220216607,0.11884753901560624,0.1783783783783784,0.3325330132052821,178,734,0
1782,037,62,32747,0.9049378569029224,833,306,119,187,714,0.11666666666666667,0.3888888888888889,0.14285714285714285,0.208955223880597,0.3673469387755102,187,714,0
1505,037,5,32768,0.863189697265625,2684,2564,1976,588,708,0.6039119804400978,0.7706708268330733,0.736214605067064,0.7530487804878049,0.9552906110283159,588,704,0
537,037,62,32747,0.9062814914343299,833,345,136,209,697,0.13051823416506717,0.39420289855072466,0.16326530612244897,0.23089983022071306,0.4141656662665066,209,697,0
1041,037,7,32766,0.8337606055057072,2723,2716,2038,678,685,0.5992355189650103,0.7503681885125184,0.7484392214469335,0.749402463688178,0.9974293059125964,676,684,2
2103,054,17,32758,0.0,3290,3699,2620,1079,670,0.5996795605401694,0.7082995404163287,0.7963525835866262,0.7497496065245386,1.1243161094224925,1063,670,16
1137,037,17,32768,0.829559326171875,2136,1939,1487,452,649,0.5745749613601236,0.7668901495616297,0.6961610486891385,0.7298159509202454,0.9077715355805244,452,647,0
575,037,34,32767,0.8208868678853725,1744,1552,1115,437,629,0.5112333791838606,0.7184278350515464,0.6393348623853211,0.6765776699029126,0.8899082568807339,437,629,0
2135,037,29,32764,0.8241362471004762,1617,1425,988,437,629,0.4810126582278481,0.6933333333333334,0.6110080395794681,0.6495726495726496,0.8812615955473099,437,629,0
308,037,30,32766,0.8124885552096686,1742,1712,1112,600,630,0.4748078565328779,0.6495327102803738,0.6383467278989667,0.6438911407064273,0.9827784156142365,600,625,0
694,037,34,32761,0.820823540184976,1744,1566,1119,447,625,0.5107256960292104,0.7145593869731801,0.6416284403669725,0.6761329305135951,0.8979357798165137,447,625,0
612,037,22,32766,0.8323567112250504,1656,1413,1028,385,628,0.5036746692797648,0.7275300778485492,0.6207729468599034,0.6699250570218312,0.8532608695652174,384,618,1
1293,037,23,32766,0.8288774949642923,1824,1637,1206,431,618,0.5348115299334811,0.7367135003054368,0.6611842105263158,0.6969084079745739,0.8974780701754386,431,615,0
