step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
636,054,19,32766,0.92495269486663,3471,4826,3218,1608,253,0.6335892892301634,0.6668048072938251,0.92711034284068,0.7757020609858986,1.390377412849323,1154,253,454
804,123,38,32744,0.8208526752992915,869,1943,832,1111,37,0.4202020202020202,0.42820380854348944,0.9574223245109321,0.5917496443812233,2.23590333716916,1109,37,2
88,123,71,32627,0.897171054647991,1708,2482,1387,1095,321,0.4948269711023903,0.5588235294117647,0.8120608899297423,0.6620525059665872,1.4531615925058547,1094,321,1
1382,123,71,32627,0.8987648266772919,1724,2558,1473,1085,251,0.5243859024563902,0.5758405003909304,0.8544083526682135,0.6879962634283046,1.4837587006960558,1085,246,0
2103,054,17,32758,0.0,3290,3699,2620,1079,670,0.5996795605401694,0.7082995404163287,0.7963525835866262,0.7497496065245386,1.1243161094224925,1063,670,16
1415,123,39,32733,0.8390309473619895,997,1979,923,1056,74,0.4495859717486605,0.46639717028802424,0.925777331995988,0.6202956989247311,1.9849548645937813,1054,74,2
153,123,49,32719,0.8473364100369816,793,1790,741,1049,52,0.4022801302931596,0.41396648044692735,0.9344262295081968,0.5737514518002322,2.257250945775536,1049,52,0
843,123,71,32626,0.9054435113099981,1775,2492,1448,1044,327,0.513657325292657,0.5810593900481541,0.8157746478873239,0.6786969767986876,1.403943661971831,1044,307,0
1074,054,13,32766,0.9325215162058231,3054,3758,2712,1046,342,0.6614634146341464,0.7216604576902608,0.888015717092338,0.7962419260129184,1.2305173542894565,1044,342,2
566,123,39,32733,0.8211896251489322,959,1947,906,1041,53,0.453,0.46533127889060094,0.9447340980187695,0.6235375086028906,2.0302398331595413,1039,53,2
1098,123,70,32678,0.9023196034029011,1620,2288,1254,1034,366,0.4724943481537302,0.5480769230769231,0.774074074074074,0.6417604912998977,1.4123456790123456,1034,365,0
1880,123,37,32746,0.8368655713674953,866,1840,806,1034,60,0.4242105263157895,0.4380434782608696,0.930715935334873,0.5957132298595713,2.1247113163972284,1033,60,1
1856,054,16,32766,0.9404870902765061,3129,3985,2743,1242,386,0.6275451841683826,0.6883312421580928,0.8766379034835411,0.771155468091088,1.2735698306168104,1018,383,224
784,054,12,32768,0.885772705078125,2776,3577,2543,1034,233,0.6674540682414698,0.7109309477215544,0.9160662824207493,0.8005666614198017,1.2885446685878963,1014,233,20
