epoch,marking_iou,smoothed_iou,lr_patience6,lr_patience5,lr_patience4,lr_patience3
1,0.3166935133535036,0.3166935133535036,0.0014,0.0014,0.0014,0.0014
2,0.3740109779943139,0.34535224567390876,0.0014,0.0014,0.0014,0.0014
3,0.3681664677015087,0.3529569863497754,0.0014,0.0014,0.0014,0.0014
4,0.4287945303540514,0.39032399201662465,0.0014,0.0014,0.0014,0.0014
5,0.4313144259447113,0.4094251413334238,0.0014,0.0014,0.0014,0.0014
6,0.4747526066617326,0.44495385432016504,0.0014,0.0014,0.0014,0.0014
7,0.4785996618577885,0.46155556482141086,0.0014,0.0014,0.0014,0.0014
8,0.4505310657931108,0.46796111143754393,0.0014,0.0014,0.0014,0.0014
9,0.4538928701750773,0.4610078659419922,0.0014,0.0014,0.0014,0.0014
10,0.4810463558730148,0.4618234306137343,0.0014,0.0014,0.0014,0.0014
11,0.4981530746674599,0.4776974335718507,0.0014,0.0014,0.0014,0.0014
12,0.459243385564022,0.4794809387014989,0.0014,0.0014,0.0014,0.0014
13,0.5158418076005116,0.4910794226106645,0.0014,0.0014,0.0014,0.0014
14,0.5085704547635514,0.49455188264269506,0.0014,0.0014,0.0014,0.0014
15,0.4788247623325099,0.501079008232191,0.0014,0.0014,0.0014,0.0014
16,0.467874386631518,0.4850898679091931,0.0014,0.0014,0.0014,0.0014
17,0.4882209649909027,0.47830670465164354,0.0014,0.0014,0.0014,0.0007
18,0.523048107081327,0.4930478195679158,0.0014,0.0014,0.0007,0.0007
19,0.5015767909345465,0.5042819543355921,0.0014,0.0014,0.0007,0.0007
20,0.4976652473971029,0.507430048470992,0.0014,0.0014,0.0007,0.0007
21,0.5083473089792512,0.5025297824369669,0.0014,0.0014,0.0007,0.0007
22,0.4678680393907126,0.49129353192235553,0.0014,0.0014,0.0007,0.0007
23,0.5040781037464076,0.4934311507054572,0.0014,0.0014,0.0007,0.00035
24,0.5032511969762651,0.4917324467044617,0.0014,0.0014,0.00035,0.00035
25,0.4785933731954676,0.4953075579727135,0.0014,0.0007,0.00035,0.00035
