run,metric,best_epoch,final_epoch,best,final,final_minus_best
G0,marking_iou,18,25,0.523048107081327,0.4785933731954676,-0.04445473388585941
G0,marking_f1,18,25,0.6868438424885519,0.6473630707016544,-0.03948077178689746
G0,marking_precision,18,25,0.6299487751362556,0.5509099758911528,-0.07903879924510282
G0,marking_recall,18,25,0.7550364501762566,0.7847582213410902,0.029721771164833544
G0,miou,18,25,0.8174073701842198,0.7959742759555758,-0.021433094228644034
G1,marking_iou,27,35,0.5426594966220241,0.5329562427159997,-0.009703253906024334
G1,marking_f1,27,35,0.7035376216336666,0.695331318487917,-0.00820630314574966
G1,marking_precision,27,35,0.635132739661364,0.6199921290830381,-0.01514061057832583
G1,marking_recall,27,35,0.7884556423696963,0.7915131144287606,0.003057472059064259
G1,miou,27,35,0.8232388764440427,0.8201178887236164,-0.003120987720426349
