run,label,epoch,true_class,pred_class,error_type,count,true_class_total,row_percent
G0,best,18,road,road,road->road,9331842,9633205,96.87162268424683
G0,best,18,road,marking,road->marking,168907,9633205,1.7533832198110597
G0,best,18,road,other,road->other,132456,9633205,1.3749940959421085
G0,best,18,marking,road,marking->road,92659,392042,23.634967682034066
G0,best,18,marking,marking,marking->marking,296006,392042,75.50364501762566
G0,best,18,marking,other,marking->other,3377,392042,0.8613873003402697
G0,best,18,other,road,other->road,117101,13511463,0.8666789081241609
G0,best,18,other,marking,other->marking,4976,13511463,0.03682798820527429
G0,best,18,other,other,other->other,13389386,13511463,99.09649310367057
G0,final,25,road,road,road->road,8977593,9275788,96.78523269397705
G0,final,25,road,marking,road->marking,228841,9275788,2.4670788077519665
G0,final,25,road,other,road->other,69354,9275788,0.7476884982709825
G0,final,25,marking,road,marking->road,78280,369222,21.201336865083878
G0,final,25,marking,marking,marking->marking,289750,369222,78.47582213410902
G0,final,25,marking,other,marking->other,1192,369222,0.3228410008071025
G0,final,25,other,road,other->road,261567,13890275,1.8830944671721763
G0,final,25,other,marking,other->marking,7357,13890275,0.05296511408161465
G0,final,25,other,other,other->other,13621351,13890275,98.06394041874621
G1,best,27,road,road,road->road,9335149,9608575,97.15435431372498
G1,best,27,road,marking,road->marking,177649,9608575,1.8488589619168294
G1,best,27,road,other,road->other,95777,9608575,0.9967867243581905
G1,best,27,marking,road,marking->road,83982,404440,20.765008406685787
G1,best,27,marking,marking,marking->marking,318883,404440,78.84556423696964
G1,best,27,marking,other,marking->other,1575,404440,0.3894273563445752
G1,best,27,other,road,other->road,166628,13521143,1.2323514365612434
G1,best,27,other,marking,other->marking,5541,13521143,0.04098026328099629
G1,best,27,other,other,other->other,13348974,13521143,98.72666830015775
G1,final,35,road,road,road->road,9185040,9447448,97.22244568056898
G1,final,35,road,marking,road->marking,185418,9447448,1.962625250755548
G1,final,35,road,other,road->other,76990,9447448,0.8149290686754772
G1,final,35,marking,road,marking->road,81426,398073,20.455042165632936
G1,final,35,marking,marking,marking->marking,315080,398073,79.15131144287605
G1,final,35,marking,other,marking->other,1567,398073,0.39364639149100794
G1,final,35,other,road,other->road,175954,13691078,1.2851727234334651
G1,final,35,other,marking,other->marking,7702,13691078,0.056255614057563616
G1,final,35,other,other,other->other,13507422,13691078,98.65857166250898
