step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1,123,79,32680,0.9058139534883721,870,1157,593,564,277,0.41352859135285913,0.5125324114088159,0.6816091954022988,0.5851011346817958,1.3298850574712644,564,243,0
2,124,28,32745,0.7857993586807146,498,902,462,440,36,0.4925373134328358,0.5121951219512195,0.927710843373494,0.66,1.8112449799196788,440,36,0
3,123,73,32673,0.8964894561258532,958,1311,725,586,233,0.469559585492228,0.5530129672006102,0.7567849686847599,0.6390480387836052,1.3684759916492693,586,229,0
4,054,73,32749,0.0,1429,1327,1001,326,428,0.5703703703703704,0.7543330821401658,0.7004898530440867,0.7264150943396226,0.9286214135759272,326,428,0
5,013,68,32527,0.8233467580779045,705,884,557,327,148,0.5397286821705426,0.6300904977375565,0.7900709219858156,0.7010698552548773,1.2539007092198582,299,148,28
6,054,20,32752,0.975390815828041,789,799,566,233,223,0.5538160469667319,0.7083854818523154,0.7173637515842839,0.7128463476070529,1.0126742712294043,210,223,23
7,037,72,32677,0.8923401781069253,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
8,038,37,32744,0.8880100171023699,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
9,037,46,32763,0.7978512346244239,2111,2190,1862,328,249,0.7634276342763427,0.8502283105022831,0.8820464234959735,0.8658451522901651,1.0374230222643297,328,249,0
10,124,77,32739,0.8533247808424204,509,1020,495,525,14,0.4787234042553192,0.4852941176470588,0.9724950884086444,0.6474820143884892,2.0039292730844793,519,14,6
11,124,34,32733,0.7804661961934439,718,1270,659,611,59,0.4958615500376223,0.5188976377952756,0.9178272980501393,0.6629778672032193,1.7688022284122562,611,59,0
12,123,11,32736,0.8701735092864125,715,1214,567,647,148,0.41629955947136565,0.4670510708401977,0.793006993006993,0.5878693623639192,1.697902097902098,642,148,5
13,034,16,32754,0.880838981498443,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
14,106,44,32766,0.8276872367698224,145,174,136,38,9,0.7431693989071039,0.7816091954022989,0.9379310344827586,0.8526645768025078,1.2,38,9,0
15,123,7,32744,0.7793183483997068,798,1499,680,819,118,0.4205318491032777,0.4536357571714476,0.8521303258145363,0.5920766216804527,1.8784461152882206,818,118,1
16,034,55,32751,0.922322982504351,0,6,0,6,0,0.0,0.0,nan,0.0,nan,6,0,0
17,013,29,32716,0.8469861841300893,324,467,277,190,47,0.5389105058365758,0.5931477516059958,0.8549382716049383,0.7003792667509482,1.441358024691358,116,37,74
18,037,41,32761,0.8072097921308873,1770,1609,1327,282,443,0.6466861598440545,0.8247358607830951,0.7497175141242938,0.785439479135839,0.9090395480225989,282,443,0
19,106,5,32686,0.8675885700299822,148,194,136,58,12,0.6601941747572816,0.7010309278350515,0.918918918918919,0.7953216374269005,1.3108108108108107,58,12,0
20,116,20,32671,0.8760674604389214,548,542,413,129,135,0.6100443131462334,0.7619926199261993,0.7536496350364964,0.7577981651376147,0.9890510948905109,129,135,0
21,123,61,32741,0.8026633273265936,943,1147,552,595,391,0.3589076723016905,0.4812554489973845,0.5853658536585366,0.5282296650717704,1.2163308589607635,577,391,18
22,116,4,32675,0.9193267023718439,118,38,26,12,92,0.2,0.6842105263157895,0.22033898305084745,0.3333333333333333,0.3220338983050847,12,88,0
23,013,15,32607,0.8016683534210446,452,559,347,212,105,0.5225903614457831,0.6207513416815742,0.7676991150442478,0.6864490603363007,1.2367256637168142,197,105,15
24,054,17,32768,0.0,143,634,139,495,4,0.21786833855799373,0.2192429022082019,0.972027972027972,0.3577863577863578,4.433566433566433,332,4,163
25,054,30,32654,0.0,1876,2646,1626,1020,250,0.56146408839779,0.6145124716553289,0.8667377398720683,0.7191508182220256,1.4104477611940298,983,242,37
26,034,66,32756,0.897209671510563,0,8,0,8,0,0.0,0.0,nan,0.0,nan,8,0,0
27,038,40,32438,0.8894198162648745,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
28,038,11,32757,0.9216045425405257,21,21,16,5,5,0.6153846153846154,0.7619047619047619,0.7619047619047619,0.7619047619047619,1.0,5,5,0
29,124,60,32742,0.8454889744059617,611,1120,594,526,17,0.5224274406332454,0.5303571428571429,0.972176759410802,0.6863084922010398,1.8330605564648117,510,17,16
30,038,5,32298,0.8890333766796705,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
31,106,69,32764,0.8735197167623001,201,221,191,30,10,0.8268398268398268,0.8642533936651584,0.9502487562189055,0.9052132701421801,1.099502487562189,30,10,0
32,123,2,32733,0.7986435707084594,625,1090,511,579,114,0.42441860465116277,0.4688073394495413,0.8176,0.5959183673469388,1.744,579,114,0
33,034,31,32757,0.8711115181487926,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
34,037,24,32766,0.8307086614173228,1697,1441,1153,288,544,0.5808564231738035,0.8001387925052047,0.6794342958161461,0.7348629700446144,0.849145550972304,288,544,0
35,038,46,32290,0.8186745122328895,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
36,038,67,32283,0.8386457268531425,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
37,037,67,32738,0.8850571201661678,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
38,123,22,32749,0.8285443830345964,620,1431,568,863,52,0.3830074173971679,0.3969252271139064,0.9161290322580645,0.5538761579717211,2.3080645161290323,863,52,0
39,106,22,32745,0.9126584211329974,90,154,74,80,16,0.43529411764705883,0.4805194805194805,0.8222222222222222,0.6065573770491803,1.711111111111111,69,11,11
40,116,28,32753,0.8864226177754709,630,576,450,126,180,0.5952380952380952,0.78125,0.7142857142857143,0.746268656716418,0.9142857142857143,126,180,0
41,123,51,32700,0.8385321100917431,873,1732,774,958,99,0.4227198252321136,0.4468822170900693,0.8865979381443299,0.5942418426103647,1.9839633447880871,958,99,0
42,013,29,32636,0.8306777791396004,815,820,615,205,200,0.6029411764705882,0.75,0.754601226993865,0.7522935779816514,1.0061349693251533,182,177,23
43,116,15,32737,0.8699636496930079,442,398,255,143,187,0.4358974358974359,0.6407035175879398,0.5769230769230769,0.6071428571428571,0.9004524886877828,101,185,42
44,123,70,32678,0.8871717975396292,1009,1517,770,747,239,0.438496583143508,0.5075807514831905,0.7631318136769079,0.6096595407759303,1.5034687809712586,738,234,9
45,124,33,32730,0.7956920256645279,854,1460,799,661,55,0.5273927392739274,0.5472602739726027,0.9355971896955504,0.6905790838375108,1.7096018735362997,661,55,0
46,116,13,32689,0.8645721802441189,362,256,175,81,187,0.39503386004514673,0.68359375,0.48342541436464087,0.5663430420711975,0.7071823204419889,80,186,1
47,123,13,32723,0.8497081563426336,678,1277,584,693,94,0.4259664478482859,0.4573218480814409,0.8613569321533924,0.5974424552429668,1.8834808259587021,685,92,8
48,038,13,32764,0.8426321572457576,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
49,038,57,32753,0.899062681281104,114,63,52,11,62,0.416,0.8253968253968254,0.45614035087719296,0.5875706214689266,0.5526315789473685,3,62,8
50,054,1,32765,0.0,1253,1755,1115,640,138,0.589012150026413,0.6353276353276354,0.8898643256185156,0.7413563829787234,1.4006384676775738,640,138,0
51,037,49,32744,0.9466467139017836,20,2,0,2,20,0.0,0.0,0.0,0.0,0.1,2,20,0
52,116,15,32734,0.8692490987963585,420,461,234,227,186,0.3616692426584235,0.5075921908893709,0.5571428571428572,0.5312145289443814,1.0976190476190477,134,185,93
53,038,64,32310,0.858743423088827,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
54,038,67,32284,0.8534568207161443,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
55,034,54,32742,0.9360454462158695,0,13,0,13,0,0.0,0.0,nan,0.0,nan,13,0,0
56,037,16,32768,0.8302001953125,1906,1895,1481,414,425,0.6383620689655173,0.7815303430079156,0.7770199370409234,0.7792686135227571,0.9942287513116475,413,425,1
57,013,69,32526,0.8325032281866814,764,890,598,292,166,0.5662878787878788,0.6719101123595506,0.7827225130890052,0.7230955259975816,1.1649214659685865,287,166,5
58,054,41,32733,0.0,661,604,451,153,210,0.5540540540540541,0.7466887417218543,0.6822995461422088,0.7130434782608696,0.913767019667171,152,192,1
59,034,29,32754,0.9139341759785065,0,14,0,14,0,0.0,0.0,nan,0.0,nan,14,0,0
60,054,5,32768,0.91546630859375,1441,1930,1314,616,127,0.6387943607194944,0.6808290155440414,0.9118667591950035,0.7795906259270247,1.3393476752255378,616,127,0
61,037,43,32764,0.786747649859602,1837,1782,1443,339,394,0.6631433823529411,0.8097643097643098,0.7855198693522046,0.7974578612876485,0.9700598802395209,339,394,0
62,037,28,32762,0.8871253281240461,88,20,5,15,83,0.04854368932038835,0.25,0.056818181818181816,0.09259259259259259,0.22727272727272727,15,83,0
63,034,64,32759,0.9081168533838029,0,17,0,17,0,0.0,0.0,nan,0.0,nan,17,0,0
64,038,0,32764,0.8874374313270663,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
65,034,20,32747,0.9012123247931109,0,1,0,1,0,0.0,0.0,nan,0.0,nan,1,0,0
66,123,36,32738,0.8050583419879039,436,918,382,536,54,0.39300411522633744,0.41612200435729846,0.8761467889908257,0.5642540620384048,2.1055045871559632,535,54,1
67,116,6,32550,0.8814132104454685,218,119,74,45,144,0.2813688212927757,0.6218487394957983,0.3394495412844037,0.4391691394658754,0.5458715596330275,45,139,0
68,013,66,32553,0.830491813350536,699,748,540,208,159,0.5953693495038589,0.7219251336898396,0.7725321888412017,0.7463718037318591,1.0701001430615165,201,159,7
69,106,28,32714,0.8842085957082595,91,100,82,18,9,0.7522935779816514,0.82,0.9010989010989011,0.8586387434554974,1.098901098901099,18,9,0
70,034,19,32755,0.8602961379941994,0,16,0,16,0,0.0,0.0,nan,0.0,nan,16,0,0
71,116,47,32727,0.8938796712194824,508,443,301,142,207,0.46307692307692305,0.6794582392776524,0.59251968503937,0.6330178759200841,0.8720472440944882,142,195,0
72,038,23,32725,0.8789610389610389,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
73,116,64,32728,0.870294549010022,636,366,295,71,341,0.41725601131541723,0.8060109289617486,0.4638364779874214,0.5888223552894212,0.5754716981132075,71,333,0
74,013,60,32507,0.8573845633248224,482,481,328,153,154,0.5165354330708661,0.681912681912682,0.6804979253112033,0.6812045690550363,0.9979253112033195,136,154,17
75,123,57,32719,0.7893884287417097,901,1500,690,810,211,0.4032729398012858,0.46,0.7658157602663707,0.5747605164514785,1.664816870144284,810,211,0
76,037,73,32674,0.8981759196914978,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
77,116,51,32688,0.8504955947136564,708,702,517,185,191,0.5789473684210527,0.7364672364672364,0.730225988700565,0.7333333333333333,0.9915254237288136,185,190,0
78,038,14,32328,0.8824239049740163,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
79,054,34,32713,0.0,1420,1629,1156,473,264,0.6106708927628104,0.7096378146101903,0.8140845070422535,0.7582814037389308,1.1471830985915492,458,264,15
80,123,67,32717,0.8682336400036679,1423,1958,1097,861,326,0.48029772329246934,0.5602655771195098,0.7709065354884048,0.6489204377403135,1.3759662684469431,861,326,0
81,038,50,32751,0.8625996152789228,65,54,45,9,20,0.6081081081081081,0.8333333333333334,0.6923076923076923,0.7563025210084033,0.8307692307692308,6,20,3
82,124,13,32726,0.8565360875145145,122,180,110,70,12,0.5729166666666666,0.6111111111111112,0.9016393442622951,0.7284768211920529,1.4754098360655739,62,12,8
83,124,53,32726,0.8261626841043819,554,1069,547,522,7,0.508364312267658,0.5116931711880262,0.9873646209386282,0.674060382008626,1.9296028880866427,522,7,0
84,013,70,32496,0.9098042836041359,853,1093,670,423,183,0.5250783699059561,0.6129917657822507,0.7854630715123095,0.6885919835560124,1.2813599062133645,392,179,31
85,106,74,32749,0.9180738343155517,202,238,187,51,15,0.7391304347826086,0.7857142857142857,0.9257425742574258,0.85,1.1782178217821782,48,15,3
86,013,7,32628,0.8211352212823342,668,1035,576,459,92,0.5110913930789707,0.5565217391304348,0.8622754491017964,0.6764533176746917,1.5494011976047903,440,92,19
87,106,78,32764,0.8179709437187157,129,118,102,16,27,0.7034482758620689,0.864406779661017,0.7906976744186046,0.8259109311740891,0.9147286821705426,16,27,0
