step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
693,054,14,32762,0.0,3059,3362,2245,1117,814,0.537595785440613,0.6677572873289709,0.7338999673095783,0.6992680267871048,1.0990519777705132,1067,814,50
175,054,14,32762,0.0,2940,3137,2127,1010,813,0.5384810126582279,0.6780363404526618,0.7234693877551021,0.7000164554879053,1.0670068027210884,978,813,32
685,037,62,32747,0.9049378569029224,833,251,93,158,740,0.09384460141271443,0.3705179282868526,0.11164465786314526,0.17158671586715868,0.3013205282112845,158,740,0
1782,037,62,32747,0.9049378569029224,833,259,93,166,740,0.09309309309309309,0.3590733590733591,0.11164465786314526,0.17032967032967034,0.31092436974789917,166,740,0
537,037,62,32747,0.9062814914343299,833,348,121,227,712,0.11415094339622642,0.34770114942528735,0.1452581032412965,0.20491109229466553,0.4177671068427371,227,712,0
575,037,34,32767,0.8208868678853725,1744,1517,1131,386,613,0.5309859154929577,0.7455504284772577,0.6485091743119266,0.6936522539098436,0.8698394495412844,382,613,4
694,037,34,32761,0.820823540184976,1744,1484,1151,333,593,0.5541646605681271,0.7756064690026954,0.6599770642201835,0.7131350681536555,0.8509174311926605,333,593,0
308,037,30,32766,0.8124885552096686,1742,1610,1156,454,586,0.5264116575591985,0.7180124223602484,0.6636050516647531,0.6897374701670644,0.9242250287026407,454,585,0
34,037,24,32766,0.8307086614173228,1697,1441,1153,288,544,0.5808564231738035,0.8001387925052047,0.6794342958161461,0.7348629700446144,0.849145550972304,288,544,0
1979,037,61,32741,0.9106624721297456,749,350,205,145,544,0.22930648769574943,0.5857142857142857,0.27369826435246997,0.37306642402183804,0.4672897196261682,145,544,0
2135,037,29,32764,0.8241362471004762,1617,1460,1073,387,544,0.5354291417165669,0.7349315068493151,0.6635745207173779,0.6974325641858954,0.9029066171923315,386,544,1
256,037,29,32767,0.815912350840785,1661,1548,1119,429,542,0.5354066985645933,0.7228682170542635,0.6736905478627333,0.6974135244624493,0.9319686935580975,429,542,0
2082,037,40,32762,0.8210426713875831,1759,1503,1226,277,533,0.6021611001964636,0.8157019294743846,0.6969869243888573,0.7516860821581851,0.8544627629334849,277,533,0
1571,037,59,32738,0.9119371983627589,609,168,80,88,529,0.11477761836441894,0.47619047619047616,0.13136288998357964,0.2059202059202059,0.27586206896551724,88,529,0
1773,054,22,32738,0.0,3715,4290,3197,1093,518,0.6649334442595674,0.7452214452214452,0.8605652759084791,0.7987507807620238,1.154777927321669,1074,518,19
1693,054,15,32764,0.9721035282627274,2421,2531,1908,623,513,0.6268068331143233,0.7538522323192414,0.7881040892193308,0.7705977382875606,1.0454357703428336,544,513,79
2103,054,17,32758,0.0,3290,3954,2778,1176,512,0.6220331392745185,0.7025796661608498,0.8443768996960487,0.76697956929873,1.201823708206687,1123,512,53
2156,037,38,32763,0.8290144370173671,1781,1637,1270,367,511,0.5912476722532588,0.7758094074526573,0.7130825379000562,0.743124634289058,0.9191465468837732,367,511,0
1123,037,37,32760,0.7788156288156288,1712,1487,1208,279,504,0.6067302862882974,0.812373907195696,0.705607476635514,0.7552360112535167,0.8685747663551402,279,504,0
1616,116,79,32709,0.8840991775963802,775,262,196,66,579,0.23305588585017836,0.7480916030534351,0.25290322580645164,0.3780135004821601,0.33806451612903227,66,501,0
1683,116,79,32696,0.8061536579398092,934,484,339,145,595,0.31417979610750696,0.7004132231404959,0.36295503211991437,0.4781382228490832,0.5182012847965739,145,500,0
1321,037,38,32762,0.8259263781209938,1781,1631,1284,347,497,0.6033834586466166,0.7872470876762723,0.720943290286356,0.7526377491207503,0.9157776530039303,347,497,0
1994,037,36,32764,0.767763398852399,1641,1538,1146,392,495,0.5636989670437776,0.7451235370611183,0.6983546617915904,0.7209814407046241,0.9372333942717855,392,495,0
1958,037,37,32761,0.8241506669515583,1712,1532,1219,313,493,0.6019753086419753,0.7956919060052219,0.7120327102803738,0.7515413070283601,0.8948598130841121,312,493,1
239,037,36,32764,0.8063728482480772,1641,1512,1152,360,489,0.5757121439280359,0.7619047619047619,0.7020109689213894,0.730732635585157,0.9213893967093236,359,489,1
612,037,22,32766,0.8323567112250504,1656,1523,1163,360,493,0.5768849206349206,0.7636244254760342,0.7022946859903382,0.7316766278703994,0.9196859903381642,355,488,5
1293,037,23,32766,0.8288774949642923,1824,1806,1335,471,489,0.5816993464052288,0.739202657807309,0.7319078947368421,0.7355371900826446,0.9901315789473685,471,488,0
