step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1661,054,30,32680,0.0,1746,2832,1541,1291,205,0.5074086269344749,0.544138418079096,0.8825887743413516,0.673219746614242,1.6219931271477663,1240,200,51
88,123,71,32627,0.897171054647991,1708,2706,1468,1238,240,0.4983027834351663,0.5424981522542498,0.8594847775175644,0.6651563207974626,1.5843091334894615,1238,240,0
1382,123,71,32627,0.8987648266772919,1724,2721,1488,1233,236,0.5032127155901251,0.5468577728776185,0.8631090487238979,0.6695163104611923,1.57830626450116,1233,230,0
843,123,71,32626,0.9054435113099981,1775,2744,1516,1228,259,0.5048285048285048,0.5524781341107872,0.8540845070422535,0.6709448993140075,1.5459154929577466,1228,238,0
1948,123,69,32696,0.8887325666748226,1525,2472,1291,1181,234,0.4770879526977088,0.5222491909385113,0.8465573770491803,0.6459844883662748,1.620983606557377,1181,234,0
1098,123,70,32678,0.9023196034029011,1620,2518,1340,1178,280,0.4789135096497498,0.5321683876092137,0.8271604938271605,0.6476558724021266,1.554320987654321,1177,280,1
1004,054,26,32751,0.0,2387,3450,2253,1197,134,0.6286272321428571,0.6530434782608696,0.9438625890238793,0.7719719033750214,1.4453288646837035,1160,133,37
347,054,26,32718,0.0,2913,3802,2641,1161,272,0.6482572410407462,0.694634402945818,0.9066254720219705,0.7865971705137751,1.3051836594576038,1135,271,26
1865,123,69,32701,0.8799119292987982,1395,2330,1199,1131,196,0.4746634996041172,0.5145922746781116,0.8594982078853046,0.643758389261745,1.6702508960573477,1131,196,0
2103,054,17,32758,0.0,3290,3954,2778,1176,512,0.6220331392745185,0.7025796661608498,0.8443768996960487,0.76697956929873,1.201823708206687,1123,512,53
1460,054,27,32712,0.0,2399,3375,2246,1129,153,0.6366213151927438,0.6654814814814815,0.9362234264276782,0.7779702112919986,1.4068361817423927,1115,150,14
804,123,38,32744,0.8208526752992915,869,1919,823,1096,46,0.4188295165394402,0.42886920270974466,0.9470655926352128,0.5903873744619799,2.2082853855005755,1095,46,1
201,123,33,32744,0.8194478377718055,958,1934,859,1075,99,0.42252828332513526,0.44415718717683556,0.8966597077244259,0.5940525587828492,2.0187891440501042,1075,99,0
1773,054,22,32738,0.0,3715,4290,3197,1093,518,0.6649334442595674,0.7452214452214452,0.8605652759084791,0.7987507807620238,1.154777927321669,1074,518,19
693,054,14,32762,0.0,3059,3362,2245,1117,814,0.537595785440613,0.6677572873289709,0.7338999673095783,0.6992680267871048,1.0990519777705132,1067,814,50
1880,123,37,32746,0.8368655713674953,866,1844,805,1039,61,0.4225721784776903,0.43655097613882865,0.9295612009237876,0.5940959409594095,2.1293302540415704,1039,61,0
566,123,39,32733,0.8211896251489322,959,1944,905,1039,54,0.45295295295295296,0.4655349794238683,0.9436913451511991,0.6234929383396487,2.02711157455683,1037,54,2
1415,123,39,32733,0.8390309473619895,997,1955,917,1038,80,0.4506142506142506,0.4690537084398977,0.9197592778335005,0.6212737127371274,1.9608826479438315,1036,80,2
149,054,27,32713,0.0,2076,2946,1907,1039,169,0.612199036918138,0.6473183978275628,0.9185934489402697,0.7594583831142971,1.4190751445086704,1029,166,10
161,054,25,32722,0.0,3014,3717,2690,1027,324,0.6656768126701311,0.7237019101425881,0.8925016589250165,0.7992868815926311,1.2332448573324486,1018,324,9
1213,123,72,32656,0.9048566878980892,1689,2377,1366,1011,323,0.5059259259259259,0.5746739587715608,0.8087625814091178,0.6719134284308903,1.4073416222616932,1010,323,1
300,123,50,32541,0.8228696106450324,887,1813,810,1003,77,0.42857142857142855,0.44677330391616105,0.9131905298759865,0.6,2.043968432919955,1003,77,0
153,123,49,32719,0.8473364100369816,793,1722,722,1000,71,0.4026770775237033,0.41927990708478513,0.9104665825977302,0.574155069582505,2.171500630517024,1000,71,0
2030,123,72,32655,0.9165518297351095,1706,2404,1404,1000,302,0.5188470066518847,0.5840266222961731,0.8229777256740914,0.6832116788321168,1.4091441969519343,1000,297,0
1524,054,25,32753,0.0,1913,2857,1851,1006,62,0.6341212744090442,0.6478823941197059,0.9675901725039205,0.7761006289308177,1.4934657605854678,993,55,13
2129,123,68,32700,0.87651376146789,1457,2153,1164,989,293,0.4758789860997547,0.5406409660938226,0.7989018531228552,0.6448753462603878,1.4776938915579958,989,293,0
1331,123,49,32719,0.8256670436138024,792,1705,714,991,78,0.40044868199663486,0.4187683284457478,0.9015151515151515,0.5718862635162195,2.1527777777777777,986,78,5
390,123,50,32547,0.8279718560850462,776,1728,743,985,33,0.42191936399772856,0.42997685185185186,0.9574742268041238,0.5934504792332268,2.2268041237113403,985,33,0
25,054,30,32654,0.0,1876,2646,1626,1020,250,0.56146408839779,0.6145124716553289,0.8667377398720683,0.7191508182220256,1.4104477611940298,983,242,37
795,123,50,32538,0.8500215133075174,891,1795,815,980,76,0.43559593800106894,0.45403899721448465,0.9147025813692481,0.6068503350707372,2.014590347923681,980,76,0
1534,054,8,32763,0.0,1628,2445,1463,982,165,0.560536398467433,0.598364008179959,0.8986486486486487,0.7183893935673951,1.5018427518427517,980,165,2
175,054,14,32762,0.0,2940,3137,2127,1010,813,0.5384810126582279,0.6780363404526618,0.7234693877551021,0.7000164554879053,1.0670068027210884,978,813,32
1919,054,27,32712,0.0,2422,3232,2244,988,178,0.6580645161290323,0.6943069306930693,0.9265070189925682,0.7937743190661478,1.3344343517753923,978,175,10
1890,123,26,32754,0.8442632960859743,985,1873,896,977,89,0.4566768603465851,0.4783769353977576,0.9096446700507614,0.6270118964310707,1.9015228426395938,976,89,1
1558,123,35,32714,0.8428501558965581,939,1795,816,979,123,0.4254431699687174,0.4545961002785515,0.8690095846645367,0.5969275786393563,1.91160809371672,973,119,6
335,123,33,32744,0.7949548008795505,928,1800,828,972,100,0.4357894736842105,0.46,0.8922413793103449,0.6070381231671554,1.9396551724137931,972,100,0
137,123,18,32743,0.876767553370186,912,1871,801,1070,111,0.4041372351160444,0.4281133083912346,0.8782894736842105,0.5756378009342437,2.0515350877192984,971,111,99
1511,123,27,32756,0.8062645011600929,845,1713,750,963,95,0.41482300884955753,0.43782837127845886,0.8875739644970414,0.5863956215793589,2.0272189349112426,963,95,0
408,123,25,32749,0.803688662249229,753,1637,675,962,78,0.3935860058309038,0.41233964569334147,0.896414342629482,0.5648535564853556,2.1739707835325364,962,78,0
41,123,51,32700,0.8385321100917431,873,1732,774,958,99,0.4227198252321136,0.4468822170900693,0.8865979381443299,0.5942418426103647,1.9839633447880871,958,99,0
686,123,33,32749,0.7934288069864729,927,1789,836,953,91,0.44468085106382976,0.4673001676914477,0.9018338727076591,0.6156111929307806,1.929881337648328,953,91,0
208,123,32,32750,0.8355114503816794,857,1734,782,952,75,0.43228302929795465,0.45098039215686275,0.912485414235706,0.6036279428791972,2.0233372228704782,952,75,0
1118,123,52,32717,0.814744628174955,824,1685,732,953,92,0.41193021947101854,0.4344213649851632,0.8883495145631068,0.5834994021522519,2.0449029126213594,952,92,1
358,123,36,32745,0.7961520842876775,768,1652,702,950,66,0.4086146682188591,0.42493946731234866,0.9140625,0.5801652892561984,2.1510416666666665,950,66,0
1795,123,66,32728,0.8684918112930824,1293,2037,1087,950,206,0.4846188140882746,0.533627884143348,0.8406805877803558,0.6528528528528529,1.5754060324825987,949,206,1
351,123,22,32732,0.9117071978491995,792,1652,704,948,88,0.4045977011494253,0.4261501210653753,0.8888888888888888,0.5761047463175123,2.085858585858586,947,88,1
1730,123,52,32718,0.8319885078550033,803,1667,721,946,82,0.41223556317895943,0.4325134973005399,0.8978829389788294,0.5838056680161944,2.075965130759651,946,82,0
2018,123,34,32744,0.7903738089420963,927,1786,842,944,85,0.450026723677178,0.47144456886898095,0.9083063646170443,0.6207150755621084,1.9266450916936353,944,85,0
1307,123,34,32744,0.7867090153921329,885,1758,815,943,70,0.4458424507658643,0.46359499431171786,0.9209039548022598,0.6167234203556564,1.9864406779661017,943,70,0
1372,123,25,32749,0.8018870805215427,759,1605,666,939,93,0.392226148409894,0.41495327102803736,0.8774703557312253,0.5634517766497462,2.1146245059288535,939,93,0
