run,label,epoch,true_class,pred_class,error_type,count,true_class_total,row_percent
F0,best,13,road,road,road->road,9181540,9487683,96.77325855005905
F0,best,13,road,marking,road->marking,243315,9487683,2.5645355140975936
F0,best,13,road,other,road->other,62828,9487683,0.6622059358433455
F0,best,13,marking,road,marking->road,78971,398001,19.841909944949887
F0,best,13,marking,marking,marking->marking,318219,398001,79.95432172280974
F0,best,13,marking,other,marking->other,811,398001,0.20376833224037125
F0,best,13,other,road,other->road,237218,13646066,1.7383618106493108
F0,best,13,other,marking,other->marking,17837,13646066,0.13071166444600224
F0,best,13,other,other,other->other,13391011,13646066,98.13092652490468
F0,final,25,road,road,road->road,8886300,9275788,95.80102520669942
F0,final,25,road,marking,road->marking,326030,9275788,3.514849627869891
F0,final,25,road,other,road->other,63458,9275788,0.684125165430689
F0,final,25,marking,road,marking->road,49532,369222,13.41523527850453
F0,final,25,marking,marking,marking->marking,318727,369222,86.32394602705148
F0,final,25,marking,other,marking->other,963,369222,0.260818694443993
F0,final,25,other,road,other->road,196415,13890275,1.4140468781215634
F0,final,25,other,marking,other->marking,13058,13890275,0.09400821797984561
F0,final,25,other,other,other->other,13680802,13890275,98.49194490389858
D0,best,18,road,road,road->road,9293429,9633205,96.47286650704517
D0,best,18,road,marking,road->marking,249846,9633205,2.5935916447329834
D0,best,18,road,other,road->other,89930,9633205,0.9335418482218535
D0,best,18,marking,road,marking->road,95638,392042,24.39483524724392
D0,best,18,marking,marking,marking->marking,295065,392042,75.2636197142143
D0,best,18,marking,other,marking->other,1339,392042,0.3415450385417889
D0,best,18,other,road,other->road,261710,13511463,1.9369479086017554
D0,best,18,other,marking,other->marking,28267,13511463,0.2092075447344229
D0,best,18,other,other,other->other,13221486,13511463,97.85384454666382
D0,final,25,road,road,road->road,8831344,9275788,95.20855802224027
D0,final,25,road,marking,road->marking,346403,9275788,3.73448595418524
D0,final,25,road,other,road->other,98041,9275788,1.056956023574493
D0,final,25,marking,road,marking->road,65298,369222,17.68529502575686
D0,final,25,marking,marking,marking->marking,302465,369222,81.91954975597338
D0,final,25,marking,other,marking->other,1459,369222,0.39515521826976724
D0,final,25,other,road,other->road,185927,13890275,1.3385408136268
D0,final,25,other,marking,other->marking,21488,13890275,0.15469816112351986
D0,final,25,other,other,other->other,13682860,13890275,98.50676102524967
G2,best,68,road,road,road->road,9310152,9590525,97.07656254480334
G2,best,68,road,marking,road->marking,183195,9590525,1.9101665445843685
G2,best,68,road,other,road->other,97178,9590525,1.013270910612297
G2,best,68,marking,road,marking->road,78314,407190,19.23279058915985
G2,best,68,marking,marking,marking->marking,327470,407190,80.42191605884231
G2,best,68,marking,other,marking->other,1406,407190,0.34529335199783884
G2,best,68,other,road,other->road,130010,13537585,0.960363314431636
G2,best,68,other,marking,other->marking,4535,13537585,0.03349932798205884
G2,best,68,other,other,other->other,13403040,13537585,99.00613735758631
G2,final,100,road,road,road->road,9451131,9718530,97.24856536945403
G2,final,100,road,marking,road->marking,181840,9718530,1.8710648626901394
G2,final,100,road,other,road->other,85559,9718530,0.8803697678558383
G2,final,100,marking,road,marking->road,75412,393568,19.161110659403203
G2,final,100,marking,marking,marking->marking,316662,393568,80.4592853077486
G2,final,100,marking,other,marking->other,1494,393568,0.37960403284819905
G2,final,100,other,road,other->road,141314,13419087,1.0530820762992297
G2,final,100,other,marking,other->marking,3966,13419087,0.029554916813640152
G2,final,100,other,other,other->other,13273807,13419087,98.91736300688713
