step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1782,037,62,32747,0.9049378569029224,833,64,37,27,796,0.04302325581395349,0.578125,0.04441776710684274,0.08249721293199554,0.07683073229291716,27,796,0
685,037,62,32747,0.9049378569029224,833,117,45,72,788,0.049723756906077346,0.38461538461538464,0.05402160864345738,0.09473684210526316,0.1404561824729892,72,788,0
537,037,62,32747,0.9062814914343299,833,162,55,107,778,0.05851063829787234,0.3395061728395062,0.06602641056422569,0.11055276381909548,0.19447779111644659,107,778,0
1304,037,5,32767,0.836634418774987,2684,2627,2077,550,607,0.6422387136672851,0.7906357061286639,0.7738450074515648,0.7821502541894182,0.9787630402384501,550,607,0
308,037,30,32766,0.8124885552096686,1742,1514,1154,360,588,0.5490009514747859,0.76221928665786,0.6624569460390356,0.7088452088452089,0.8691159586681975,360,588,0
840,054,33,32712,0.0,1622,1264,1038,226,584,0.5616883116883117,0.8212025316455697,0.6399506781750924,0.7193347193347194,0.7792848335388409,212,578,14
2042,037,63,32749,0.8480564292039452,615,197,38,159,577,0.04909560723514212,0.19289340101522842,0.061788617886178863,0.09359605911330049,0.3203252032520325,159,577,0
383,054,33,32722,0.0,1522,1187,937,250,585,0.5287810383747178,0.7893850042123,0.6156373193166885,0.6917681801402732,0.7798948751642576,235,562,15
1154,037,64,32757,0.8338675702903197,588,80,34,46,554,0.05362776025236593,0.425,0.05782312925170068,0.10179640718562874,0.1360544217687075,43,554,3
606,037,63,32758,0.8588741681421332,615,288,65,223,550,0.07756563245823389,0.22569444444444445,0.10569105691056911,0.14396456256921372,0.4682926829268293,223,550,0
256,037,29,32767,0.815912350840785,1661,1426,1115,311,546,0.5654158215010142,0.7819074333800842,0.6712823600240819,0.7223841917719469,0.8585189644792294,311,546,0
