step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1541,054,3,32768,0.0,1211,2928,1152,1776,59,0.3856712420488785,0.39344262295081966,0.9512799339388934,0.5566561971490698,2.4178364987613543,1774,57,2
2103,054,17,32758,0.0,3290,4477,3034,1443,256,0.6410310585252482,0.6776859504132231,0.9221884498480243,0.7812540234324707,1.360790273556231,1388,256,55
1534,054,8,32763,0.0,1628,2886,1513,1373,115,0.5041652782405864,0.5242550242550242,0.9293611793611793,0.6703588834736376,1.7727272727272727,1373,115,0
2027,054,8,32768,0.0,1283,2612,1251,1361,32,0.47314674735249623,0.47894333843797854,0.9750584567420109,0.6423620025673941,2.035853468433359,1350,32,11
1008,054,2,32766,0.0,1350,2615,1271,1344,79,0.4717891610987379,0.4860420650095602,0.9414814814814815,0.641109709962169,1.9370370370370371,1341,79,3
1300,054,9,32767,0.0,1520,2833,1474,1359,46,0.5119833275442862,0.520296505471232,0.9697368421052631,0.6772340914311968,1.8638157894736842,1323,46,36
50,054,1,32765,0.0,1253,2479,1176,1303,77,0.460093896713615,0.47438483259378783,0.9385474860335196,0.6302250803858521,1.9784517158818835,1303,77,0
1382,123,71,32627,0.8987648266772919,1724,2796,1505,1291,219,0.49917081260364843,0.5382689556509299,0.872969837587007,0.665929203539823,1.6218097447795823,1291,219,0
88,123,71,32627,0.897171054647991,1708,2725,1456,1269,252,0.4890829694323144,0.5343119266055046,0.8524590163934426,0.656891495601173,1.595433255269321,1269,252,0
693,054,14,32762,0.0,3059,3931,2621,1310,438,0.5999084458686198,0.6667514627321293,0.8568159529257927,0.7499284692417739,1.2850604772801568,1255,438,55
879,054,9,32767,0.0,1611,2803,1549,1254,62,0.5406631762652705,0.5526221905101677,0.9615145872129113,0.701857725419121,1.739913097454997,1253,47,1
843,123,71,32626,0.9054435113099981,1775,2784,1549,1235,226,0.5146179401993356,0.5563936781609196,0.8726760563380281,0.6795349857424874,1.5684507042253522,1235,225,0
175,054,14,32762,0.0,2940,3750,2480,1270,460,0.5890736342042755,0.6613333333333333,0.8435374149659864,0.7414050822122571,1.2755102040816326,1201,460,69
1098,123,70,32678,0.9023196034029011,1620,2512,1319,1193,301,0.46889441876999643,0.5250796178343949,0.8141975308641975,0.638431752178122,1.5506172839506174,1192,298,1
351,123,22,32732,0.9117071978491995,792,1895,716,1179,76,0.3632673769660071,0.37783641160949866,0.9040404040404041,0.5329363602530703,2.3926767676767677,1178,70,1
110,054,3,32768,0.0,1679,2671,1528,1143,151,0.5414599574769667,0.572070385623362,0.9100655151876117,0.7025287356321839,1.5908278737343657,1143,151,0
1558,123,35,32714,0.8428501558965581,939,1956,827,1129,112,0.39990328820116056,0.42280163599182,0.8807241746538871,0.5713298791018998,2.083067092651757,1126,103,3
1553,054,2,32762,0.0,1490,2493,1391,1102,99,0.5366512345679012,0.5579622944243883,0.9335570469798657,0.6984684910871203,1.6731543624161074,1099,99,3
