run,epoch,lr_before,lr_after,factor
G2,27,0.0014,0.0007,0.5
G2,36,0.0007,0.00035,0.5
G2,45,0.00035,0.000175,0.5
G2,53,0.000175,8.75e-05,0.5
G2,61,8.75e-05,4.375e-05,0.5
G2,69,4.375e-05,2.1875e-05,0.5
G2,77,2.1875e-05,1.09375e-05,0.5
G2,85,1.09375e-05,5.46875e-06,0.5
G2,93,5.46875e-06,2.734375e-06,0.5
F0,23,0.0014,0.0007,0.5
H0,23,0.0014,0.0007,0.5
H0,36,0.0007,0.00035,0.5
H0,44,0.00035,0.000175,0.5
H0,52,0.000175,8.75e-05,0.5
H0,60,8.75e-05,4.375e-05,0.5
H0,68,4.375e-05,2.1875e-05,0.5
H0,76,2.1875e-05,1.09375e-05,0.5
H0,84,1.09375e-05,5.46875e-06,0.5
H0,92,5.46875e-06,2.734375e-06,0.5
H0,100,2.734375e-06,1.3671875e-06,0.5
