step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
308,037,30,32766,0.8124885552096686,1742,1265,984,281,758,0.48640632723677707,0.7778656126482213,0.5648679678530425,0.6544728965746591,0.7261768082663606,281,758,0
685,037,62,32747,0.9049378569029224,833,203,78,125,755,0.081419624217119,0.3842364532019704,0.0936374549819928,0.15057915057915058,0.24369747899159663,125,755,0
537,037,62,32747,0.9062814914343299,833,228,82,146,751,0.08375893769152196,0.35964912280701755,0.09843937575030012,0.15457115928369464,0.2737094837935174,146,751,0
1782,037,62,32747,0.9049378569029224,833,180,82,98,751,0.08807733619763695,0.45555555555555555,0.09843937575030012,0.16189536031589338,0.21608643457382953,98,751,0
1877,037,33,32765,0.8079658171829697,1640,1198,914,284,726,0.47505197505197505,0.7629382303839732,0.5573170731707318,0.6441155743481325,0.7304878048780488,284,726,0
1979,037,61,32741,0.9106624721297456,749,53,36,17,713,0.04699738903394256,0.6792452830188679,0.04806408544726302,0.08977556109725686,0.07076101468624833,17,713,0
256,037,29,32767,0.815912350840785,1661,1238,962,276,699,0.4966442953020134,0.777059773828756,0.5791691751956652,0.6636771300448431,0.7453341360626129,276,699,0
1701,037,27,32766,0.827168406274797,1625,1162,940,222,685,0.5089334055224689,0.8089500860585198,0.5784615384615385,0.6745604592752064,0.715076923076923,222,685,0
1693,054,15,32764,0.9721035282627274,2421,2233,1748,485,673,0.6015141087405368,0.7828034034930587,0.7220156959933912,0.75118177911474,0.9223461379595208,451,668,34
1293,037,23,32766,0.8288774949642923,1824,1503,1191,312,633,0.5575842696629213,0.7924151696606786,0.6529605263157895,0.7159603246167718,0.8240131578947368,312,630,0
575,037,34,32767,0.8208868678853725,1744,1503,1134,369,610,0.5366777094178893,0.7544910179640718,0.6502293577981652,0.6984909146904835,0.8618119266055045,369,610,0
1163,037,33,32768,0.807647705078125,1640,1319,1032,287,608,0.5355474831344058,0.7824109173616376,0.6292682926829268,0.6975329503210544,0.8042682926829269,287,608,0
1856,054,16,32766,0.9404870902765061,3129,3120,2523,597,606,0.677133655394525,0.8086538461538462,0.8063279002876318,0.8074891982717235,0.99712368168744,584,606,13
238,037,37,32757,0.8737063833684403,1665,1270,1061,209,604,0.5661686232657417,0.8354330708661417,0.6372372372372372,0.7229982964224873,0.7627627627627628,201,604,8
1571,037,59,32738,0.9119371983627589,609,9,7,2,602,0.011456628477905073,0.7777777777777778,0.011494252873563218,0.022653721682847898,0.014778325123152709,2,602,0
694,037,34,32761,0.820823540184976,1744,1472,1144,328,600,0.5521235521235521,0.7771739130434783,0.6559633027522935,0.7114427860696517,0.8440366972477065,328,600,0
916,037,17,32768,0.81951904296875,2480,2218,1882,336,598,0.6683238636363636,0.848512173128945,0.7588709677419355,0.8011919965942954,0.8943548387096775,336,598,0
563,037,25,32765,0.8480390660766062,1702,1340,1106,234,596,0.5712809917355371,0.8253731343283582,0.6498237367802585,0.7271531886916502,0.7873090481786134,233,595,1
2082,037,40,32762,0.8210426713875831,1759,1440,1164,276,595,0.571990171990172,0.8083333333333333,0.6617396247868107,0.7277274148171303,0.8186469584991473,273,595,3
1916,123,63,32727,0.8588932685550157,1294,1436,704,732,590,0.3474827245804541,0.49025069637883006,0.5440494590417311,0.5157509157509158,1.1097372488408037,712,590,20
992,037,19,32768,0.836639404296875,2393,2171,1808,363,585,0.6560232220609579,0.8327959465684016,0.7555369828666946,0.7922874671340929,0.9072294191391559,358,584,5
1074,054,13,32766,0.9325215162058231,3054,3171,2470,701,584,0.6577896138482024,0.7789340901923684,0.8087753765553373,0.793574297188755,1.038310412573674,690,584,11
34,037,24,32766,0.8307086614173228,1697,1395,1123,272,574,0.5703402742508887,0.8050179211469534,0.661756040070713,0.7263906856403622,0.8220388921626399,271,574,1
1180,037,18,32766,0.8322956723432827,2467,2210,1892,318,575,0.6793536804308797,0.8561085972850678,0.7669233887312525,0.8090656403677571,0.8958248885285772,317,574,1
718,037,7,32767,0.8449049348429822,2700,2582,2127,455,573,0.6741679873217116,0.8237800154918667,0.7877777777777778,0.8053767512305945,0.9562962962962963,454,573,1
1958,037,37,32761,0.8241506669515583,1712,1361,1142,219,570,0.5914034179181771,0.8390889052167524,0.6670560747663551,0.7432476407419459,0.7949766355140186,219,570,0
2042,037,63,32749,0.8480564292039452,615,248,47,201,568,0.05759803921568627,0.18951612903225806,0.07642276422764227,0.10892236384704519,0.4032520325203252,201,568,0
1304,037,5,32767,0.836634418774987,2684,2525,2127,398,557,0.6901362751460091,0.8423762376237623,0.7924739195230999,0.8166634670762143,0.9407600596125186,398,556,0
1773,054,22,32738,0.0,3715,4197,3160,1037,555,0.664983164983165,0.7529187514891589,0.8506056527590848,0.7987866531850354,1.129744279946164,1023,555,14
1138,037,11,32766,0.8371482634438137,2600,2472,2045,427,555,0.675586389164189,0.8272653721682848,0.7865384615384615,0.8063880126182965,0.9507692307692308,427,553,0
1994,037,36,32764,0.767763398852399,1641,1428,1101,327,540,0.5594512195121951,0.7710084033613446,0.6709323583180987,0.7174975562072337,0.870201096892139,327,540,0
636,054,19,32766,0.92495269486663,3471,3657,2932,725,539,0.6987607244995233,0.8017500683620454,0.8447133390953616,0.8226711560044894,1.0535868625756266,637,539,88
1959,037,33,32768,0.81982421875,1625,1454,1086,368,539,0.5449071751128951,0.7469050894085282,0.6683076923076923,0.7054238389087366,0.8947692307692308,363,539,5
780,037,61,32758,0.8239208742902497,749,340,212,128,537,0.24173318129988597,0.6235294117647059,0.28304405874499333,0.38934802571166205,0.4539385847797063,128,537,0
242,037,11,32766,0.8321735945797473,2600,2509,2066,443,534,0.6789352612553401,0.8234356317257872,0.7946153846153846,0.8087688393031904,0.965,443,534,0
606,037,63,32758,0.8588741681421332,615,307,83,224,532,0.09892729439809297,0.2703583061889251,0.13495934959349593,0.18004338394793926,0.4991869918699187,224,532,0
2110,037,41,32766,0.8163340047610328,1770,1449,1237,212,533,0.624117053481332,0.8536922015182885,0.6988700564971752,0.7685616651133893,0.8186440677966101,212,532,0
1532,037,10,32766,0.8282060672648477,2606,2526,2075,451,531,0.6787700359829899,0.8214568487727633,0.79623944742901,0.808651597817615,0.9693016116653875,451,530,0
1321,037,38,32762,0.8259263781209938,1781,1571,1252,319,529,0.5961904761904762,0.7969446212603437,0.7029758562605278,0.747016706443914,0.8820887142055025,317,529,2
1123,037,37,32760,0.7788156288156288,1712,1480,1185,295,527,0.5904334828101644,0.8006756756756757,0.6921728971962616,0.7424812030075187,0.8644859813084113,290,527,5
1177,054,23,32741,0.9467029107235576,3309,3199,2758,441,551,0.7354666666666667,0.862144420131291,0.833484436385615,0.8475722188076213,0.9667573284980356,415,527,26
2111,037,1,32768,0.83355712890625,2866,2822,2338,484,528,0.697910447761194,0.8284904323175053,0.8157711095603629,0.8220815752461322,0.9846475924633635,484,526,0
674,037,27,32766,0.8111151803698956,1625,1361,1104,257,521,0.5866099893730075,0.8111682586333578,0.6793846153846154,0.739450770261219,0.8375384615384616,257,521,0
2135,037,29,32764,0.8241362471004762,1617,1436,1096,340,521,0.5600408788962699,0.7632311977715878,0.6777983920841064,0.7179823124795284,0.8880643166357453,340,521,0
239,037,36,32764,0.8063728482480772,1641,1415,1122,293,519,0.5801447776628749,0.7929328621908127,0.6837294332723949,0.7342931937172775,0.862279098110908,293,519,0
1683,116,79,32696,0.8061536579398092,934,480,338,142,596,0.3141263940520446,0.7041666666666667,0.3618843683083512,0.4780763790664781,0.5139186295503212,142,519,0
383,054,33,32722,0.0,1522,1356,995,361,527,0.5284121083377589,0.7337758112094396,0.6537450722733246,0.6914523974982627,0.8909329829172142,347,518,14
1648,037,35,32768,0.7618408203125,1684,1476,1167,309,517,0.5855494229804316,0.790650406504065,0.6929928741092637,0.7386075949367089,0.8764845605700713,309,517,0
986,037,9,32765,0.8320769113383183,2666,2595,2150,445,516,0.6910961105753777,0.8285163776493256,0.8064516129032258,0.8173351073940316,0.9733683420855214,445,516,0
97,037,36,32764,0.7748748626541326,1641,1429,1127,302,514,0.5800308800823469,0.7886634009797061,0.6867763558805606,0.7342019543973941,0.870810481413772,301,514,1
