step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
2103,054,17,32758,0.0,3290,4406,2886,1520,404,0.6,0.655015887426237,0.8772036474164133,0.75,1.339209726443769,1486,404,34
1460,054,27,32712,0.0,2399,3743,2263,1480,136,0.5833977829337458,0.6045952444563185,0.9433097123801584,0.7368935200260501,1.5602334305960817,1467,133,13
1919,054,27,32712,0.0,2422,3667,2280,1387,142,0.5985823050669467,0.6217616580310881,0.9413707679603633,0.7488914435867958,1.514037985136251,1382,139,5
1004,054,26,32751,0.0,2387,3573,2237,1336,150,0.6008595218909482,0.6260845228099636,0.9371596145789695,0.7506711409395973,1.4968579807289484,1333,128,3
1382,123,71,32627,0.8987648266772919,1724,2776,1471,1305,253,0.48563882469461866,0.5298991354466859,0.8532482598607889,0.6537777777777778,1.6102088167053363,1305,253,0
693,054,14,32762,0.0,3059,3825,2570,1255,489,0.5957348168752897,0.6718954248366014,0.8401438378555084,0.7466589192330041,1.2504086302713304,1248,489,7
149,054,27,32713,0.0,2076,3128,1921,1207,155,0.5851355467560159,0.6141304347826086,0.9253371868978806,0.7382782475019216,1.5067437379576107,1195,152,12
88,123,71,32627,0.897171054647991,1708,2700,1522,1178,186,0.5273735273735274,0.5637037037037037,0.8911007025761124,0.690562613430127,1.5807962529274004,1178,186,0
1661,054,30,32680,0.0,1746,2571,1389,1182,357,0.47438524590163933,0.5402567094515752,0.7955326460481099,0.6435024322446143,1.4725085910652922,1149,306,33
843,123,71,32626,0.9054435113099981,1775,2542,1442,1100,333,0.5015652173913043,0.5672698662470496,0.8123943661971831,0.6680565207319898,1.432112676056338,1099,331,1
1069,054,3,32739,0.0,1137,2140,1037,1103,100,0.4629464285714286,0.48457943925233643,0.9120492524186455,0.6328959414098261,1.882145998240985,1099,100,4
175,054,14,32762,0.0,2940,3560,2453,1107,487,0.6061279960464542,0.6890449438202247,0.8343537414965987,0.7547692307692307,1.2108843537414966,1096,481,11
1098,123,70,32678,0.9023196034029011,1620,2333,1239,1094,381,0.45652173913043476,0.5310758679811401,0.7648148148148148,0.6268656716417911,1.4401234567901235,1093,381,1
347,054,26,32718,0.0,2913,3638,2541,1097,372,0.6336658354114714,0.6984606926882903,0.8722966014418125,0.7757594260418257,1.2488843117061448,1088,371,9
161,054,25,32722,0.0,3014,3829,2738,1091,276,0.6669914738124239,0.7150692086706711,0.9084273390842734,0.8002338155779629,1.2704047777040477,1079,276,12
1948,123,69,32696,0.8887325666748226,1525,2319,1273,1046,252,0.49513807856865033,0.5489435101336783,0.8347540983606557,0.6623309053069719,1.5206557377049181,1046,248,0
1534,054,8,32763,0.0,1628,2494,1462,1032,166,0.5496240601503759,0.5862068965517241,0.898034398034398,0.7093643862202814,1.531941031941032,1032,165,0
1773,054,22,32738,0.0,3715,4197,3160,1037,555,0.664983164983165,0.7529187514891589,0.8506056527590848,0.7987866531850354,1.129744279946164,1023,555,14
566,123,39,32733,0.8211896251489322,959,1947,932,1015,27,0.47213779128672745,0.4786851566512583,0.9718456725755996,0.6414315209910529,2.0302398331595413,1013,27,2
1865,123,69,32701,0.8799119292987982,1395,2158,1148,1010,247,0.47733887733887737,0.5319740500463392,0.8229390681003584,0.6462144666479032,1.5469534050179212,1010,247,0
804,123,38,32744,0.8208526752992915,869,1847,840,1007,29,0.44776119402985076,0.4547915538711424,0.9666283084004603,0.6185567010309279,2.1254315304948217,1005,29,2
110,054,3,32768,0.0,1679,2480,1476,1004,203,0.5501304509877003,0.5951612903225807,0.8790946992257296,0.7097860062515028,1.4770696843359141,1004,203,0
1415,123,39,32733,0.8390309473619895,997,1927,923,1004,74,0.4612693653173413,0.4789828749351323,0.925777331995988,0.6313269493844049,1.9327983951855567,1002,74,2
1213,123,72,32656,0.9048566878980892,1689,2398,1372,1026,317,0.505340699815838,0.5721434528773979,0.8123149792776792,0.6713971127966724,1.4197750148016577,991,317,35
1300,054,9,32767,0.0,1520,2449,1462,987,58,0.5831671320303151,0.5969783585136791,0.9618421052631579,0.7367094986142605,1.6111842105263159,984,58,3
879,054,9,32767,0.0,1611,2489,1520,969,91,0.5891472868217055,0.6106870229007634,0.9435133457479826,0.7414634146341463,1.5450031036623215,969,75,0
153,123,49,32719,0.8473364100369816,793,1702,742,960,51,0.4232743867655448,0.43595769682726204,0.935687263556116,0.5947895791583167,2.146279949558638,960,51,0
1222,123,40,32750,0.8920916030534352,1032,1912,964,948,68,0.4868686868686869,0.50418410041841,0.9341085271317829,0.654891304347826,1.8527131782945736,948,68,0
2027,054,8,32768,0.0,1283,2174,1245,929,38,0.5628390596745028,0.5726770929162833,0.970381917381138,0.7202776974255134,1.6944660950896338,925,38,4
2030,123,72,32655,0.9165518297351095,1706,2269,1344,925,362,0.5108323831242874,0.5923314235345968,0.7878077373974208,0.6762264150943397,1.3300117233294255,923,362,2
1524,054,25,32753,0.0,1913,2778,1857,921,56,0.655257586450247,0.6684665226781857,0.970726607422896,0.7917288424642933,1.4521693674856246,921,48,0
2129,123,68,32700,0.87651376146789,1457,2037,1122,915,335,0.4730185497470489,0.5508100147275405,0.7700754975978037,0.6422438465941614,1.3980782429649965,915,335,0
1331,123,49,32719,0.8256670436138024,792,1651,740,911,52,0.4345273047563124,0.4482132041187159,0.9343434343434344,0.6058125255832992,2.08459595959596,911,52,0
1880,123,37,32746,0.8368655713674953,866,1704,795,909,71,0.447887323943662,0.4665492957746479,0.918013856812933,0.6186770428015564,1.9676674364896074,909,71,0
1890,123,26,32754,0.8442632960859743,985,1801,898,903,87,0.475635593220339,0.498611882287618,0.9116751269035533,0.6446518305814788,1.8284263959390863,903,87,0
1541,054,3,32768,0.0,1211,2006,1110,896,101,0.5268153773137162,0.5533399800598205,0.916597853014038,0.6900839291265154,1.6564822460776218,896,101,0
208,123,32,32750,0.8355114503816794,857,1687,794,893,63,0.45371428571428574,0.4706579727326615,0.926487747957993,0.6242138364779874,1.9684947491248541,893,63,0
1334,123,16,32739,0.8852744433244754,835,1629,738,891,97,0.4275782155272306,0.4530386740331492,0.8838323353293414,0.599025974025974,1.9508982035928144,891,97,0
1168,123,52,32712,0.8728601124969431,903,1682,796,886,107,0.44494130799329235,0.47324613555291317,0.8815060908084164,0.6158607350096712,1.8626799557032114,885,107,1
351,123,22,32732,0.9117071978491995,792,1572,696,876,96,0.4172661870503597,0.44274809160305345,0.8787878787878788,0.5888324873096447,1.9848484848484849,874,96,2
300,123,50,32541,0.8228696106450324,887,1698,825,873,62,0.46875,0.48586572438162545,0.9301014656144306,0.6382978723404256,1.9143179255918827,873,62,0
1214,123,39,32727,0.8634460842729245,1046,1706,833,873,213,0.4340802501302762,0.48827667057444313,0.7963671128107075,0.6053779069767442,1.6309751434034416,870,202,3
640,054,1,32763,0.0,1593,2267,1400,867,193,0.5691056910569106,0.6175562417291575,0.8788449466415568,0.7253886010362695,1.4231010671688638,860,193,7
274,123,30,32756,0.8443338624984735,764,1519,660,859,104,0.4066543438077634,0.43449637919684003,0.8638743455497382,0.5781865965834428,1.9882198952879582,859,104,0
408,123,25,32749,0.803688662249229,753,1540,684,856,69,0.42510876320696084,0.44415584415584414,0.9083665338645418,0.5965983427823811,2.045152722443559,856,69,0
280,123,66,32726,0.8584917191224103,1290,1848,996,852,294,0.4649859943977591,0.538961038961039,0.772093023255814,0.6347992351816444,1.4325581395348836,852,294,0
41,123,51,32700,0.8385321100917431,873,1628,780,848,93,0.45322486926205696,0.47911547911547914,0.8934707903780069,0.62375049980008,1.8648339060710195,848,93,0
25,054,30,32654,0.0,1876,2438,1551,887,325,0.5613463626492943,0.6361771944216571,0.8267590618336887,0.7190542420027817,1.2995735607675907,846,235,41
201,123,33,32744,0.8194478377718055,958,1689,843,846,115,0.4672949002217295,0.4991119005328597,0.8799582463465553,0.6369474877219494,1.7630480167014613,846,115,0
2018,123,34,32744,0.7903738089420963,927,1703,858,845,69,0.48419864559819414,0.5038167938931297,0.9255663430420712,0.6524714828897339,1.8371089536138079,845,69,0
