metric,D0,G2,G2_minus_D0
marking_iou,0.414686,0.517676,0.10299
marking_precision,0.483187,0.681131,0.197944
marking_recall,0.745228,0.683263,-0.061965
marking_f1,0.586259,0.682196,0.095937
miou,0.773163,0.817202,0.044039
pred_true,1.542317,1.00313,-0.539187
road_iou,0.92738,0.948921,0.021542
other_iou,0.977422,0.985008,0.007586
road_to_marking,1751143.0,786744.0,-964399.0
other_to_marking,303566.0,37798.0,-265768.0
marking_to_road,646376.0,801128.0,154752.0
marking_to_other,10366.0,15345.0,4979.0
